Discipline,Gender,Event,phase,type,order,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,ENG phase Description,FRA phase Description,KOR phase Description,Old DDGEEEP
ALP,M,DH----------------,VICT,6,V,Men's Downhill Victory Ceremony,"Descente hommes, cérémonie vainqueurs",남자 활강 메달 시상식,Men's Downhill Victory Ceremony,"Descente hommes, cérémonie des vainqueurs",남자 활강 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,ASM010M
ALP,M,DH----------------,----,8,,Men's Downhill,Descente hommes,남자 활강,Men's Downhill,Descente hommes,남자 활강,,,,ASM0100
ALP,M,GS----------------,FNL-,3,1,Men's Giant Slalom,Slalom géant hommes,남자 대회전,Men's Giant Slalom,Slalom géant hommes,남자 대회전,,,,ASM0301
ALP,M,GS----------------,DRAW,7,D,Men's Giant Slalom Draw,"Slalom géant hommes, tirage au sort",남자 대회전 추첨,Men's Giant Slalom Draw,"Slalom géant hommes, tirage au sort",남자 대회전 추첨,Draw,Tirage au sort,추첨,ASM030E
ALP,M,GS----------------,VICT,6,V,Men's Giant Slalom Victory Ceremony,"Slalom géant H, cérémonie des vainqueurs",남자 대회전 메달 시상식,Men's Giant Slalom Victory Ceremony,"Slalom géant hommes, cérémonie des vainqueurs",남자 대회전 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,ASM030M
ALP,M,GS----------------,----,8,,Men's Giant Slalom,Slalom géant hommes,남자 대회전,Men's Giant Slalom,Slalom géant hommes,남자 대회전,,,,ASM0300
ALP,M,SG----------------,FNL-,3,1,Men's Super-G,Super-G hommes,남자 슈퍼대회전,Men's Super-G,Super-G hommes,남자 슈퍼대회전,,,,ASM0401
ALP,M,SG----------------,DRAW,7,D,Men's Super-G Draw,"Super-G hommes, tirage au sort",남자 슈퍼대회전 추첨,Men's Super-G Draw,"Super-G hommes, tirage au sort",남자 슈퍼대회전 추첨,Draw,Tirage au sort,추첨,ASM040E
ALP,M,SG----------------,VICT,6,V,Men's Super-G Victory Ceremony,"Super-G hommes, cérémonie des vainqueurs",남자 슈퍼대회전 메달 시상식,Men's Super-G Victory Ceremony,"Super-G hommes, cérémonie des vainqueurs",남자 슈퍼대회전 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,ASM040M
ALP,M,SG----------------,----,8,,Men's Super-G,Super-G hommes,남자 슈퍼대회전,Men's Super-G,Super-G hommes,남자 슈퍼대회전,,,,ASM0400
ALP,M,SL----------------,FNL-,3,1,Men's Slalom,Slalom hommes,남자 회전,Men's Slalom,Slalom hommes,남자 회전,,,,ASM0201
ALP,M,SL----------------,DRAW,7,D,Men's Slalom Draw,"Slalom hommes, tirage au sort",남자 회전 추첨,Men's Slalom Draw,"Slalom hommes, tirage au sort",남자 회전 추첨,Draw,Tirage au sort,추첨,ASM020E
ALP,M,SL----------------,VICT,6,V,Men's Slalom Victory Ceremony,"Slalom hommes, cérémonie des vainqueurs",남자 회전 메달 시상식,Men's Slalom Victory Ceremony,"Slalom hommes, cérémonie des vainqueurs",남자 회전 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,ASM020M
ALP,M,SL----------------,----,8,,Men's Slalom,Slalom hommes,남자 회전,Men's Slalom,Slalom hommes,남자 회전,,,,ASM0200
ALP,W,------------------,MEET,9,M,Team Captains' Meeting - Ladies,Réunion chefs d'équipe - Femmes,대표자회의 - 여자,Team Captains' Meeting - Ladies,Réunion des chefs d'équipe - Femmes,대표자회의 - 여자,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,ASW000T
ALP,W,------------------,----,8,,Ladies' Alpine Skiing,Ski alpin femmes,알파인 스키 여자,Ladies' Alpine Skiing,Ski alpin femmes,알파인 스키 여자,,,,ASW0000
ALP,W,AC----------------,FNL-,3,1,Ladies' Alpine Combined,Combiné alpin femmes,여자 알파인 복합,Ladies' Alpine Combined,Combiné alpin femmes,여자 알파인 복합,,,,ASW105A
ALP,W,AC----------------,DRAW,7,D,Ladies' Alpine Combined Draw,"Combiné alpin femmes, tirage au sort",여자 알파인 복합 추첨,Ladies' Alpine Combined Draw,"Combiné alpin femmes, tirage au sort",여자 알파인 복합 추첨,Draw,Tirage au sort,추첨,ASW105E
ALP,W,AC----------------,TRNO,1,T,Ladies' AC Downhill Training,"Descente combiné alpin F, entraînement",여자 알파인 복합 활강 연습,Ladies' Alpine Combined Downhill Training,"Descente du combiné alpin femmes, entraînement",여자 알파인 복합 활강 연습,Downhill Training,"Descente, entraînement",활강 연습,ASW105O
ALP,W,AC----------------,VICT,6,V,Ladies' Alpine Combined Victory Ceremony,"Combiné alpin F, cérémonie vainqueurs",여자 알파인 복합 메달 시상식,Ladies' Alpine Combined Victory Ceremony,"Combiné alpin femmes, cérémonie des vainqueurs",여자 알파인 복합 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,ASW105M
ALP,W,AC----------------,----,8,,Ladies' Alpine Combined,Combiné alpin femmes,여자 알파인 복합,Ladies' Alpine Combined,Combiné alpin femmes,여자 알파인 복합,,,,ASW1050
ALP,W,DH----------------,FNL-,3,1,Ladies' Downhill,Descente femmes,여자 활강,Ladies' Downhill,Descente femmes,여자 활강,,,,ASW0101
ALP,W,DH----------------,DRAW,7,D,Ladies' Downhill Draw,"Descente femmes, tirage au sort",여자 활강 추첨,Ladies' Downhill Draw,"Descente femmes, tirage au sort",여자 활강 추첨,Draw,Tirage au sort,추첨,ASW010E
ALP,W,DH----------------,TRNO,1,T,Ladies' Downhill Training,"Descente femmes, entraînement",여자 활강 연습,Ladies' Downhill Training,"Descente femmes, entraînement",여자 활강 연습,Training,Entraînement,연습,ASW010O
ALP,W,DH----------------,VICT,6,V,Ladies' Downhill Victory Ceremony,"Descente femmes, cérémonie vainqueurs",여자 활강 메달 시상식,Ladies' Downhill Victory Ceremony,"Descente femmes, cérémonie des vainqueurs",여자 활강 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,ASW010M
ALP,W,DH----------------,----,8,,Ladies' Downhill,Descente femmes,여자 활강,Ladies' Downhill,Descente femmes,여자 활강,,,,ASW0100
ALP,W,GS----------------,FNL-,3,1,Ladies' Giant Slalom,Slalom géant femmes,여자 대회전,Ladies' Giant Slalom,Slalom géant femmes,여자 대회전,,,,ASW0301
ALP,W,GS----------------,DRAW,7,D,Ladies' Giant Slalom Draw,"Slalom géant femmes, tirage au sort",여자 대회전 추첨,Ladies' Giant Slalom Draw,"Slalom géant femmes, tirage au sort",여자 대회전 추첨,Draw,Tirage au sort,추첨,ASW030E
ALP,W,GS----------------,VICT,6,V,Ladies' Giant Slalom Victory Ceremony,"Slalom géant F, cérémonie des vainqueurs",여자 대회전 메달 시상식,Ladies' Giant Slalom Victory Ceremony,"Slalom géant femmes, cérémonie des vainqueurs",여자 대회전 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,ASW030M
ALP,W,GS----------------,----,8,,Ladies' Giant Slalom,Slalom géant femmes,여자 대회전,Ladies' Giant Slalom,Slalom géant femmes,여자 대회전,,,,ASW0300
ALP,W,SG----------------,FNL-,3,1,Ladies' Super-G,Super-G femmes,여자 슈퍼대회전,Ladies' Super-G,Super-G femmes,여자 슈퍼대회전,,,,ASW0401
ALP,W,SG----------------,DRAW,7,D,Ladies' Super-G Draw,"Super-G femmes, tirage au sort",여자 슈퍼대회전 추첨,Ladies' Super-G Draw,"Super-G femmes, tirage au sort",여자 슈퍼대회전 추첨,Draw,Tirage au sort,추첨,ASW040E
ALP,W,SG----------------,VICT,6,V,Ladies' Super-G Victory Ceremony,"Super-G femmes, cérémonie des vainqueurs",여자 슈퍼대회전 메달 시상식,Ladies' Super-G Victory Ceremony,"Super-G femmes, cérémonie des vainqueurs",여자 슈퍼대회전 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,ASW040M
ALP,W,SG----------------,----,8,,Ladies' Super-G,Super-G femmes,여자 슈퍼대회전,Ladies' Super-G,Super-G femmes,여자 슈퍼대회전,,,,ASW0400
ALP,W,SL----------------,FNL-,3,1,Ladies' Slalom,Slalom femmes,여자 회전,Ladies' Slalom,Slalom femmes,여자 회전,,,,ASW0201
ALP,W,SL----------------,DRAW,7,D,Ladies' Slalom Draw,"Slalom femmes, tirage au sort",여자 회전 추첨,Ladies' Slalom Draw,"Slalom femmes, tirage au sort",여자 회전 추첨,Draw,Tirage au sort,추첨,ASW020E
ALP,W,SL----------------,VICT,6,V,Ladies' Slalom Victory Ceremony,"Slalom femmes, cérémonie des vainqueurs",여자 회전 메달 시상식,Ladies' Slalom Victory Ceremony,"Slalom femmes, cérémonie des vainqueurs",여자 회전 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,ASW020M
ALP,W,SL----------------,----,8,,Ladies' Slalom,Slalom femmes,여자 회전,Ladies' Slalom,Slalom femmes,여자 회전,,,,ASW0200
ALP,X,------------------,MEET,9,M,Team Captains' Meeting - Mixed,Réunion chefs d'équipe - Mixte,대표자회의 - 혼성 단체전,Team Captains' Meeting - Mixed,Réunion des chefs d'équipe - Mixte,대표자회의 - 혼성 단체전,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,
ALP,X,------------------,----,8,,Mixed Alpine Skiing,Ski alpin mixte,알파인 스키 혼성 단체전,Mixed Alpine Skiing,Ski alpin mixte,알파인 스키 혼성 단체전,,,,
ALP,X,PLTEAM4-----------,FNL-,3,1,Alpine Team Event Finals,"Épreuve alpine par équipes, finales",알파인 스키 혼성 단체전 결승,Alpine Team Event Finals,"Épreuve alpine par équipes, finales",알파인 스키 혼성 단체전 결승,Finals,Finale,결승,
ALP,X,PLTEAM4-----------,SFNL,3,2,Alpine Team Event Semifinals,"Épreuve alpine par équipes, 1/2 finale",알파인 스키 혼성 단체전 준결승,Alpine Team Event Semifinals,"Épreuve alpine par équipes, demi-finales",알파인 스키 혼성 단체전 준결승,Semifinals,Demi-finales,준결승,
ALP,X,PLTEAM4-----------,QFNL,3,3,Alpine Team Event Quarterfinals,"Épreuve alpine par équipes, 1/4 finale",알파인 스키 혼성 단체전 준준결승,Alpine Team Event Quarterfinals,"Épreuve alpine par équipes, quarts de finale",알파인 스키 혼성 단체전 준준결승,Quarterfinals,Quarts de finale,준준결승,
ALP,X,PLTEAM4-----------,8FNL,3,4,Alpine Team Event 1/8 Finals,"Épreuve alpine équipes, 1/8 de finale",알파인 스키 혼성 단체전 16강전,Alpine Team Event 1/8 Finals,"Épreuve alpine par équipes, huitièmes de finale",알파인 스키 혼성 단체전 16강전,1/8 Finals,Huitièmes de finale,16강전,
ALP,X,PLTEAM4-----------,DRAW,7,D,Alpine Team Event Draw,"Épreuve alpine équipes, tirage au sort",알파인 스키 혼성 단체전 추첨,Alpine Team Event Draw,"Épreuve alpine par équipes, tirage au sort",알파인 스키 혼성 단체전 추첨,Draw,Tirage au sort,추첨,
ALP,X,PLTEAM4-----------,VICT,6,V,Alpine Team Event Victory Ceremony,"Ép. alpine équipes, cérémonie vainqueurs",알파인 스키 혼성 단체전 메달 시상식,Alpine Team Event Victory Ceremony,"Épreuve alpine par équipes, cérémonie des vainqueurs",알파인 스키 혼성 단체전 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,
ALP,X,PLTEAM4-----------,----,8,,Alpine Team Event,Épreuve alpine par équipes ,알파인 스키 혼성 단체전,Alpine Team Event,Épreuve alpine par équipes ,알파인 스키 혼성 단체전,,,,
ART,-,CIRCUS------------,----,8,,Circus / Street Arts,Cirque / Arts de la scène,서커스 / 거리예술,Circus / Street Arts,Cirque / Arts de la scène,서커스 / 거리예술,,,,AF0CRC0
ART,-,COMEDY------------,----,8,,Comedy,Comédie,코메디,Comedy,Comédie,코메디,,,,AF0CMD0
ART,-,DANCE-------------,----,8,,Dance,Danse,댄스,Dance,Danse,댄스,,,,AF0DNC0
ART,-,DIGITAL-----------,----,8,,Digital / Film / Video,Arts numériques / films / vidéos,디지털 / 필름 / 비디오,Digital / Film / Video,Arts numériques / films / vidéos,디지털 / 필름 / 비디오,,,,AF0DGT0
ART,-,LITERARY----------,----,8,,Literary Arts,Arts littéraires,문화예술,Literary Arts,Arts littéraires,문화예술,,,,AF0LTR0
ART,-,MUSIC-------------,----,8,,Music,Musique,음악,Music,Musique,음악,,,,AF0MSC0
ART,-,THEATRE-----------,----,8,,Theatre,Théâtre,극장,Theatre,Théâtre,극장,,,,AF0THT0
ART,-,VISUAL------------,----,8,,Visual Arts,Arts visuels,시각예술,Visual Arts,Arts visuels,시각예술,,,,AF0VSL0
BOB,-,------------------,DRAW,7,D,Bobsleigh Draw,"Bobsleigh, tirage au sort",봅슬레이 추첨,Bobsleigh Draw,"Bobsleigh, tirage au sort",봅슬레이 추첨,Draw,Tirage au sort,추첨,BS0000E
BOB,-,------------------,MEET,9,M,"Bobsleigh, Team Captain Meeting","Bobsleigh, réunion chefs d'équipe","봅슬레이, 팀대표자회의","Bobsleigh, Team Captain Meeting","Bobsleigh, réunion des chefs d'équipe","봅슬레이, 팀대표자회의",Team Captain Meeting,Réunion des chefs d'équipe,팀대표자회의,BS0000T
BOB,-,------------------,----,8,,Bobsleigh,Bobsleigh,봅슬레이,Bobsleigh,Bobsleigh,봅슬레이,,,,BS00000
BOB,-,CANCEL------------,----,3,,No competition,Pas de compétition,경기 없음,No competition,Pas de compétition,경기 없음,,,,
BOB,M,------------------,----,8,,Men's Bobsleigh,Bobsleigh hommes,봅슬레이 남자경기,Men's Bobsleigh,Bobsleigh hommes,봅슬레이 남자경기,,,,BSM0000
BOB,M,TEAM2-------------,FNL-,3,1,2-man,Bob à deux hommes,남자 2인승,2-man,Bob à deux hommes,남자 2인승,,,,BSM0201
BOB,M,TEAM2-------------,DRAW,7,D,2-man Draw,"Bob à deux hommes, tirage au sort",남자 2인승 추첨,2-man Draw,"Bob à deux hommes, tirage au sort",남자 2인승 추첨,Draw,Tirage au sort,추첨,BSM020E
BOB,M,TEAM2-------------,MEET,9,M,2-man Team Captain Meeting,"Bob à deux hommes, réun. chefs d'équipe",남자 2인승 팀대표자회의,2-man Team Captain Meeting,"Bob à deux hommes, réunion des chefs d'équipe",남자 2인승 팀대표자회의,Team Captain Meeting,Réunion des chefs d'équipe,팀대표자회의,BSM020T
BOB,M,TEAM2-------------,TRNO,1,T,2-man Official Training,"Bob à deux hommes, entraînement officiel",남자 2인승 공식연습,2-man Official Training,"Bob à deux hommes, entraînement officiel",남자 2인승 공식연습,Official Training,Entraînement officiel,공식연습,BSM020O
BOB,M,TEAM2-------------,VICT,6,V,2-man Victory Ceremony,"Bob à deux hommes, cérémonie vainqueurs",남자 2인승 메달 시상식,2-man Victory Ceremony,"Bob à deux hommes, cérémonie des vainqueurs",남자 2인승 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,BSM020M
BOB,M,TEAM2-------------,----,8,,2-man,Bob à deux hommes,남자 2인승,2-man,Bob à deux hommes,남자 2인승,,,,BSM0200
BOB,O,TEAM4-------------,FNL-,3,1,4-man,Bob à quatre,오픈 4인승,4-man,Bob à quatre,오픈 4인승,,,,BSM0401
BOB,O,TEAM4-------------,DRAW,7,D,4-man Draw,"Bob à quatre, tirage au sort",오픈 4인승 추첨,4-man Draw,"Bob à quatre, tirage au sort",오픈 4인승 추첨,Draw,Tirage au sort,추첨,BSM040E
BOB,O,TEAM4-------------,MEET,9,M,4-man Team Captain Meeting,"Bob à quatre, réunion chefs d'équipe",오픈 4인승 팀대표자회의,4-man Team Captain Meeting,"Bob à quatre, réunion des chefs d'équipe",오픈 4인승 팀대표자회의,Team Captain Meeting,Réunion des chefs d'équipe,팀대표자회의,BSM040T
BOB,O,TEAM4-------------,TRNO,1,T,4-man Official Training,"Bob à quatre, entraînement officiel",오픈 4인승 공식연습,4-man Official Training,"Bob à quatre, entraînement officiel",오픈 4인승 공식연습,Official Training,Entraînement officiel,공식연습,BSM040O
BOB,O,TEAM4-------------,VICT,6,V,4-man Victory Ceremony,"Bob à quatre, cérémonie des vainqueurs",오픈 4인승 메달 시상식,4-man Victory Ceremony,"Bob à quatre, cérémonie des vainqueurs",오픈 4인승 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,BSM040M
BOB,O,TEAM4-------------,----,8,,4-man,Bob à quatre,오픈 4인승,4-man,Bob à quatre,오픈 4인승,,,,BSM0400
BOB,O,------------------,----,8,,Open Bobsleigh,Bobsleigh ouvert,봅슬레이 오픈경기,Open Bobsleigh,Bobsleigh ouvert,봅슬레이 오픈경기,,,,
BOB,W,------------------,----,8,,Women's Bobsleigh,Bobsleigh femmes,봅슬레이 여자경기,Women's Bobsleigh,Bobsleigh femmes,봅슬레이 여자경기,,,,BSW0000
BOB,W,TEAM2-------------,FNL-,3,1,Women,Bob à deux femmes,여자 2인승,Women,Bob à deux femmes,여자 2인승,,,,BSW0201
BOB,W,TEAM2-------------,DRAW,7,D,Women Draw,"Bob à deux femmes, tirage au sort",여자 2인승 추첨,Women Draw,"Bob à deux femmes, tirage au sort",여자 2인승 추첨,Draw,Tirage au sort,추첨,BSW020E
BOB,W,TEAM2-------------,MEET,9,M,Women Team Captain Meeting,"Bob à deux femmes, réun. chefs d'équipe",여자 2인승 팀대표자회의,Women Team Captain Meeting,"Bob à deux femmes, réunion des chefs d'équipe",여자 2인승 팀대표자회의,Team Captain Meeting,Réunion des chefs d'équipe,팀대표자회의,BSW020T
BOB,W,TEAM2-------------,TRNO,1,T,Women Official Training,"Bob à deux femmes, entraînement officiel",여자 2인승 공식연습,Women Official Training,"Bob à deux femmes, entraînement officiel",여자 2인승 공식연습,Official Training,Entraînement officiel,공식연습,BSW020O
BOB,W,TEAM2-------------,VICT,6,V,Women Victory Ceremony,"Bob à deux femmes, cérémonie vainqueurs",여자 2인승 메달 시상식,Women Victory Ceremony,"Bob à deux femmes, cérémonie des vainqueurs",여자 2인승 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,BSW020M
BOB,W,TEAM2-------------,----,8,,Women,Bob à deux femmes,여자 2인승,Women,Bob à deux femmes,여자 2인승,,,,BSW0200
BSN,-,------------------,----,8,,IBSF events,Épreuves IBSF,IBSF 이벤트,IBSF events,Épreuves IBSF,IBSF 이벤트,,,,FM00000
BTH,-,------------------,DRAW,7,D,Biathlon Draw,"Biathlon, tirage au sort",바이애슬론 추첨,Biathlon Draw,"Biathlon, tirage au sort",바이애슬론 추첨,Draw,Tirage au sort,추첨,BT0000E
BTH,-,------------------,MEET,9,M,"Biathlon, Team Captain Meeting","Biathlon, réunion chefs d'équipe",바이애슬론 대표자회의,"Biathlon, Team Captain Meeting","Biathlon, réunion des chefs d'équipe",바이애슬론 대표자회의,Team Captain Meeting,Réunion des chefs d'équipe,대표자회의,BT0000T
BTH,-,------------------,----,8,,Biathlon,Biathlon,바이애슬론,Biathlon,Biathlon,바이애슬론,,,,BT00000
BTH,-,CANCEL------------,----,3,,No competition,Pas de compétition,경기 없음,No competition,Pas de compétition,경기 없음,,,,
BTH,M,------------------,----,8,,Men's Biathlon,Biathlon hommes,바이애슬론 남자,Men's Biathlon,Biathlon hommes,바이애슬론 남자,,,,BTM0000
BTH,M,10KMSP------------,FNL-,3,1,Men's 10km Sprint,10 km sprint hommes,남자 스프린트 10km ,Men's 10km Sprint,10 km sprint hommes,남자 스프린트 10km ,,,,BTM0101
BTH,M,10KMSP------------,DRAW,7,D,Men's 10km Sprint Draw,"10 km sprint hommes, tirage au sort",남자 스프린트 10km 추첨,Men's 10km Sprint Draw,"10 km sprint hommes, tirage au sort",남자 스프린트 10km 추첨,Draw,Tirage au sort,추첨,BTM010E
BTH,M,10KMSP------------,TRNO,1,T,Men's 10km Sprint Official Training,"10 km sprint hommes, entr. officiel",남자 스프린트 10km 공식연습,Men's 10km Sprint Official Training,"10 km sprint hommes, entraînement officiel",남자 스프린트 10km 공식연습,Official Training,Entraînement officiel,공식연습,BTM010O
BTH,M,10KMSP------------,ZERO,8,T,Men's 10km Sprint Zeroing,"10 km sprint hommes, tirs d'essai",남자 스프린트 10km 영점 사격,Men's 10km Sprint Zeroing,"10 km sprint hommes, tirs d'essai",남자 스프린트 10km 영점 사격,Zeroing,Tirs d'essai,영점 사격,BTM010U
BTH,M,10KMSP------------,VICT,6,V,Men's 10km Sprint Victory Ceremony,"10 km sprint H, cérémonie des vainqueurs",남자 스프린트 10km 메달 시상식,Men's 10km Sprint Victory Ceremony,"10 km sprint hommes, cérémonie des vainqueurs",남자 스프린트 10km 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,BTM010M
BTH,M,10KMSP------------,----,8,,Men's 10km Sprint,10 km sprint hommes,남자 스프린트 10km ,Men's 10km Sprint,10 km sprint hommes,남자 스프린트 10km ,,,,BTM0100
BTH,M,12.5KMPU----------,FNL-,3,1,Men's 12.5km Pursuit,"12,5 km poursuite hommes",남자 추적 12.5km ,Men's 12.5km Pursuit,"12,5 km poursuite hommes",남자 추적 12.5km ,,,,BTM5121
BTH,M,12.5KMPU----------,TRNO,1,T,Men's 12.5km Pursuit Official Training,"12,5 km poursuite hommes, entr. officiel",남자 추적 12.5km 공식연습,Men's 12.5km Pursuit Official Training,"12,5 km poursuite hommes, entraînement officiel",남자 추적 12.5km 공식연습,Official Training,Entraînement officiel,공식연습,BTM512O
BTH,M,12.5KMPU----------,ZERO,8,T,Men's 12.5km Pursuit Zeroing,"12,5 km poursuite hommes, tirs d'essai",남자 추적 12.5km 영점 사격,Men's 12.5km Pursuit Zeroing,"12,5 km poursuite hommes, tirs d'essai",남자 추적 12.5km 영점 사격,Zeroing,Tirs d'essai,영점 사격,BTM512U
BTH,M,12.5KMPU----------,VICT,6,V,Men's 12.5km Pursuit Victory Ceremony,"12,5 km poursuite H, cérémonie vainq.",남자 추적 12.5km 메달 시상식,Men's 12.5km Pursuit Victory Ceremony,"12,5 km poursuite hommes, cérémonie des vainqueurs",남자 추적 12.5km 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,BTM512M
BTH,M,12.5KMPU----------,----,8,,Men's 12.5km Pursuit,"12,5 km poursuite hommes",남자 추적 12.5km ,Men's 12.5km Pursuit,"12,5 km poursuite hommes",남자 추적 12.5km ,,,,BTM5120
BTH,M,15KMMS------------,FNL-,3,1,Men's 15km Mass Start,15 km départ groupé hommes,남자 단체출발 15km ,Men's 15km Mass Start,15 km départ groupé hommes,남자 단체출발 15km ,,,,BTM7151
BTH,M,15KMMS------------,TRNO,1,T,Men's 15km Mass Start Official Training,"15 km départ groupé hommes, entr. off.",남자 단체출발 15km 공식연습,Men's 15km Mass Start Official Training,"15 km départ groupé hommes, entraînement officiel",남자 단체출발 15km 공식연습,Official Training,Entraînement officiel,공식연습,BTM715O
BTH,M,15KMMS------------,ZERO,8,T,Men's 15km Mass Start Zeroing,"15 km départ groupé hommes, tirs d'essai",남자 단체출발 15km 영점 사격,Men's 15km Mass Start Zeroing,"15 km départ groupé hommes, tirs d'essai",남자 단체출발 15km 영점 사격,Zeroing,Tirs d'essai,영점 사격,BTM715U
BTH,M,15KMMS------------,VICT,6,V,Men's 15km Mass Start Victory Ceremony,"15 km départ groupé H, cérémonie vainq.",남자 단체출발 15km 메달 시상식,Men's 15km Mass Start Victory Ceremony,"15 km départ groupé hommes, cérémonie des vainqueurs",남자 단체출발 15km 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,BTM715M
BTH,M,15KMMS------------,----,8,,Men's 15km Mass Start,15 km départ groupé hommes,남자 단체출발 15km ,Men's 15km Mass Start,15 km départ groupé hommes,남자 단체출발 15km ,,,,BTM7150
BTH,M,20KMIS------------,FNL-,3,1,Men's 20km Individual,20 km individuel hommes,남자 개인 20km ,Men's 20km Individual,20 km individuel hommes,남자 개인 20km ,,,,BTM0201
BTH,M,20KMIS------------,DRAW,7,D,Men's 20km Individual Draw,"20 km individuel hommes, tirage au sort",남자 개인 20km 추첨,Men's 20km Individual Draw,"20 km individuel hommes, tirage au sort",남자 개인 20km 추첨,Draw,Tirage au sort,추첨,BTM020E
BTH,M,20KMIS------------,TRNO,1,T,Men's 20km Individual Official Training,"20 km individuel hommes, entr. officiel",남자 개인 20km 공식연습,Men's 20km Individual Official Training,"20 km individuel hommes, entraînement officiel",남자 개인 20km 공식연습,Official Training,Entraînement officiel,공식연습,BTM020O
BTH,M,20KMIS------------,ZERO,8,T,Men's 20km Individual Zeroing,"20 km individuel hommes, tirs d'essai",남자 개인 20km 영점 사격,Men's 20km Individual Zeroing,"20 km individuel hommes, tirs d'essai",남자 개인 20km 영점 사격,Zeroing,Tirs d'essai,영점 사격,BTM020U
