Discipline,Gender,Event,phase,type,order,ENG Description,KOR Description,ENG longdescription,KOR longdescription,ENG phase Description,KOR phase Description,Old DDGEEEP
ALP,M,GS------09110-----,VICT,6,V,"Men's G. Slalom, Stand., Vict. Ceremony",KOR,"Men's Giant Slalom, Standing, Victory Ceremony",KOR,Victory Ceremony,KOR,ASM130M
ALP,M,GS------12050-----,----,8,,"Men's Giant Slalom, Sitting",KOR,"Men's Giant Slalom, Sitting",KOR,,,ASM2300
ALP,M,GS------12050-----,DRAW,7,D,"Men's Giant Slalom, Sitting, Draw",KOR,"Men's Giant Slalom, Sitting, Draw",KOR,Draw,KOR,ASM230E
ALP,M,GS------12050-----,FNL-,3,1,"Men's Giant Slalom, Sitting",KOR,"Men's Giant Slalom, Sitting",KOR,,,ASM2301
ALP,M,GS------12050-----,VICT,6,V,"Men's G Slalom, Sitting, Vict. Ceremony",KOR,"Men's Giant Slalom, Sitting, Victory Ceremony",KOR,Victory Ceremony,KOR,ASM230M
ALP,M,SG----------------,----,8,,Men's Super-G,KOR,Men's Super-G,KOR,,,ASM0400
ALP,M,SG------03030-----,----,8,,"Men's Super-G, Visually Impaired",KOR,"Men's Super-G, Visually Impaired",KOR,,,ASM3400
ALP,M,SG------03030-----,DRAW,7,D,"Men's Super-G, Vis Imp, Draw",KOR,"Men's Super-G, Visually Impaired, Draw",KOR,Draw,KOR,ASM340E
ALP,M,SG------03030-----,FNL-,3,1,"Men's Super-G, Visually Impaired",KOR,"Men's Super-G, Visually Impaired",KOR,,,ASM3401
ALP,M,SG------03030-----,VICT,6,V,"Men's Super-G, Vis Imp, Vict. Ceremony",KOR,"Men's Super-G, Visually Impaired, Victory Ceremony",KOR,Victory Ceremony,KOR,ASM340M
ALP,M,SG------09110-----,----,8,,"Men's Super-G, Standing",KOR,"Men's Super-G, Standing",KOR,,,ASM1400
ALP,M,SG------09110-----,DRAW,7,D,"Men's Super-G, Standing, Draw",KOR,"Men's Super-G, Standing, Draw",KOR,Draw,KOR,ASM140E
ALP,M,SG------09110-----,FNL-,3,1,"Men's Super-G, Standing",KOR,"Men's Super-G, Standing",KOR,,,ASM1401
ALP,M,SG------09110-----,VICT,6,V,"Men's Super-G, Standing, Vict. Ceremony",KOR,"Men's Super-G, Standing, Victory Ceremony",KOR,Victory Ceremony,KOR,ASM140M
ALP,M,SG------12050-----,----,8,,"Men's Super-G, Sitting",KOR,"Men's Super-G, Sitting",KOR,,,ASM2400
ALP,M,SG------12050-----,DRAW,7,D,"Men's Super-G, Sitting, Draw",KOR,"Men's Super-G, Sitting, Draw",KOR,Draw,KOR,ASM240E
ALP,M,SG------12050-----,FNL-,3,1,"Men's Super-G, Sitting",KOR,"Men's Super-G, Sitting",KOR,,,ASM2401
ALP,M,SG------12050-----,VICT,6,V,"Men's Super-G, Sitting, Vict. Ceremony",KOR,"Men's Super-G, Sitting, Victory Ceremony",KOR,Victory Ceremony,KOR,ASM240M
ALP,M,SL----------------,----,8,,Men's Slalom,KOR,Men's Slalom,KOR,,,ASM0200
ALP,M,SL------03030-----,----,8,,"Men's Slalom, Visually Impaired",KOR,"Men's Slalom, Visually Impaired",KOR,,,ASM3200
ALP,M,SL------03030-----,DRAW,7,D,"Men's Slalom, Vis Imp, Draw",KOR,"Men's Slalom, Visually Impaired, Draw",KOR,Draw,KOR,ASM320E
ALP,M,SL------03030-----,FNL-,3,1,"Men's Slalom, Visually Impaired",KOR,"Men's Slalom, Visually Impaired",KOR,,,ASM3201
ALP,M,SL------03030-----,VICT,6,V,"Men's Slalom, Vis Imp., Vict. Ceremony",KOR,"Men's Slalom, Visually Impaired, Victory Ceremony",KOR,Victory Ceremony,KOR,ASM320M
ALP,M,SL------09110-----,----,8,,"Men's Slalom, Standing",KOR,"Men's Slalom, Standing",KOR,,,ASM1200
ALP,M,SL------09110-----,DRAW,7,D,"Men's Slalom, Standing, Draw",KOR,"Men's Slalom, Standing, Draw",KOR,Draw,KOR,ASM120E
ALP,M,SL------09110-----,FNL-,3,1,"Men's Slalom, Standing",KOR,"Men's Slalom, Standing",KOR,,,ASM1201
ALP,M,SL------09110-----,VICT,6,V,"Men's Slalom, Standing, Vict. Ceremony",KOR,"Men's Slalom, Standing, Victory Ceremony",KOR,Victory Ceremony,KOR,ASM120M
ALP,M,SL------12050-----,----,8,,"Men's Slalom, Sitting",KOR,"Men's Slalom, Sitting",KOR,,,ASM2200
ALP,M,SL------12050-----,DRAW,7,D,"Men's Slalom, Sitting, Draw",KOR,"Men's Slalom, Sitting, Draw",KOR,Draw,KOR,ASM220E
ALP,M,SL------12050-----,FNL-,3,1,"Men's Slalom, Sitting",KOR,"Men's Slalom, Sitting",KOR,,,ASM2201
ALP,M,SL------12050-----,VICT,6,V,"Men's Slalom, Sitting, Ceremonies",KOR,"Men's Slalom, Sitting, Victory Ceremony",KOR,Victory Ceremony,KOR,ASM220M
ALP,W,------------------,----,8,,Women's Alpine Skiing,KOR,Women's Alpine Skiing,KOR,,,ASW0000
ALP,W,AC----------------,----,8,,Women's Combined,KOR,Women's Combined,KOR,,,ASW0600
ALP,W,AC------03030-----,----,8,,"Women's Combined, Visually Impaired",KOR,"Women's Combined, Visually Imp",KOR,,,ASW3600
ALP,W,AC------03030-----,DRAW,7,D,"Women's Combined, Visually Imp, Draw",KOR,"Women's Combined, Visually Imp, Draw",KOR,Draw,KOR,ASW360E
ALP,W,AC------03030-----,FNL-,3,1,"Women's Combined, Visually Impaired",KOR,"Women's Combined, Visually Imp",KOR,,,ASW3601
ALP,W,AC------03030-----,TRNO,1,T,"Women's Combined Vis Imp, Downhill Train",KOR,"Women's Combined, Visually Imp, Downhill Training",KOR,Downhill Training,KOR,ASW360O
ALP,W,AC------03030-----,VICT,6,V,"Women's Combined, Vis Imp, Vict. Cer",KOR,"Women's Combined, Visually Imp, Victory Ceremony",KOR,Victory Ceremony,KOR,ASW360M
ALP,W,AC------09110-----,----,8,,"Women's Combined, Standing",KOR,"Women's Combined, Standing",KOR,,,ASW1600
ALP,W,AC------09110-----,DRAW,7,D,"Women's Combined, Standing, Draw",KOR,"Women's Combined, Standing, Draw",KOR,Draw,KOR,ASW160E
ALP,W,AC------09110-----,FNL-,3,1,"Women's Combined, Standing",KOR,"Women's Combined, Standing",KOR,,,ASW1601
ALP,W,AC------09110-----,TRNO,1,T,"Women's Combined, Standing, DH Training",KOR,"Women's Combined, Standing, Downhill Training",KOR,Downhill Training,KOR,ASW160O
ALP,W,AC------09110-----,VICT,6,V,"Women's Combined, Standing, Vict. Cer",KOR,"Women's Combined, Standing, Victory Ceremony",KOR,Victory Ceremony,KOR,ASW160M
ALP,W,AC------12050-----,----,8,,"Women's Combined, Sitting",KOR,"Women's Combined, Sitting",KOR,,,ASW2600
ALP,W,AC------12050-----,DRAW,7,D,"Women's Combined, Sitting, Draw",KOR,"Women's Combined, Sitting, Draw",KOR,Draw,KOR,ASW260E
ALP,W,AC------12050-----,FNL-,3,1,"Women's Combined, Sitting",KOR,"Women's Combined, Sitting",KOR,,,ASW2601
ALP,W,AC------12050-----,TRNO,1,T,"Women's Combined Sitting, Downhill Train",KOR,"Women's Combined, Sitting, Downhill Training",KOR,Downhill Training,KOR,ASW260O
ALP,W,AC------12050-----,VICT,6,V,"Women's Combined, Sitting, Vict. Cer",KOR,"Women's Combined, Sitting, Victory Ceremony",KOR,Victory Ceremony,KOR,ASW260M
ALP,W,DH----------------,----,8,,Women's Downhill,KOR,Women's Downhill,KOR,,,ASW0100
ALP,W,DH----------------,TRNO,1,T,"Women's Downhill, Training Run",KOR,"Women's Downhill, Training Run",KOR,Training Run,KOR,ASW010O
ALP,W,DH------03030-----,----,8,,"Women's Downhill, Visually Impaired",KOR,"Women's Downhill, Visually Impaired",KOR,,,ASW3100
ALP,W,DH------03030-----,DRAW,7,D,"Women's Downhill, Vis Imp, Draw",KOR,"Women's Downhill, Visually Impaired, Draw",KOR,Draw,KOR,ASW310E
ALP,W,DH------03030-----,FNL-,3,1,"Women's Downhill, Visually Impaired",KOR,"Women's Downhill, Visually Impaired",KOR,,,ASW3101
ALP,W,DH------03030-----,TRNO,1,T,"Women's Downhill, Vis Imp, Trng Run",KOR,"Women's Downhill, Visually Impaired, Training Run",KOR,Training Run,KOR,ASW310O
ALP,W,DH------03030-----,VICT,6,V,"Women's Downhill, Vis Imp, Vict. Cer.",KOR,"Women's Downhill, Visually Impaired, Victory Ceremony",KOR,Victory Ceremony,KOR,ASW310M
ALP,W,DH------09110-----,----,8,,"Women's Downhill, Standing",KOR,"Women's Downhill, Standing",KOR,,,ASW1100
ALP,W,DH------09110-----,DRAW,7,D,"Women's Downhill, Standing, Draw",KOR,"Women's Downhill, Standing, Draw",KOR,Draw,KOR,ASW110E
ALP,W,DH------09110-----,FNL-,3,1,"Women's Downhill, Standing",KOR,"Women's Downhill, Standing",KOR,,,ASW1101
ALP,W,DH------09110-----,TRNO,1,T,"Women's Downhill, Standing, Trng Run",KOR,"Women's Downhill, Standing, Training Run",KOR,Training Run,KOR,ASW110O
ALP,W,DH------09110-----,VICT,6,V,"Women's Downhill, Stand., Vict. Ceremony",KOR,"Women's Downhill, Standing, Victory Ceremony",KOR,Victory Ceremony,KOR,ASW110M
ALP,W,DH------12050-----,----,8,,"Women's Downhill, Sitting",KOR,"Women's Downhill, Sitting",KOR,,,ASW2100
ALP,W,DH------12050-----,DRAW,7,D,"Women's Downhill, Sitting, Draw",KOR,"Women's Downhill, Sitting, Draw",KOR,Draw,KOR,ASW210E
ALP,W,DH------12050-----,FNL-,3,1,"Women's Downhill, Sitting",KOR,"Women's Downhill, Sitting",KOR,,,ASW2101
ALP,W,DH------12050-----,TRNO,1,T,"Women's Downhill, Sitting, Trng Run",KOR,"Women's Downhill, Sitting, Training Run",KOR,Training Run,KOR,ASW210O
ALP,W,DH------12050-----,VICT,6,V,"Women's Downhill, Sitting, Vict. Cer.",KOR,"Women's Downhill, Sitting, Victory Ceremony",KOR,Victory Ceremony,KOR,ASW210M
ALP,W,GS----------------,----,8,,Women's Giant Slalom,KOR,Women's Giant Slalom,KOR,,,ASW0300
ALP,W,GS------03030-----,----,8,,"Women's Giant Slalom, Visually Impaired",KOR,"Women's Giant Slalom, Visually Impaired",KOR,,,ASW3300
ALP,W,GS------03030-----,DRAW,7,D,"Women's Giant Slalom, Vis Imp, Draw",KOR,"Women's Giant Slalom, Visually Impaired, Draw",KOR,Draw,KOR,ASW330E
ALP,W,GS------03030-----,FNL-,3,1,"Women's Giant Slalom, Visually Impaired",KOR,"Women's Giant Slalom, Visually Impaired",KOR,,,ASW3301
ALP,W,GS------03030-----,VICT,6,V,"Women's G Slalom, Vis Imp, Ceremonies",KOR,"Women's Giant Slalom, Visually Impaired, Victory Ceremony",KOR,Victory Ceremony,KOR,ASW330M
ALP,W,GS------09110-----,----,8,,"Women's Giant Slalom, Standing",KOR,"Women's Giant Slalom, Standing",KOR,,,ASW1300
ALP,W,GS------09110-----,DRAW,7,D,"Women's Giant Slalom, Standing, Draw",KOR,"Women's Giant Slalom, Standing, Draw",KOR,Draw,KOR,ASW130E
ALP,W,GS------09110-----,FNL-,3,1,"Women's Giant Slalom, Standing",KOR,"Women's Giant Slalom, Standing",KOR,,,ASW1301
ALP,W,GS------09110-----,VICT,6,V,"Women's G Slalom, Stand, Vict. Ceremony",KOR,"Women's Giant Slalom, Standing, Victory Ceremony",KOR,Victory Ceremony,KOR,ASW130M
ALP,W,GS------12050-----,----,8,,"Women's Giant Slalom, Sitting",KOR,"Women's Giant Slalom, Sitting",KOR,,,ASW2300
ALP,W,GS------12050-----,DRAW,7,D,"Women's Giant Slalom, Sitting, Draw",KOR,"Women's Giant Slalom, Sitting, Draw",KOR,Draw,KOR,ASW230E
ALP,W,GS------12050-----,FNL-,3,1,"Women's Giant Slalom, Sitting",KOR,"Women's Giant Slalom, Sitting",KOR,,,ASW2301
ALP,W,GS------12050-----,VICT,6,V,"Women's G Slalom, Sit., Vict. Ceremony",KOR,"Women's Giant Slalom, Sitting, Victory Ceremony",KOR,Victory Ceremony,KOR,ASW230M
ALP,W,SG----------------,----,8,,Women's Super-G,KOR,Women's Super-G,KOR,,,ASW0400
ALP,W,SG------03030-----,----,8,,"Women's Super-G, Visually Impaired",KOR,"Women's Super-G, Visually Impaired",KOR,,,ASW3400
ALP,W,SG------03030-----,DRAW,7,D,"Women's Super-G, Vis Imp, Draw",KOR,"Women's Super-G, Visually Impaired, Draw",KOR,Draw,KOR,ASW340E
ALP,W,SG------03030-----,FNL-,3,1,"Women's Super-G, Visually Impaired",KOR,"Women's Super-G, Visually Impaired",KOR,,,ASW3401
ALP,W,SG------03030-----,VICT,6,V,"Women's Super-G, Vis Imp, Ceremonies",KOR,"Women's Super-G, Visually Impaired, Victory Ceremony",KOR,Victory Ceremony,KOR,ASW340M
ALP,W,SG------09110-----,----,8,,"Women's Super-G, Standing",KOR,"Women's Super-G, Standing",KOR,,,ASW1400
ALP,W,SG------09110-----,DRAW,7,D,"Women's Super-G, Standing, Draw",KOR,"Women's Super-G, Standing, Draw",KOR,Draw,KOR,ASW140E
ALP,W,SG------09110-----,FNL-,3,1,"Women's Super-G, Standing",KOR,"Women's Super-G, Standing",KOR,,,ASW1401
ALP,W,SG------09110-----,VICT,6,V,"Women's Super-G, Stand., Vict. Ceremony",KOR,"Women's Super-G, Standing, Victory Ceremony",KOR,Victory Ceremony,KOR,ASW140M
ALP,W,SG------12050-----,----,8,,"Women's Super-G, Sitting",KOR,"Women's Super-G, Sitting",KOR,,,ASW2400
ALP,W,SG------12050-----,DRAW,7,D,"Women's Super-G, Sitting, Draw",KOR,"Women's Super-G, Sitting, Draw",KOR,Draw,KOR,ASW240E
ALP,W,SG------12050-----,FNL-,3,1,"Women's Super-G, Sitting",KOR,"Women's Super-G, Sitting",KOR,,,ASW2401
ALP,W,SG------12050-----,VICT,6,V,"Women's Super-G, Sitting, Vict. Cer.",KOR,"Women's Super-G, Sitting, Victory Ceremony",KOR,Victory Ceremony,KOR,ASW240M
ALP,W,SL----------------,----,8,,Women's Slalom,KOR,Women's Slalom,KOR,,,ASW0200
ALP,W,SL------03030-----,----,8,,"Women's Slalom, Visually Impaired",KOR,"Women's Slalom, Visually Impaired",KOR,,,ASW3200
ALP,W,SL------03030-----,DRAW,7,D,"Women's Slalom, Vis Imp, Draw",KOR,"Women's Slalom, Visually Impaired, Draw",KOR,Draw,KOR,ASW320E
ALP,W,SL------03030-----,FNL-,3,1,"Women's Slalom, Visually Impaired",KOR,"Women's Slalom, Visually Impaired",KOR,,,ASW3201
ALP,W,SL------03030-----,VICT,6,V,"Women's Slalom, Vis Imp, Vict. Ceremony",KOR,"Women's Slalom, Visually Impaired, Victory Ceremony",KOR,Victory Ceremony,KOR,ASW320M
ALP,W,SL------09110-----,----,8,,"Women's Slalom, Standing",KOR,"Women's Slalom, Standing",KOR,,,ASW1200
ALP,W,SL------09110-----,DRAW,7,D,"Women's Slalom, Standing, Draw",KOR,"Women's Slalom, Standing, Draw",KOR,Draw,KOR,ASW120E
ALP,W,SL------09110-----,FNL-,3,1,"Women's Slalom, Standing",KOR,"Women's Slalom, Standing",KOR,,,ASW1201
ALP,W,SL------09110-----,VICT,6,V,"Women's Slalom, Stand., Vict. Ceremony",KOR,"Women's Slalom, Standing, Victory Ceremony",KOR,Victory Ceremony,KOR,ASW120M
ALP,W,SL------12050-----,----,8,,"Women's Slalom, Sitting",KOR,"Women's Slalom, Sitting",KOR,,,ASW2200
ALP,W,SL------12050-----,DRAW,7,D,"Women's Slalom, Sitting, Draw",KOR,"Women's Slalom, Sitting, Draw",KOR,Draw,KOR,ASW220E
ALP,W,SL------12050-----,FNL-,3,1,"Women's Slalom, Sitting",KOR,"Women's Slalom, Sitting",KOR,,,ASW2201
ALP,W,SL------12050-----,VICT,6,V,"Women's Slalom, Sitting, Vict. Ceremony",KOR,"Women's Slalom, Sitting, Victory Ceremony",KOR,Victory Ceremony,KOR,ASW220M
ART,-,CIRCUS------------,----,8,,Circus / Street Arts,KOR,Circus / Street Arts,KOR,,,AF0CRC0
ART,-,COMEDY------------,----,8,,Comedy,KOR,Comedy,KOR,,,AF0CMD0
ART,-,CULTURAL----------,----,8,,Cultural Activities,KOR,Cultural Activities,KOR,,,
ART,-,DANCE-------------,----,8,,Dance,KOR,Dance,KOR,,,AF0DNC0
ART,-,DIGITAL-----------,----,8,,Digital / Film / Video,KOR,Digital / Film / Video,KOR,,,AF0DGT0
ART,-,LITERARY----------,----,8,,Literary Arts,KOR,Literary Arts,KOR,,,AF0LTR0
ART,-,MUSIC-------------,----,8,,Music,KOR,Music,KOR,,,AF0MSC0
ART,-,SPONSOR-----------,----,8,,Sponsor Activities,KOR,Sponsor Activities,KOR,,,
ART,-,THEATRE-----------,----,8,,Theatre,KOR,Theatre,KOR,,,AF0THT0
ART,-,VISUAL------------,----,8,,Visual Arts,KOR,Visual Arts,KOR,,,AF0VSL0
BTH,-,------------------,----,8,,Biathlon,KOR,Biathlon,KOR,,,BT00000
BTH,-,------------------,MEET,9,M,"Biathlon, Team Captain Meeting",KOR,"Biathlon, Team Captain Meeting",KOR,Team Captain Meeting,KOR,BT0000T
BTH,M,------------------,----,8,,Men's Biathlon,KOR,Men's Biathlon,KOR,,,BTM0000
BTH,M,12.5KM--03030-----,----,8,,"Men's 12.5km, Visually Impaired",KOR,"Men's 12.5km, Visually Impaired",KOR,,,BTM3200
BTH,M,12.5KM--03030-----,FNL-,3,1,"Men's 12.5km, Visually Impaired",KOR,"Men's 12.5km, Visually Impaired",KOR,,,BTM3201
BTH,M,12.5KM--03030-----,TRNO,1,T,"Men's 12.5km, Vis Imp, Off. Training",KOR,"Men's 12.5km, Visually Impaired, Official Training",KOR,Official Training,KOR,BTM320O
BTH,M,12.5KM--03030-----,VICT,6,V,"Men's 12.5km, Vis Imp, Vict. Ceremony",KOR,"Men's 12.5km, Visually Impaired, Victory Ceremony",KOR,Victory Ceremony,KOR,BTM320M
BTH,M,12.5KM--09070-----,----,8,,"Men's 12.5km, Standing",KOR,"Men's 12.5km, Standing",KOR,,,BTM1200
BTH,M,12.5KM--09070-----,FNL-,3,1,"Men's 12.5km, Standing",KOR,"Men's 12.5km, Standing",KOR,,,BTM1201
BTH,M,12.5KM--09070-----,TRNO,1,T,"Men's 12.5km, Standing, Off. Training",KOR,"Men's 12.5km, Standing, Official Training",KOR,Official Training,KOR,BTM120O
BTH,M,12.5KM--09070-----,VICT,6,V,"Men's 12.5km, Standing, Vict. Ceremony",KOR,"Men's 12.5km, Standing, Victory Ceremony",KOR,Victory Ceremony,KOR,BTM120M
BTH,M,12.5KM--12050-----,----,8,,"Men's 12.5km, Sitting",KOR,"Men's 12.5km, Sitting",KOR,,,BTM2200
BTH,M,12.5KM--12050-----,FNL-,3,1,"Men's 12.5km, Sitting",KOR,"Men's 12.5km, Sitting",KOR,,,BTM2201
BTH,M,12.5KM--12050-----,TRNO,1,T,"Men's 12.5km, Sitting, Off. Training",KOR,"Men's 12.5km, Sitting, Official Training",KOR,Official Training,KOR,BTM220O
BTH,M,12.5KM--12050-----,VICT,6,V,"Men's 12.5km, Sitting, Vict. Ceremony",KOR,"Men's 12.5km, Sitting, Victory Ceremony",KOR,Victory Ceremony,KOR,BTM220M
BTH,M,15KM----03030-----,----,8,,"Men's 15km, Visually Impaired",KOR,"Men's 15km, Visually Impaired",KOR,,,BTM3300
BTH,M,15KM----03030-----,FNL-,3,1,"Men's 15km, Visually Impaired",KOR,"Men's 15km, Visually Impaired",KOR,,,BTM3301
BTH,M,15KM----03030-----,TRNO,1,T,"Men's 15km, Vis Imp, Official Training",KOR,"Men's 15km, Visually Impaired, Official Training",KOR,Official Training,KOR,BTM330O
BTH,M,15KM----03030-----,VICT,6,V,"Men's 15km, Vis Imp, Victory Ceremony",KOR,"Men's 15km, Visually Impaired, Victory Ceremony",KOR,Victory Ceremony,KOR,BTM330M
BTH,M,15KM----09070-----,----,8,,"Men's 15km, Standing",KOR,"Men's 15km, Standing",KOR,,,BTM1300
BTH,M,15KM----09070-----,FNL-,3,1,"Men's 15km, Standing",KOR,"Men's 15km, Standing",KOR,,,BTM1301
BTH,M,15KM----09070-----,TRNO,1,T,"Men's 15km, Standing, Off. Training",KOR,"Men's 15km, Standing, Official Training",KOR,Official Training,KOR,BTM130O
BTH,M,15KM----09070-----,VICT,6,V,"Men's 15km, Standing, Vict. Ceremony",KOR,"Men's 15km, Standing, Victory Ceremony",KOR,Victory Ceremony,KOR,BTM130M
BTH,M,15KM----12050-----,----,8,,"Men's 15km, Sitting",KOR,"Men's 15km, Sitting",KOR,,,BTM2300
BTH,M,15KM----12050-----,FNL-,3,1,"Men's 15km, Sitting",KOR,"Men's 15km, Sitting",KOR,,,BTM2301
BTH,M,15KM----12050-----,TRNO,1,T,"Men's 15km, Sitting, Official Training",KOR,"Men's 15km, Sitting, Official Training",KOR,Official Training,KOR,BTM230O
