Discipline,Gender,Event,order,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,Team Event
AT,M,033,9,Men's 3000m Steeplechase,3 000 m steeple - hommes,3.000m com obstáculos masculino,3000m con obstáculos masculino,Men's 3000m Steeplechase,3 000 m steeple - hommes,3.000m com obstáculos masculino,3000m con obstáculos masculino,
AT,M,044,11,Men's 400m Hurdles,400 m haies - hommes,400m com barreiras masculino,400m con vallas masculino,Men's 400m Hurdles,400 m haies - hommes,400m com barreiras masculino,400m con vallas masculino,
AT,M,050,6,Men's 5000m,5 000 m - hommes,5.000m rasos masculino,5000m masculino,Men's 5000m,5 000 m - hommes,5.000m rasos masculino,5000m masculino,
AT,M,051,16,Men's Shot Put,Lancer de poids - hommes,Arremesso do peso masculino,Lanzamiento de bala masculino,Men's Shot Put,Lancer de poids - hommes,Arremesso do peso masculino,Lanzamiento de bala masculino,
AT,M,052,17,Men's Discus Throw,Lancer de disque - hommes,Lançamento do disco masculino,Lanzamiento de disco masculino,Men's Discus Throw,Lancer de disque - hommes,Lançamento do disco masculino,Lanzamiento de disco masculino,
AT,M,053,19,Men's Javelin Throw,Lancer de javelot - hommes,Lançamento do dardo masculino,Lanzamiento de jabalina masculino,Men's Javelin Throw,Lancer de javelot - hommes,Lançamento do dardo masculino,Lanzamiento de jabalina masculino,
AT,M,054,18,Men's Hammer Throw,Lancer de marteau - hommes,Lançamento do martelo masculino,Lanzamiento de martillo masculino,Men's Hammer Throw,Lancer de marteau - hommes,Lançamento do martelo masculino,Lanzamiento de martillo masculino,
AT,M,061,14,Men's Long Jump,Saut en longueur - hommes,Salto em distância masculino,Salto de longitud masculino,Men's Long Jump,Saut en longueur - hommes,Salto em distância masculino,Salto de longitud masculino,
AT,M,062,15,Men's Triple Jump,Triple saut - hommes,Salto triplo masculino ,Salto triple masculino,Men's Triple Jump,Triple saut - hommes,Salto triplo masculino ,Salto triple masculino,
AT,M,071,12,Men's High Jump,Saut en hauteur - hommes,Salto em altura masculino,Salto de altura masculino,Men's High Jump,Saut en hauteur - hommes,Salto em altura masculino,Salto de altura masculino,
AT,M,072,13,Men's Pole Vault,Saut à la perche - hommes,Salto com vara masculino,Salto con garrocha masculino,Men's Pole Vault,Saut à la perche - hommes,Salto com vara masculino,Salto con garrocha masculino,
AT,M,092,21,Men's 20km Walk,20 km marche - hommes,Marcha atlética 20km masculina,Marcha atlética 20km masculina,Men's 20km Walk,20 km marche - hommes,Marcha atlética 20km masculina,Marcha atlética 20km masculina,
AT,M,095,22,Men's 50km Walk,50 km marche - hommes,Marcha atlética 50km masculina,Marcha atlética 50km masculina,Men's 50km Walk,50 km marche - hommes,Marcha atlética 50km masculina,Marcha atlética 50km masculina,
AT,M,099,8,Men's Marathon,Marathon - hommes,Maratona masculina,Maratón masculino,Men's Marathon,Marathon - hommes,Maratona masculina,Maratón masculino,
AT,M,100,7,"Men's 10,000m",10 000 m - hommes,10.000m rasos masculino,10.000m masculino,"Men's 10,000m",10 000 m - hommes,10.000m rasos masculino,10.000m masculino,
AT,M,401,23,Men's 4 x 100m Relay,Relais 4 x 100 m - hommes,Revezamento 4x100m masculino,Relevo 4x100m masculino,Men's 4 x 100m Relay,Relais 4 x 100 m - hommes,Revezamento 4x100m masculino,Relevo 4x100m masculino,Y
AT,M,404,24,Men's 4 x 400m Relay,Relais 4 x 400 m - hommes,Revezamento 4x400m masculino,Relevo 4x400m masculino,Men's 4 x 400m Relay,Relais 4 x 400 m - hommes,Revezamento 4x400m masculino,Relevo 4x400m masculino,Y
AT,M,900,20,Men's Decathlon,Décathlon - hommes,Decatlo masculino,Decatlón masculino,Men's Decathlon,Décathlon - hommes,Decatlo masculino,Decatlón masculino,
AT,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
AT,W,001,26,Women's 100m,100 m - femmes,100m rasos feminino,100m femenino,Women's 100m,100 m - femmes,100m rasos feminino,100m femenino,
AT,W,002,27,Women's 200m,200 m - femmes,200m rasos feminino,200m femenino,Women's 200m,200 m - femmes,200m rasos feminino,200m femenino,
AT,W,004,28,Women's 400m,400 m - femmes,400m rasos feminino,400m femenino,Women's 400m,400 m - femmes,400m rasos feminino,400m femenino,
AT,W,008,29,Women's 800m,800 m - femmes,800m rasos feminino,800m femenino,Women's 800m,800 m - femmes,800m rasos feminino,800m femenino,
AT,W,011,35,Women's 100m Hurdles,100 m haies - femmes,100m com barreiras feminino,100m con vallas femenino,Women's 100m Hurdles,100 m haies - femmes,100m com barreiras feminino,100m con vallas femenino,
AT,W,015,30,Women's 1500m,1 500 m - femmes,1.500m rasos feminino,1500m femenino,Women's 1500m,1 500 m - femmes,1.500m rasos feminino,1500m femenino,
AT,W,033,34,Women's 3000m Steeplechase,3 000 m steeple - femmes,3.000m com obstáculos feminino,3000m con obstáculos femenino,Women's 3000m Steeplechase,3 000 m steeple - femmes,3.000m com obstáculos feminino,3000m con obstáculos femenino,
AT,W,044,36,Women's 400m Hurdles,400 m haies - femmes,400m com barreiras feminino,400m con vallas femenino,Women's 400m Hurdles,400 m haies - femmes,400m com barreiras feminino,400m con vallas femenino,
AT,W,050,31,Women's 5000m,5 000 m - femmes,5.000m rasos feminino,5000m femenino,Women's 5000m,5 000 m - femmes,5.000m rasos feminino,5000m femenino,
AT,W,051,41,Women's Shot Put,Lancer de poids - femmes,Arremesso do peso feminino,Lanzamiento de bala femenino,Women's Shot Put,Lancer de poids - femmes,Arremesso do peso feminino,Lanzamiento de bala femenino,
AT,W,052,42,Women's Discus Throw,Lancer de disque - femmes,Lançamento do disco feminino,Lanzamiento de disco femenino,Women's Discus Throw,Lancer de disque - femmes,Lançamento do disco feminino,Lanzamiento de disco femenino,
AT,W,053,44,Women's Javelin Throw,Lancer de javelot - femmes,Lançamento do dardo feminino,Lanzamiento de jabalina femenino,Women's Javelin Throw,Lancer de javelot - femmes,Lançamento do dardo feminino,Lanzamiento de jabalina femenino,
AT,W,054,43,Women's Hammer Throw,Lancer de marteau - femmes,Lançamento do martelo feminino,Lanzamiento de martillo femenino,Women's Hammer Throw,Lancer de marteau - femmes,Lançamento do martelo feminino,Lanzamiento de martillo femenino,
AT,W,061,39,Women's Long Jump,Saut en longueur - femmes,Salto em distância feminino,Salto de longitud femenino,Women's Long Jump,Saut en longueur - femmes,Salto em distância feminino,Salto de longitud femenino,
AT,W,062,40,Women's Triple Jump,Triple saut - femmes,Salto triplo feminino,Salto triple femenino,Women's Triple Jump,Triple saut - femmes,Salto triplo feminino,Salto triple femenino,
AT,W,071,37,Women's High Jump,Saut en hauteur - femmes,Salto em altura feminino,Salto de altura femenino,Women's High Jump,Saut en hauteur - femmes,Salto em altura feminino,Salto de altura femenino,
AT,W,072,38,Women's Pole Vault,Saut à la perche - femmes,Salto com vara  feminino,Salto con garrocha femenino,Women's Pole Vault,Saut à la perche - femmes,Salto com vara  feminino,Salto con garrocha femenino,
AT,W,092,46,Women's 20km Walk,20 km marche - femmes,Marcha atlética 20km feminina,Marcha atlética 20km femenina,Women's 20km Walk,20 km marche - femmes,Marcha atlética 20km feminina,Marcha atlética 20km femenina,
AT,W,099,33,Women's Marathon,Marathon - femmes,Maratona feminina,Maratón femenino,Women's Marathon,Marathon - femmes,Maratona feminina,Maratón femenino,
AT,W,100,32,"Women's 10,000m",10 000 m - femmes,10.000m rasos feminino,10.000m femenino,"Women's 10,000m",10 000 m - femmes,10.000m rasos feminino,10.000m femenino,
AT,W,401,47,Women's 4 x 100m Relay,Relais 4 x 100 m - femmes,Revezamento 4x100m feminino,Relevo 4x100m femenino,Women's 4 x 100m Relay,Relais 4 x 100 m - femmes,Revezamento 4x100m feminino,Relevo 4x100m femenino,Y
AT,W,404,48,Women's 4 x 400m Relay,Relais 4 x 400 m - femmes,Revezamento 4x400m feminino,Relevo 4x400m femenino,Women's 4 x 400m Relay,Relais 4 x 400 m - femmes,Revezamento 4x400m feminino,Relevo 4x400m femenino,Y
AT,W,700,45,Women's Heptathlon,Heptathlon - femmes,Heptatlo feminino,Heptatlón femenino,Women's Heptathlon,Heptathlon - femmes,Heptatlo feminino,Heptatlón femenino,
BD,0,000,,Badminton,Badminton,Badminton,Bádminton,Badminton,Badminton,Badminton,Bádminton,
BD,0,RC4,,Riocentro - Pavilion 4,Riocentro - Pavillon 4,Riocentro - Pavilhão 4,Riocentro - Pabellón 4,Riocentro - Pavilion 4,Riocentro - Pavillon 4,Riocentro - Pavilhão 4,Riocentro - Pabellón 4,
BD,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
BD,M,001,1,Men's Singles,Simple hommes,Simples masculino,Individual masculino,Men's Singles,Simple hommes,Simples masculino,Individual masculino,
BD,M,002,3,Men's Doubles,Double hommes,Duplas masculinas,Dobles masculinos,Men's Doubles,Double hommes,Duplas masculinas,Dobles masculinos,
BD,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
BD,W,001,2,Women's Singles,Simple femmes,Simples feminino,Individual femenino,Women's Singles,Simple femmes,Simples feminino,Individual femenino,
BD,W,002,4,Women's Doubles,Double femmes,Duplas femininas,Dobles femeninos,Women's Doubles,Double femmes,Duplas femininas,Dobles femeninos,
BD,X,002,5,Mixed Doubles,Double mixte,Duplas mistas,Dobles mixtos,Mixed Doubles,Double mixte,Duplas mistas,Dobles mixtos,
BK,0,000,,Basketball,Basketball,Basquetebol,Baloncesto,Basketball,Basketball,Basquetebol,Baloncesto,
BK,0,CA1,,Carioca Arena 1,Carioca Arena 1,Arena Carioca 1,Arena Carioca 1,Carioca Arena 1,Carioca Arena 1,Arena Carioca 1,Arena Carioca 1,
BK,0,YOA,,Youth Arena,Youth Arena,Arena da Juventude,Arena de la Juventud,Youth Arena,Youth Arena,Arena da Juventude,Arena de la Juventud,
BK,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
BK,M,400,1,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,Y
BK,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
BK,W,400,2,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,Y
BV,0,000,,Beach Volleyball,Volleyball de plage,Vôlei de praia,Voleibol de playa,Beach Volleyball,Volleyball de plage,Vôlei de praia,Voleibol de playa,
BV,0,BVA,,Beach Volleyball Arena,Beach Volleyball Arena,Arena de Vôlei de Praia,Arena de Voleibol de Playa,Beach Volleyball Arena,Beach Volleyball Arena,Arena de Vôlei de Praia,Arena de Voleibol de Playa,
BV,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
BV,M,400,1,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,Y
BV,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
BV,W,400,2,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,Y
BX,0,000,,Boxing,Boxe,Boxe,Boxeo,Boxing,Boxe,Boxe,Boxeo,
BX,0,RC6,,Riocentro - Pavilion 6,Riocentro - Pavillon 6,Riocentro - Pavilhão 6,Riocentro - Pabellón 6,Riocentro - Pavilion 6,Riocentro - Pavillon 6,Riocentro - Pavilhão 6,Riocentro - Pabellón 6,
BX,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
BX,M,049,1,Men's Light Fly (46-49kg),46-49 kg (poids mi-mouche) - hommes,Peso mosca ligeiro masculino (46-49kg),Peso minimosca masculino (46-49kg),Men's Light Fly (46-49kg),46-49 kg (poids mi-mouche) - hommes,Peso mosca ligeiro masculino (46-49kg),Peso minimosca masculino (46-49kg),
BX,M,052,2,Men's Fly (52kg),52 kg (poids mouche) - hommes,Peso mosca masculino (52kg),Peso mosca masculino (52kg),Men's Fly (52kg),52 kg (poids mouche) - hommes,Peso mosca masculino (52kg),Peso mosca masculino (52kg),
BX,M,056,3,Men's Bantam (56kg),56 kg (poids coq) - hommes,Peso galo masculino (56kg),Peso gallo masculino (56kg),Men's Bantam (56kg),56 kg (poids coq) - hommes,Peso galo masculino (56kg),Peso gallo masculino (56kg),
BX,M,060,4,Men's Light (60kg),60 kg (poids léger) - hommes,Peso ligeiro masculino (60kg) ,Peso ligero masculino (60kg),Men's Light (60kg),60 kg (poids léger) - hommes,Peso ligeiro masculino (60kg) ,Peso ligero masculino (60kg),
BX,M,064,5,Men's Light Welter (64kg),64 kg (poids super léger) - hommes,Peso meio-médio ligeiro masculino (64kg),Peso welter ligero masculino (64kg),Men's Light Welter (64kg),64 kg (poids super léger) - hommes,Peso meio-médio ligeiro masculino (64kg),Peso welter ligero masculino (64kg),
BX,M,069,6,Men's Welter (69kg),69 kg (poids mi-moyen) - hommes,Peso meio-médio masculino (69kg),Peso welter masculino (69kg),Men's Welter (69kg),69 kg (poids mi-moyen) - hommes,Peso meio-médio masculino (69kg),Peso welter masculino (69kg),
BX,M,075,7,Men's Middle (75kg),75 kg (poids moyen) - hommes,Peso médio masculino (75kg),Peso medio masculino (75kg),Men's Middle (75kg),75 kg (poids moyen) - hommes,Peso médio masculino (75kg),Peso medio masculino (75kg),
BX,M,081,8,Men's Light Heavy (81kg),81 kg (poids mi-lourd) - hommes,Peso meio-pesado masculino (81kg),Peso semipesado masculino (81kg),Men's Light Heavy (81kg),81 kg (poids mi-lourd) - hommes,Peso meio-pesado masculino (81kg),Peso semipesado masculino (81kg),
BX,M,091,9,Men's Heavy (91kg),91 kg (poids lourd) - hommes,Peso pesado masculino (91kg),Peso pesado masculino (91kg),Men's Heavy (91kg),91 kg (poids lourd) - hommes,Peso pesado masculino (91kg),Peso pesado masculino (91kg),
BX,M,191,10,Men's Super Heavy (+91kg),+91 kg (poids super-lourd) - hommes,Peso superpesado masculino (+91kg),Peso súper pesado masculino (+91kg),Men's Super Heavy (+91kg),+91 kg (poids super-lourd) - hommes,Peso superpesado masculino (+91kg),Peso súper pesado masculino (+91kg),
BX,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
BX,W,051,11,Women's Fly (48-51kg),48-51 kg (poids mouche) - femmes,Peso mosca feminino (48-51kg),Peso mosca femenino (48-51kg),Women's Fly (48-51kg),48-51 kg (poids mouche) - femmes,Peso mosca feminino (48-51kg),Peso mosca femenino (48-51kg),
BX,W,060,12,Women's Light (57-60kg),57-60 kg (poids léger) - femmes,Peso ligeiro feminino (57-60kg),Peso ligero femenino (57-60kg),Women's Light (57-60kg),57-60 kg (poids léger) - femmes,Peso ligeiro feminino (57-60kg),Peso ligero femenino (57-60kg),
BX,W,075,13,Women's Middle (69-75kg),69-75 kg (poids moyen) - femmes,Peso médio feminino (69-75kg),Peso medio femenino (69-75kg),Women's Middle (69-75kg),69-75 kg (poids moyen) - femmes,Peso médio feminino (69-75kg),Peso medio femenino (69-75kg),
CA,0,000,,Canoe,Canoë-Kayak,Canoagem,Canotaje,Canoe,Canoë-Kayak,Canoagem,Canotaje,
CB,0,000,,Cycling BMX,BMX,Ciclismo BMX,Ciclismo BMX,Cycling BMX,BMX,Ciclismo BMX,Ciclismo BMX,
CB,0,001,,BMX,BMX,BMX,BMX,BMX,BMX,BMX,BMX,
CB,0,BMX,,Olympic BMX Centre,Centre olympique de BMX,Centro Olímpico de BMX,Centro Olímpico de BMX,Olympic BMX Centre,Centre olympique de BMX,Centro Olímpico de BMX,Centro Olímpico de BMX,
CB,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
CB,M,001,1,Men,Hommes,Masculino,BMX masculino,Men,Hommes,Masculino,BMX masculino,
CB,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
CB,W,001,2,Women,Femmes,Feminino,BMX femenino,Women,Femmes,Feminino,BMX femenino,
CE,0,CLO,,Closing Ceremony,Cérémonie de clôture,Cerimônia de encerramento,Ceremonia de clausura,Closing Ceremony,Cérémonie de clôture,Cerimônia de encerramento,Ceremonia de clausura,
CE,0,OPN,,Opening Ceremony,Cérémonie d'ouverture,Cerimônia de abertura,Ceremonia de inauguración,Opening Ceremony,Cérémonie d'ouverture,Cerimônia de abertura,Ceremonia de inauguración,
CE,0,SPE,,Special Ceremonies,Cérémonies spéciales,Cerimônias especiais,Ceremonias especiales,Special Ceremonies,Cérémonies spéciales,Cerimônias especiais,Ceremonias especiales,
CF,0,000,,Canoe Sprint,"Canoë-kayak, course en ligne",Canoagem velocidade,Canotaje de velocidad,Canoe Sprint,"Canoë-kayak, course en ligne",Canoagem velocidade,Canotaje de velocidad,
CF,0,LAG,,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,Estadio de Lagoa,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,Estadio de Lagoa,
CF,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
CF,M,111,2,Men's Kayak Single 1000m,Kayak monoplace (K1) 1 000 m - hommes,Caiaque individual (K1) 1.000m masculino,Kayak individual (K1) 1000m masculino,Men's Kayak Single 1000m,Kayak monoplace (K1) 1 000 m - hommes,Caiaque individual (K1) 1.000m masculino,Kayak individual (K1) 1000m masculino,N
CF,M,112,1,Men's Kayak Single 200m,Kayak monoplace (K1) 200 m - hommes,Caiaque individual (K1) 200m masculino,Kayak individual (K1) 200m masculino,Men's Kayak Single 200m,Kayak monoplace (K1) 200 m - hommes,Caiaque individual (K1) 200m masculino,Kayak individual (K1) 200m masculino,N
CF,M,121,4,Men's Kayak Double 1000m,Kayak biplace (K2) 1 000 m - hommes,Caiaque duplo (K2) 1.000m masculino,Kayak doble (K2) 1000m masculino,Men's Kayak Double 1000m,Kayak biplace (K2) 1 000 m - hommes,Caiaque duplo (K2) 1.000m masculino,Kayak doble (K2) 1000m masculino,
CF,M,122,3,Men's Kayak Double 200m,Kayak biplace (K2) 200 m - hommes,Caiaque duplo (K2) 200m masculino,Kayak doble (K2) 200m masculino,Men's Kayak Double 200m,Kayak biplace (K2) 200 m - hommes,Caiaque duplo (K2) 200m masculino,Kayak doble (K2) 200m masculino,
CF,M,141,5,Men's Kayak Four 1000m,Kayak à quatre (K4) 1 000 m - hommes,Caiaque quádruplo (K4) 1.000m masculino,Kayak cuádruple (K4) 1000m masculino,Men's Kayak Four 1000m,Kayak à quatre (K4) 1 000 m - hommes,Caiaque quádruplo (K4) 1.000m masculino,Kayak cuádruple (K4) 1000m masculino,
CF,M,211,7,Men's Canoe Single 1000m,Canoë monoplace (C1) 1 000 m - hommes,Canoa individual (C1) 1.000m masculina,Canoa individual (C1) 1000m masculina,Men's Canoe Single 1000m,Canoë monoplace (C1) 1 000 m - hommes,Canoa individual (C1) 1.000m masculina,Canoa individual (C1) 1000m masculina,N
CF,M,212,6,Men's Canoe Single 200m,Canoë monoplace (C1) 200 m - hommes,Canoa individual (C1) 200m masculina,Canoa individual (C1) 200m masculina,Men's Canoe Single 200m,Canoë monoplace (C1) 200 m - hommes,Canoa individual (C1) 200m masculina,Canoa individual (C1) 200m masculina,N
CF,M,221,8,Men's Canoe Double 1000m,Canoë biplace (C2) 1 000 m - hommes,Canoa dupla (C2) 1.000m masculina,Canoa doble (C2) 1000m masculina,Men's Canoe Double 1000m,Canoë biplace (C2) 1 000 m - hommes,Canoa dupla (C2) 1.000m masculina,Canoa doble (C2) 1000m masculina,
CF,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
CF,W,112,9,Women's Kayak Single 200m,Kayak monoplace (K1) 200 m - femmes,Caiaque individual (K1) 200m feminino,Kayak individual (K1) 200m femenino,Women's Kayak Single 200m,Kayak monoplace (K1) 200 m - femmes,Caiaque individual (K1) 200m feminino,Kayak individual (K1) 200m femenino,N
CF,W,115,10,Women's Kayak Single 500m,Kayak monoplace (K1) 500 m - femmes,Caiaque individual (K1) 500m feminino,Kayak individual (K1) 500m femenino,Women's Kayak Single 500m,Kayak monoplace (K1) 500 m - femmes,Caiaque individual (K1) 500m feminino,Kayak individual (K1) 500m femenino,N
CF,W,125,11,Women's Kayak Double 500m,Kayak biplace (K2) 500 m - femmes,Caiaque duplo (K2) 500m feminino,Kayak doble (K2) 500m femenino,Women's Kayak Double 500m,Kayak biplace (K2) 500 m - femmes,Caiaque duplo (K2) 500m feminino,Kayak doble (K2) 500m femenino,
CF,W,145,12,Women's Kayak Four 500m,Kayak à quatre (K4) 500 m - femmes,Caiaque quádruplo (K4) 500m feminino,Kayak cuádruple (K4) 500m femenino,Women's Kayak Four 500m,Kayak à quatre (K4) 500 m - femmes,Caiaque quádruplo (K4) 500m feminino,Kayak cuádruple (K4) 500m femenino,
CM,0,000,,Cycling Mountain Bike,Cyclisme Mountain Bike,Ciclismo mountain bike,Ciclismo de montaña,Cycling Mountain Bike,Cyclisme Mountain Bike,Ciclismo mountain bike,Ciclismo de montaña,
CM,0,MBT,,Mountain Bike Centre,Centre de Mountain Bike,Centro de Mountain Bike,Centro de Ciclismo de Montaña,Mountain Bike Centre,Centre de Mountain Bike,Centro de Mountain Bike,Centro de Ciclismo de Montaña,
CM,M,021,1,Men's Cross-country,Cross-country - hommes,Cross-country masculino,Cross country masculino,Men's Cross-country,Cross-country - hommes,Cross-country masculino,Cross country masculino,
CM,W,021,2,Women's Cross-country,Cross-country - femmes,Cross-country feminino,Cross country femenino,Women's Cross-country,Cross-country - femmes,Cross-country feminino,Cross country femenino,
CR,0,000,,Cycling Road,Cyclisme sur route,Ciclismo de estrada,Ciclismo de ruta,Cycling Road,Cyclisme sur route,Ciclismo de estrada,Ciclismo de ruta,
CR,0,FTC,,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,Fuerte de Copacabana,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,Fuerte de Copacabana,
CR,0,PON,,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,
CR,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
CR,M,011,2,Men's Individual Time Trial,Contre-la-montre individuel - hommes,Contrarrelógio individual masculino,Contrarreloj individual masculino,Men's Individual Time Trial,Contre-la-montre individuel - hommes,Contrarrelógio individual masculino,Contrarreloj individual masculino,N
CR,M,012,1,Men's Road Race,Course sur route - hommes,Prova de estrada masculina,Carrera de ruta masculina,Men's Road Race,Course sur route - hommes,Prova de estrada masculina,Carrera de ruta masculina,
CR,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
CR,W,011,4,Women's Individual Time Trial,Contre-la-montre individuel - femmes,Contrarrelógio individual feminino,Contrarreloj individual femenino,Women's Individual Time Trial,Contre-la-montre individuel - femmes,Contrarrelógio individual feminino,Contrarreloj individual femenino,N
