No.,"Common Codes
Version",CCN,Code set nr,Code Set,Code Set Owner,Date Raised,Status ,Description,Next steps
28,,CCN TCC42-11,TCC42,Venue Non-Competition,Melina Simm,2010-02-15T00:00:00+00:00,Closed,Addition and modification of codes and information,Complete--change has been implemented and all stakeholders have been informed
29,,CCN OPP05-04,OPP05,Functional Area,Codes manager,2010-02-17T00:00:00+00:00,Closed,Stakeholders Relations code changed into SRE from STK,Complete--change has been implemented and all stakeholders have been informed
30,,CCN OPP01-01,OPP01,Accreditation Identification Type,Francess Luscack,2010-02-26T00:00:00+00:00,Closed,Code set reviewed by code set owner and modified,Complete--change has been implemented and all stakeholders have been informed
31,,CCN OPP 13-10,OPP13,Village Space,Fiona Connor,2010-03-01T00:00:00+00:00,Closed,"Addition, deletion and modification of codes and descriptions",Complete--change has been implemented and all stakeholders have been informed
32,,CCN OPP12-09,OPP12,Venue Space,Clare Hartley,2010-03-10T00:00:00+00:00,Closed,"Addition, deletion and modification of codes and descriptions",Complete--change has been implemented and all stakeholders have been informed
33,,CCN TCC42-12,TCC42,Venue Non-Competition,Melina Simm,2010-03-10T00:00:00+00:00,Closed,Modification of W0 codes and addition of MS codes,Complete--change has been implemented and all stakeholders have been informed
34,,CCN OPP14-03,OPP14,Licensee,Jalil Rahman,2010-03-10T00:00:00+00:00,Closed,"Addition of CBK,FMA,GBT,PYI,SPH,TMO and TDP codes",Complete--change has been implemented and all stakeholders have been informed
35,,CCN TCC41-06,TCCP41,Venue Competition,Melina Simm,2010-03-03T00:00:00+00:00,Closed,Update of info for HBA and GRP,Complete--change has been implemented and all stakeholders have been informed
36,,CCN OPP13-11,OPP13,Village Space,Fiona Connor,2010-03-17T00:00:00+00:00,Closed,Addition of TEC130 code,Complete--change has been implemented and all stakeholders have been informed
37,,CCN OPP08-03,OPP08,Marketing Partner,Malgorzata Gryzb,2010-03-30T00:00:00+00:00,Closed,Addition of Next (NXT) code,Complete--change has been implemented and all stakeholders have been informed
38,,CCN OPP13-12,OPP13,Village Space,Fiona Connor,2010-03-31T00:00:00+00:00,Closed,Changed TEC100 into TEC120 (Audio Control Room),Complete--change has been implemented and all stakeholders have been informed
39,,CCN OPP08-04,OPP08,Marketing Partner,Malgorzata Gryzb,2010-04-07T00:00:00+00:00,Closed,Addition of codes for ArcelorMittal Orbit Ltd (AMT)  and Gymnova (GYM),Complete--change has been implemented and all stakeholders have been informed
40,,CCN OPP14-04,OPP14,Licensee,Jalil Rahman,2010-04-06T00:00:00+00:00,Closed,Addition of CAW and IFC codes,Complete--change has been implemented and all stakeholders have been informed
41,,CCN OPP14-05,OPP14,Licensee,Jalil Rahman,2010-04-07T00:00:00+00:00,Closed,Addition of UMG (Universal Music Group) code,Complete--change has been implemented and all stakeholders have been informed
42,,CCN TCC42-13,TCC42,Venue Non-Competition,Melina Simm,2010-04-15T00:00:00+00:00,Closed,Updates to Training Venues and venue status,Complete--change has been implemented and all stakeholders have been informed
43,,CCN TCC16-01,TCC16,Gender,Patrick Fry,2010-04-15T00:00:00+00:00,Closed,Name of Gender code set changed into Sport Gender,Complete--change has been implemented and all stakeholders have been informed
44,,CCN OPP14-06,OPP14,Licensee,Jalil Rahman,2010-04-21T00:00:00+00:00,Closed,Addition of HYP (Hy-Pro) code,Complete--change has been implemented and all stakeholders have been informed
45,,CCN TCC41-07,TCC41,Venue - Competition,Melina Simm,2010-04-15T00:00:00+00:00,Closed,"Change of ExCeL Arena codes into EN1, EN2, ES1, ES2, ES3",Complete--change has been implemented and all stakeholders have been informed
46,,CCN OPP14-07,OPP14,Licensee,Jalil Rahman,2010-04-30T00:00:00+00:00,Closed,"Addition of BLE, HLS and SAM codes",Complete--change has been implemented and all stakeholders have been informed
47,,CCN OPP12-10,OPP12,Venue Space,Clare Hartley,2010-05-04T00:00:00+00:00,Closed,Addition and modification of codes and descriptions,Complete--change has been implemented and all stakeholders have been informed
48,,CCN TCC42-14,TCC42,Venue Non-Competition,Melina Simm,2010-05-04T00:00:00+00:00,Closed,"Deletion of BIT, BFT and addition of WUT codes",Complete--change has been implemented and all stakeholders have been informed
49,,CCN OPP08-05,OPP08,Marketing Partner,Malgorzata Gryzb,2010-05-06T00:00:00+00:00,Closed,Addition of code for Sainsbury's Supermarkets Limited (SAI),Complete--change has been implemented and all stakeholders have been informed
50,,CCN OPP08-06,OPP08,Marketing Partner,Malgorzata Gryzb,2010-05-12T00:00:00+00:00,Closed,Addition of code for Eurostar (EUR),Complete--change has been implemented and all stakeholders have been informed
51,,CCN OPP13-13,OPP13,Village Space,Fiona Connor,2010-05-21T00:00:00+00:00,Closed,"Addition (SEC301, SEC690, SEC660) and deletion (SEC620, SEC621) of codes",Complete--change has been implemented and all stakeholders have been informed
52,,CCN OPP05-05,OPP05,Functional Area,Codes manager,2010-05-21T00:00:00+00:00,Closed,SPS Spectator Services code and description changed into EVS Event Services,Complete--change has been implemented and all stakeholders have been informed
53,,CCN OPP12-11,OPP12,Venue Space,Clare Hartley,2010-05-21T00:00:00+00:00,Closed,Addition of medical and sailing spaces following VOP ,Complete--change has been implemented and all stakeholders have been informed
54,,CCN TCC41-08,TCC41,Venue - Competition,Melina Simm,2010-06-15T00:00:00+00:00,Closed,Change of FB6 Football Venue code into COV City of Coventry Stadium,Complete--change has been implemented and all stakeholders have been informed
55,,CCN TCC42-15,TCC42,Venue Non-Competition,Melina Simm,15/062010,Closed,Addition of code BTT Becontree Health Leisure Centre,Complete--change has been implemented and all stakeholders have been informed
56,,CCN OPP12-12,OPP12,Venue Space,Clare Hartley,2010-06-08T00:00:00+00:00,Closed,"Additional space codes for MPC, Excel, Weymouth ",Complete--change has been implemented and all stakeholders have been informed
57,,CCN TCC03-01,TCC03,Country,Codes manager,2010-06-24T00:00:00+00:00,Closed,Changes to country descriptions to ensure code set can be used in games management systems (source of data - ISO 3166 Country List),Complete--change has been implemented and all stakeholders have been informed
58,,CCN TCC41-09,TCC41,Venue - Competition,Melina Simm,2010-06-22T00:00:00+00:00,Closed,Change of code and description of BRO Broxbourne into LVC Lee Valley White Water Centre,Complete--change has been implemented and all stakeholders have been informed
59,,CCN TCC42-16,TCC42,Venue Non-Competition,Melina Simm,2010-06-22T00:00:00+00:00,Closed,"Delete PCC Olympic Staff Park Check in Centre, addition of code PCC Protocol Coordination Centre and ROH Royal Opera House",Complete--change has been implemented and all stakeholders have been informed
60,,CCN OPP13-15,OPP13,Village Space,Fiona Connor,2010-06-21T00:00:00+00:00,Closed,Addition and renaming of codes,Complete--change has been implemented and all stakeholders have been informed
61,,CCN TCC24-01,TCC24,National Paralympic Committees,Lambis Konstantinidis,2010-06-23T00:00:00+00:00,Closed,"Changes to NPC official names, addition of an NPC and update to continental association",Complete--change has been implemented and all stakeholders have been informed
62,,CCN TCC13-01,TCC13,Field of Play - Olympic,Pete Ambrose,2010-06-29T00:00:00+00:00,Closed,Renaming of FOP codes following change of Excel Arena codes ,Complete--change has been implemented and all stakeholders have been informed
63,,CCN OPP08-09,OPP08,Marketing Partner,Malgorzata Gryzb,2010-06-30T00:00:00+00:00,Closed,Addition of code for CBS Outdoor Limited (CBS),Complete--change has been implemented and all stakeholders have been informed
64,,CCN TCC04-01,TCC04,Discipline - Olympic,Patrick Fry,2010-06-29T00:00:00+00:00,Closed,Update naming of Canoe related codes,Complete--change has been implemented and all stakeholders have been informed
65,,CCN TCC08-01,TCC08,Event - Olympic,Jam Mulcare,2010-06-29T00:00:00+00:00,Closed,Remove baseball/softball related codes and update naming of Canoe Press Conference code,Complete--change has been implemented and all stakeholders have been informed
66,,CCN TCC42-17,TCC42,Venue Non-Competition,Melina Simm,2010-06-30T00:00:00+00:00,Closed,Add cluster venue codes,Complete--change has been implemented and all stakeholders have been informed
67,,CCN TCC42-18,TCC42,Venue Non-Competition,Melina Simm,2010-06-29T00:00:00+00:00,Closed,"Add codes for Heathrow terminals - LH1, LH3, LH4 and LH5",Complete--change has been implemented and all stakeholders have been informed
68,,CCN OPP14-08,OPP14,Licensee,Jalil Rahman,2010-06-30T00:00:00+00:00,Closed,Addition of code for Ulster Weavers (ULS),Complete--change has been implemented and all stakeholders have been informed
69,,CCN OPP12-13,OPP12,Venue Space,Clare Hartley,2010-07-05T00:00:00+00:00,Closed,Additional space requests for stadium and hadleigh following VOP ,Complete--change has been implemented and all stakeholders have been informed
70,,CCN TCC42-19,TCC42,Venue Non-Competition,Melina Simm,2010-07-02T00:00:00+00:00,Closed,"Change of description of BTT code, addition of Mayesbrook Park Training (MPT)",Complete--change has been implemented and all stakeholders have been informed
71,,CCN OPP13-16,OPP13,Village Space,Fiona Connor,2010-07-13T00:00:00+00:00,Closed,Deleted MED225 Pharmacy due to duplication,Complete--change has been implemented and all stakeholders have been informed
72,,CCN TCC42-21,TCC42,Venue Non-Competition,Melina Simm,2010-07-15T00:00:00+00:00,Closed,Addition of Volunteer Selection Centre code,Complete--change has been implemented and all stakeholders have been informed
73,,CCN TCC42-22,TCC42,Venue Non-Competition,Melina Simm,2010-07-15T00:00:00+00:00,Closed,Addition/Modification of FBH codes,Complete--change has been implemented and all stakeholders have been informed
74,,CCN TCC42-23,TCC42,Venue Non-Competition,Melina Simm,2010-07-29T00:00:00+00:00,Closed,Addition of training venue codes,Complete--change has been implemented and all stakeholders have been informed
75,,CCN OPP13-17,OPP13,Village Space,Fiona Connor,2010-07-29T00:00:00+00:00,Closed,Addition and changes of codes,Complete--change has been implemented and all stakeholders have been informed
76,,CCN OPP14-09,OPP14,Licensee,Jalil Rahman,2010-07-29T00:00:00+00:00,Closed,"Addition of code for MAK Retail (MAK), Event Merchandise Limited (EML)",Complete--change has been implemented and all stakeholders have been informed
77,,CCN TCC42-24,TCC42,Venue Non-Competition,Melina Simm,2010-07-30T00:00:00+00:00,Closed,"Changes to notes for various training venue, addition of training venue Bacon's College (BNT)",Complete--change has been implemented and all stakeholders have been informed
78,,CCN OPP08-10,OPP08,Marketing Partner,Malgorzata Gryzb,2010-08-06T00:00:00+00:00,Closed,"Addition of code for 2 TOP sponsors, Procter & Gamble Co. (PGC) and Dow Chemical Company (DOW)",Complete--change has been implemented and all stakeholders have been informed
79,,CCN TCC41-10,TCC41,Venue Competition,Melina Simm,2010-08-02T00:00:00+00:00,Closed,"Change in Water Polo venue naming, Arena instead of Centre",Complete--change has been implemented and all stakeholders have been informed
80,,CCN OPP13-18,OPP13,Village Space,Fiona Connor,2010-08-09T00:00:00+00:00,Closed,Change of space names and addition of codes,Complete--change has been implemented and all stakeholders have been informed
81,,CCN OPP05-06,OPP05,Functional Area,Codes manager,2010-08-10T00:00:00+00:00,Closed,Remove YCA code and change Sustainability code from ESD into SUS,Complete--change has been implemented and all stakeholders have been informed
82,,CCN TCC24-02,TCC24,National Paralympic Committees,Lambis Konstantinidis,2010-08-23T00:00:00+00:00,Closed,Update to status of multiple NPCs and addition of an NPC,Complete--change has been implemented and all stakeholders have been informed
83,,CCN TCC08-02,TCC08,Event - Olympic,Jam Mulcare,2010-08-11T00:00:00+00:00,Closed,Updates to sailing codes,Complete--change has been implemented and all stakeholders have been informed
84,,CCN TCC10-01,TCC10,Event Unit - Olympic,Jam Mulcare,2010-08-11T00:00:00+00:00,Closed,Update to sailing and badminton codes,Complete--change has been implemented and all stakeholders have been informed
85,,CCN TCC25-01,TCC25,Phase - Olympic,Jam Mulcare,2010-08-11T00:00:00+00:00,Closed,Update to sailing and badminton codes,Complete--change has been implemented and all stakeholders have been informed
86,,CCN TCC20-01,TCC20,Language,Codes manager,2010-07-09T00:00:00+00:00,Closed,Change of Language code set to include language skills as used by GMS,Complete--change has been implemented and all stakeholders have been informed
87,,CCN TCC41-11,TCC41,Venue Competition,Melina Simm,2010-08-26T00:00:00+00:00,Closed,Add precinct code for WEP Wembley Stadium and Wembley Arena,Complete--change has been implemented and all stakeholders have been informed
88,,CCN OPP15-01,OPP15,Venue Clusters,Melina Simm,2010-07-27T00:00:00+00:00,Closed,Creation of new code set Venue Clusters,Complete--change has been implemented and all stakeholders have been informed
89,,CCN OPP13-01,OPP13,Village Space,Fiona Connor,2009-10-30T00:00:00+00:00,Closed,Create and upload new codeset OPP13 Village Space Codes to ultimately replace Venue Space codes. See CCN OPP12-04 for corresponding actions.,Complete--change has been implemented and all stakeholders have been informed
90,,CCN OPP13-14,OPP13,Village Space,Fiona Connor,2010-05-28T00:00:00+00:00,Closed,Change and add codes,Complete--change has been implemented and all stakeholders have been informed
91,,CCN OPP12-07,OPP12,Venue Space,Clare Hartley,2010-02-03T00:00:00+00:00,Closed,Addition/Modification of new codes,Complete--change has been implemented and all stakeholders have been informed
92,,CCN OPP12-08,OPP12,Venue Space,Clare Hartley,2010-02-09T00:00:00+00:00,Closed,"Deleted old and added new numbers for catering / cleaning and waste areas as requested to ensure enough areas for planning all venues, addition of TEC spaces due to VOP for specific venues, added PRS spaces following VOP of MPC",Complete--change has been implemented and all stakeholders have been informed
93,,CCN OPP08-07,OPP08,Marketing Partner,Malgorzata Gryzb,2010-05-28T00:00:00+00:00,Closed,Addition of code for Tier 3 supplier Mondo SpA (MND),Complete--change has been implemented and all stakeholders have been informed
94,,CCN OPP08-08,OPP08,Marketing Partner,Malgorzata Gryzb,2010-06-03T00:00:00+00:00,Closed,Addition of code for Official Supplier Technogym SpA (TGM),Complete--change has been implemented and all stakeholders have been informed
95,,CCN TCC35-01,TCC35,Sport-Olympic,Patrick Fry,2009-10-20T00:00:00+00:00,Closed,Addition of code XX More than one sport for venues with muliple sports,Complete--change has been implemented and all stakeholders have been informed
96,,CCN TCC36-01,TCC36,Sport-Paralympic,Patrick Fry,2009-10-20T00:00:00+00:00,Closed,Addition of code XX More than one sport for venues with muliple sports,Complete--change has been implemented and all stakeholders have been informed
97,,CCN TCC42-20,TCC42,Venue Non-Competition,Melina Simm,2010-07-13T00:00:00+00:00,Closed,Changes to Non Comp Code set - for LOCOG Headquarter buildings and Test Event venues,Complete--change has been implemented and all stakeholders have been informed
98,,CCN TCC41-12,TCC41,Venue Competition,Melina Simm,2010-09-02T00:00:00+00:00,Closed,Delete '1' from NGA North Greenwich Arena description,Complete--change has been implemented and all stakeholders have been informed
99,,CCN OPP12-14,OPP12,Venue Space,Clare Hartley,2010-09-02T00:00:00+00:00,Closed,"Multiple changes, additions and deletion to the codes",Complete--change has been implemented and all stakeholders have been informed
100,,CCN OPP13-19,OPP13,Village Space,Fiona Connor,2010-09-03T00:00:00+00:00,Closed,Multiple changes and additions to the codes,Complete--change has been implemented and all stakeholders have been informed
101,,CCN OPP14-10,OPP14,Licensee,Jalil Rahman,2010-09-24T00:00:00+00:00,Closed,Addition of code for Dartington Crystal (DAR),Complete--change has been implemented and all stakeholders have been informed
102,,CCN TCC42-25,TCC42,Venue Non-Competition,Melina Simm,2010-09-09T00:00:00+00:00,Closed,"Changes to code set following thorough review (including update of type, add of short name column etc.)",Complete--change has been implemented and all stakeholders have been informed
103,,CCN TCC13-04,TCC13,Field of Play - Olympic,James Savage,2010-10-11T00:00:00+00:00,Closed,Additional code for additional tennis court,Complete--change has been implemented and all stakeholders have been informed
104,,CCN TCC44-02,TCC44,Field of Play - Paralympic,James Savage,2010-10-11T00:00:00+00:00,Closed,Additional code for additional tennis court,Complete--change has been implemented and all stakeholders have been informed
105,,CCN OPP13-21,OPP13,Village Space,Fiona Connor,2010-10-11T00:00:00+00:00,Closed,Deletion of codes due to duplication and change of description,Complete--change has been implemented and all stakeholders have been informed
106,,CCN TCC41-13,TCC41,Venue Competition,Melina Simm,2010-10-11T00:00:00+00:00,Closed,"Addition of The Mall, deletion of Richmond Park as venues and amendment to NGA, HGM and LON.",Complete--change has been implemented and all stakeholders have been informed
107,,CCN TCC42-26,TCC42,Venue Non-Competition,Melina Simm,2010-10-11T00:00:00+00:00,Closed,Deletion of Training Venues (new codeset created for these) additional Football hotels and Main Media Center is now Complex.,Complete--change has been implemented and all stakeholders have been informed
108,,CCN OPP13-20,OPP13,Village Space,Fiona Connor,2010-10-11T00:00:00+00:00,Closed,Amendment to certain Perimeter location names and addition of Fleet Operations Centre,Complete--change has been implemented and all stakeholders have been informed
109,,CCN TCC46-00,TCC46,Venue Training ,Anna Price,2010-10-11T00:00:00+00:00,Closed,Creation of new code set Training Venues,Complete--change has been implemented and all stakeholders have been informed
110,,CCN TCC10-03,TCC10,Event Unit - Olympic,Jam Mulcare,2010-10-11T00:00:00+00:00,Closed,"Changes to Table Tennis codes, addition of BMX Semi-finals",Complete--change has been implemented and all stakeholders have been informed
111,,CCN TCC10-04,TCC10,Event Unit - Olympic,Jam Mulcare,2010-10-11T00:00:00+00:00,Closed,Changes to Track Cycling codes,Complete--change has been implemented and all stakeholders have been informed
112,,CCN TCC25-02,TCC25,Phase - Olympic,Jam Mulcare,2010-10-11T00:00:00+00:00,Closed,"Changes to Table Tennis codes, addition of BMX Semi-finals",Complete--change has been implemented and all stakeholders have been informed
113,,CCN TCC25-03,TCC25,Phase - Olympic,Jam Mulcare,2010-10-11T00:00:00+00:00,Closed,Changes to Track Cycling codes,Complete--change has been implemented and all stakeholders have been informed
114,,CCN TCC13-02,TCC13,Field of Play - Olympic,James Savage,2010-10-11T00:00:00+00:00,Closed,"Added Table Tennis Table 5,6,7 and 8 to North Hall of ExCel",Complete--change has been implemented and all stakeholders have been informed
115,,CCN TCC13-03,TCC13,Field of Play - Olympic,James Savage,2010-10-11T00:00:00+00:00,Closed,Venue codes updated for Broxbourne and FB6,Complete--change has been implemented and all stakeholders have been informed
116,,CCN TCC26-01,TCC26,Phase - Paralympic,Jam Mulcare,2010-10-11T00:00:00+00:00,Closed,Track Cycling codes for Men's Individual C 5 Kilo amended,Complete--change has been implemented and all stakeholders have been informed
117,,CCN OPP14-11,OPP14,Licensee,Jalil Rahman,2010-10-13T00:00:00+00:00,Closed,Multiple licensee codes added,Complete--change has been implemented and all stakeholders have been informed
118,,CCN OPP13-21,OPP13,Village Space,Fiona Connor,2010-10-11T00:00:00+00:00,Closed,"Deletion of two medical codes (MED180, MED228) and change in description for WFO664 code",Complete--change has been implemented and all stakeholders have been informed
119,,CCN TCC13-05,TCC13,Field of Play - Olympic,James Savage,2010-10-14T00:00:00+00:00,Closed,Change of description for TK1 ES1 Taekwondo Court into Taekwondo Mat,Complete--change has been implemented and all stakeholders have been informed
120,,CCN TCC24-03,TCC24,National Paralympic Committee,Lambis Konstantinidis,2010-10-11T00:00:00+00:00,Closed,Updated 3 NPCs which are no longer suspended,Complete--change has been implemented and all stakeholders have been informed
121,,CCN TCC23-01,TCC23,National Olympic Committee,Sue Withworth,2010-10-19T00:00:00+00:00,Closed,Updated code set uploaded to the application following extensive review,Complete--change has been implemented and all stakeholders have been informed
122,,CCN OPP16-00,OPP16,Games time functional areas,Jessica Lippett,2010-10-26T00:00:00+00:00,Closed,New code set added - Games time functional areas,Complete--change has been implemented and all stakeholders have been informed
123,,CCN TCC46-02,TCC46,Training Venues,Anna Price,2010-10-22T00:00:00+00:00,Closed,Updates to Training Venues and venue status,Complete--change has been implemented and all stakeholders have been informed
124,,CCN TCC25-04,TCC25,Phase - Olympic,Jam Mulcare,2010-10-25T00:00:00+00:00,Closed,Changes / deletions to mixed doubles tennis events,Complete--change has been implemented and all stakeholders have been informed
