Discipline,Gender,Event,phase,type,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,ENG phase Description,FRA phase Description,POR phase Description,SPA phase Description
AR,0,000,Y,8,Archery Daily Schedule,"Tir à l'arc, calendrier par jour","Tiro com arco, programação diária","Tiro con arco, programa diario",Archery Daily Schedule,"Tir à l'arc, calendrier par jour","Tiro com arco, programação diária","Tiro con arco, programa diario",,,,
AR,0,070,Z,8,Archery - Session,Tir à l'arc - session,Tiro com arco - sessão,Tiro con arco - Sesión,Archery - Session,Tir à l'arc - session,Tiro com arco - sessão,Tiro con arco - Sesión,,,,
AR,0,470,Z,8,Archery - Session,Tir à l'arc - session,Tiro com arco - sessão,Tiro con arco - Sesión,Archery - Session,Tir à l'arc - session,Tiro com arco - sessão,Tiro con arco - Sesión,,,,
AR,0,SBD,0,8,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,,,,
AR,M,000,0,8,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,,,,
AR,M,070,0,8,Men's Individual,Épreuve individuelle - hommes,Competição individual masculina,Competencia individual masculina,Men's Individual,Épreuve individuelle - hommes,Competição individual masculina,Competencia individual masculina,,,,
AR,M,070,1,3,Men's Individual Finals,"Individuelle - hommes, finales","Competição individual masculina, finais","Comp. individual masculina, finales",Men's Individual Finals,"Épreuve individuelle - hommes, finales","Competição individual masculina, finais","Competencia individual masculina, finales",Finals,Finales,Finais,Finales
AR,M,070,2,3,Men's Individual Semifinals,"Individuelle - hommes, demi-finales","Competição individual masculina, 1/2","Comp. individual masculina, semifinales",Men's Individual Semifinals,"Épreuve individuelle - hommes, demi-finales","Competição individual masculina, semifinais","Competencia individual masculina, semifinales",Semifinals,Demi-finales,Semifinais,Semifinales
AR,M,070,3,3,Men's Individual Quarterfinals,"Individuelle - hommes, quarts de finale","Competição individual masculina, 1/4","Comp. individual masculina, 1/4 de final",Men's Individual Quarterfinals,"Épreuve individuelle - hommes, quarts de finale","Competição individual masculina, quartas de final","Competencia individual masculina, cuartos de final",Quarterfinals,Quarts de finale,Quartas de final,Cuartos de final
AR,M,070,4,3,Men's Individual 1/8 Eliminations,"Individuelle - hommes, élim. (1/8)","Competição individual masculina, 1/8 ","Comp. individual masculina, elim. 1/8",Men's Individual 1/8 Eliminations,"Épreuve individuelle - hommes, éliminatoires (8e de finale)","Competição individual masculina, oitavas de final","Competencia individual masculina, ronda eliminatoria 1/8",1/8 Eliminations,Éliminatoires (8e de finale),Oitavas de final,Ronda eliminatoria 1/8
AR,M,070,5,3,Men's Individual 1/16 Eliminations,"Individuelle - hommes, élim. (1/16)","Competição individual masc, 2a fase elim","Comp. individual masculina, elim. 1/16",Men's Individual 1/16 Eliminations,"Épreuve individuelle - hommes, éliminatoires (16e de finale)","Competição individual masculina, segunda fase eliminatória","Competencia individual masculina, ronda eliminatoria 1/16",1/16 Eliminations,Éliminatoires (16e de finale),Segunda Fase eliminatória,Ronda eliminatoria 1/16
AR,M,070,6,3,Men's Individual 1/32 Eliminations,"Individuelle - hommes, élim. (1/32)","Competição individual masc, 1a fase elim","Comp. individual masculina, elim. 1/32",Men's Individual 1/32 Eliminations,"Épreuve individuelle - hommes, éliminatoires (32e de finale)","Competição individual masculina, primeira fase eliminatória","Competencia individual masculina, ronda eliminatoria 1/32",1/32 Eliminations,Éliminatoires (32e de finale),Primeira Fase eliminatória,Ronda eliminatoria 1/32
AR,M,070,9,3,Men's Individual Ranking Round,"Individuelle - hommes, classement","Individual masculina, fase classificação","Comp. individual masculina,clasificación",Men's Individual Ranking Round,"Épreuve individuelle - hommes, tour de classement","Competição individual masculina, fase de classificação","Competencia individual masculina, clasificación",Ranking Round,Tour de classement,Fase de classificação,Clasificación
AR,M,070,M,6,Men's Individual Victory Ceremony,"Individuelle - hommes, remise médailles","Individual masculina, cer. premiação","Comp. individual masculina, cer medallas",Men's Individual Victory Ceremony,"Épreuve individuelle - hommes, cérémonie de remise des médailles","Competição individual masculina, cerimônia de entrega das medalhas","Competencia individual masculina, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
AR,M,470,0,8,Men's Team,Épreuve par équipes - hommes,Competição por equipes masculina,Competencia por equipos masculina,Men's Team,Épreuve par équipes - hommes,Competição por equipes masculina,Competencia por equipos masculina,"","","",
AR,M,470,1,3,Men's Team Finals,"Équipes - hommes, finales","Competição por equipes masculina, finais","Comp. por equipos masc, finales",Men's Team Finals,"Épreuve par équipes - hommes, finales","Competição por equipes masculina, finais","Competencia por equipos masculina, finales",Finals,Finales,Finais,Finales
AR,M,470,2,3,Men's Team Semifinals,"Équipes - hommes, demi-finales","Competição por equipes masculina, 1/2","Comp. por equipos masc, semifinales",Men's Team Semifinals,"Épreuve par équipes - hommes, demi-finales","Competição por equipes masculina, semifinais","Competencia por equipos masculina, semifinales",Semifinals,Demi-finales,Semifinais,Semifinales
AR,M,470,3,3,Men's Team Quarterfinals,"Équipes - hommes, quarts de finale","Competição por equipes masculina, 1/4","Comp. por equipos masc, 1/4 de final",Men's Team Quarterfinals,"Épreuve par équipes - hommes, quarts de finale","Competição por equipes masculina, quartas de final","Competencia por equipos masculina, cuartos de final",Quarterfinals,Quarts de finale,Quartas de final,Cuartos de final
AR,M,470,4,3,Men's Team 1/8 Eliminations,"Équipes - hommes, éliminatoires (1/8)","Competição por equipes masculina, 1/8","Comp. por equipos masc, eliminatoria 1/8",Men's Team 1/8 Eliminations,"Épreuve par équipes - hommes, éliminatoires (8e de finale)","Competição por equipes masculina, oitavas de final","Competencia por equipos masculina, ronda eliminatoria 1/8",1/8 Eliminations,Éliminatoires (8e de finale),Oitavas de final,Ronda eliminatoria 1/8
AR,M,470,9,3,Men's Team Ranking Round,"Équipes - hommes, classement","Equipes masculinas, fase classificação","Comp. por equipos masc, clasificación",Men's Team Ranking Round,"Épreuve par équipes - hommes, tour de classement","Competição por equipes masculina, fase de classificação","Competencia por equipos masculina, clasificación",Ranking Round,Tour de classement,Fase de classificação,Clasificación
AR,M,470,M,6,Men's Team Victory Ceremony,"Équipes - hommes, remise médailles","Equipes masculinas, cer. premiação","Comp. por equipos masc, cer. medallas",Men's Team Victory Ceremony,"Épreuve par équipes - hommes, cérémonie de remise des médailles","Competição por equipes masculina, cerimônia de entrega das medalhas","Competencia por equipos masculina, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
AR,W,000,0,8,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,"","","",
AR,W,070,0,8,Women's Individual,Épreuve individuelle - femmes,Competição individual feminina,Competencia individual femenina,Women's Individual,Épreuve individuelle - femmes,Competição individual feminina,Competencia individual femenina,"","","",
AR,W,070,1,3,Women's Individual Finals,"Individuelle - femmes, finales","Competição individual feminina, finais","Comp. individual femenina, finales",Women's Individual Finals,"Épreuve individuelle - femmes, finales","Competição individual feminina, finais","Competencia individual femenina, finales",Finals,Finales,Finais,Finales
AR,W,070,2,3,Women's Individual Semifinals,"Individuelle - femmes, demi-finales","Competição individual feminina, 1/2","Comp. individual femenina, semifinales",Women's Individual Semifinals,"Épreuve individuelle - femmes, demi-finales","Competição individual feminina, semifinais","Competencia individual femenina, semifinales",Semifinals,Demi-finales,Semifinais,Semifinales
AR,W,070,3,3,Women's Individual Quarterfinals,"Individuelle - femmes, quarts de finale","Competição individual feminina, 1/4","Comp. individual femenina, 1/4 de final",Women's Individual Quarterfinals,"Épreuve individuelle - femmes, quarts de finale","Competição individual feminina, quartas de final","Competencia individual femenina, cuartos de final",Quarterfinals,Quarts de finale,Quartas de final,Cuartos de final
AR,W,070,4,3,Women's Individual 1/8 Eliminations,"Individuelle - femmes, élim. (1/8)","Competição individual feminina, 1/8","Comp. individual femenina, elim. 1/8",Women's Individual 1/8 Eliminations,"Épreuve individuelle - femmes, éliminatoires (8e de finale)","Competição individual feminina, oitavas de final","Competencia individual femenina, ronda eliminatoria 1/8",1/8 Eliminations,Éliminatoires (8e de finale),Oitavas de final,Ronda eliminatoria 1/8
AR,W,070,5,3,Women's Individual 1/16 Eliminations,"Individuelle - femmes, élim. (1/16)","Competição individual fem, 2a fase elim","Comp. individual femenina, elim. 1/16",Women's Individual 1/16 Eliminations,"Épreuve individuelle - femmes, éliminatoires (16e de finale)","Competição individual feminina, segunda fase eliminatória","Competencia individual femenina, ronda eliminatoria 1/16",1/16 Eliminations,Éliminatoires (16e de finale),Segunda Fase eliminatória,Ronda eliminatoria 1/16
AR,W,070,6,3,Women's Individual 1/32 Eliminations,"Individuelle - femmes, élim. (1/32)","Competição individual fem, 1a fase elim","Comp. individual femenina, elim. 1/32",Women's Individual 1/32 Eliminations,"Épreuve individuelle - femmes, éliminatoires (32e de finale)","Competição individual feminina, primeira fase eliminatória","Competencia individual femenina, ronda eliminatoria 1/32",1/32 Eliminations,Éliminatoires (32e de finale),Primeira Fase eliminatória,Ronda eliminatoria 1/32
AR,W,070,9,3,Women's Individual Ranking Round,"Individuelle - femmes, classement","Individual feminina, fase classificação","Comp. individual femenina, clasificación",Women's Individual Ranking Round,"Épreuve individuelle - femmes, tour de classement","Competição individual feminina, fase de classificação","Competencia individual femenina, clasificación",Ranking Round,Tour de classement,Fase de classificação,Clasificación
AR,W,070,M,6,Women's Individual Victory Ceremony,"Individuelle - femmes, remise médailles","Individual feminina, cer. premiação","Comp. individual femenina, cer. medallas",Women's Individual Victory Ceremony,"Épreuve individuelle - femmes, cérémonie de remise des médailles","Competição individual feminina, cerimônia de entrega das medalhas","Competencia individual femenina, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
AR,W,470,0,8,Women's Team,Épreuve par équipes - femmes,Competição por equipes feminina,Competencia por equipos femenina,Women's Team,Épreuve par équipes - femmes,Competição por equipes feminina,Competencia por equipos femenina,"","","",
AR,W,470,1,3,Women's Team Finals,"Équipes - femmes, finales","Competição por equipes feminina, finais","Comp. por equipos femenina, finales",Women's Team Finals,"Épreuve par équipes - femmes, finales","Competição por equipes feminina, finais","Competencia por equipos femenina, finales",Finals,Finales,Finais,Finales
AR,W,470,2,3,Women's Team Semifinals,"Équipes - femmes, demi-finales","Competição por equipes feminina, 1/2","Comp. por equipos femenina, semifinales",Women's Team Semifinals,"Épreuve par équipes - femmes, demi-finales","Competição por equipes feminina, semifinais","Competencia por equipos femenina, semifinales",Semifinals,Demi-finales,Semifinais,Semifinales
AR,W,470,3,3,Women's Team Quarterfinals,"Équipes - femmes, quarts de finale","Competição por equipes feminina, 1/4","Comp. por equipos femenina, 1/4 de final",Women's Team Quarterfinals,"Épreuve par équipes - femmes, quarts de finale","Competição por equipes feminina, quartas de final","Competencia por equipos femenina, cuartos de final",Quarterfinals,Quarts de finale,Quartas de final,Cuartos de final
AR,W,470,4,3,Women's Team 1/8 Eliminations,"Équipes - femmes, éliminatoires (1/8)","Competição por equipes feminina, 1/8","Comp. por equipos femenina, elim. 1/8",Women's Team 1/8 Eliminations,"Épreuve par équipes - femmes, éliminatoires (8e de finale)","Competição por equipes feminina, oitavas de final","Competencia por equipos femenina, ronda eliminatoria 1/8",1/8 Eliminations,Éliminatoires (8e de finale),Oitavas de final,Ronda eliminatoria 1/8
AR,W,470,9,3,Women's Team Ranking Round,"Équipes - femmes, classement","Equipes femininas, fase classificação","Comp. por equipos femenina,clasificación",Women's Team Ranking Round,"Épreuve par équipes - femmes, tour de classement","Competição por equipes feminina, fase de classificação","Competencia por equipos femenina, clasificación",Ranking Round,Tour de classement,Fase de classificação,Clasificación
AR,W,470,M,6,Women's Team Victory Ceremony,"Équipes - femmes, remise médailles","Equipes femininas, cer. premiação","Comp. por equipos fem, cer. medallas",Women's Team Victory Ceremony,"Épreuve par équipes - femmes, cérémonie de remise des médailles","Competição por equipes feminina, cerimônia de entrega das medalhas","Competencia por equipos femenina, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
AT,0,000,0,8,Athletics,Athlétisme,Atletismo,Atletismo,Athletics,Athlétisme,Atletismo,Atletismo,,,,
AT,0,000,Y,8,Athletics Daily Schedule,"Athlétisme, calendrier par jour","Atletismo, programação diária","Atletismo, programa diario",Athletics Daily Schedule,"Athlétisme, calendrier par jour","Atletismo, programação diária","Atletismo, programa diario",,,,
AT,0,OLS,0,8,Olympic Stadium,Stade Olympique,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Stade Olympique,Estádio Olímpico,Estadio Olímpico,,,,
AT,0,PON,0,8,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,,,,
AT,0,SBD,0,8,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,,,,
AT,M,000,0,8,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,,,,
AT,M,001,0,8,Men's 100m,100 m - hommes,100m rasos masculino,100m masculino,Men's 100m,100 m - hommes,100m rasos masculino,100m masculino,,,,
AT,M,001,1,3,Men's 100m Final,"100 m - hommes, finale","100m rasos masculino, final","100m masculino, final",Men's 100m Final,"100 m - hommes, finale","100m rasos masculino, final","100m masculino, final",Final,Finale,Final,Final
AT,M,001,2,3,Men's 100m Semifinals,"100 m - hommes, demi-finales","100m rasos masculino, semifinais","100m masculino, semifinales",Men's 100m Semifinals,"100 m - hommes, demi-finales","100m rasos masculino, semifinais","100m masculino, semifinales",Semifinals,Demi-finales,Semifinais,Semifinales
AT,M,001,9,3,Men's 100m Round 1,"100 m - hommes, 1er tour","100m rasos masculino, primeira fase ","100m masculino, primera ronda",Men's 100m Round 1,"100 m - hommes, 1er tour","100m rasos masculino, primeira fase ","100m masculino, primera ronda",Round 1,1er tour,Primeira fase,Primera ronda
AT,M,001,M,6,Men's 100m Victory Ceremony,"100 m - hommes, remise méd.","100m masculino, cer. premiação","100m masculino, cer. de medallas",Men's 100m Victory Ceremony,"100 m - hommes, cérémonie de remise des médailles","100m rasos masculino, cerimônia de entrega das medalhas","100m masculino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
AT,M,001,N,7,Men's 100m - Draw,"100 m - hommes, tirage au sort","100m rasos masculino, sorteio","100m masculino, sorteo",Men's 100m - Draw,"100 m - hommes, tirage au sort","100m rasos masculino, sorteio","100m masculino, sorteo",Draw,Tirage au sort,Sorteio,Sorteo
AT,M,001,P,3,Men's 100m Preliminary Round,"100 m - hommes, tour préliminaire","100m rasos masculino, fase preliminar","100m masculino, ronda preliminar",Men's 100m Preliminary Round,"100 m - hommes, tour préliminaire","100m rasos masculino, fase preliminar","100m masculino, ronda preliminar",Preliminary Round,Tour préliminaire,Fase preliminar,Ronda preliminar
AT,M,002,0,8,Men's 200m,200 m - hommes,200m rasos masculino,200m masculino,Men's 200m,200 m - hommes,200m rasos masculino,200m masculino,"","","",
AT,M,002,1,3,Men's 200m Final,"200 m - hommes, finale","200m rasos masculino, final","200m masculino, final",Men's 200m Final,"200 m - hommes, finale","200m rasos masculino, final","200m masculino, final",Final,Finale,Final,Final
AT,M,002,2,3,Men's 200m Semifinals,"200 m - hommes, demi-finales","200m rasos masculino, semifinais","200m masculino, semifinales",Men's 200m Semifinals,"200 m - hommes, demi-finales","200m rasos masculino, semifinais","200m masculino, semifinales",Semifinals,Demi-finales,Semifinais,Semifinales
AT,M,002,9,3,Men's 200m Round 1,"200 m - hommes, 1er tour","200m rasos masculino, primeira fase","200m masculino, primera ronda",Men's 200m Round 1,"200 m - hommes, 1er tour","200m rasos masculino, primeira fase","200m masculino, primera ronda",Round 1,1er tour,Primeira fase,Primera ronda
AT,M,002,M,6,Men's 200m Victory Ceremony,"200 m - hommes, remise méd.","200m masculino, cer. premiação","200m masculino, cer. de medallas",Men's 200m Victory Ceremony,"200 m - hommes, cérémonie de remise des médailles","200m rasos masculino, cerimônia de entrega das medalhas","200m masculino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
AT,M,002,N,7,Men's 200m - Draw,"200 m - hommes, tirage au sort","200m rasos masculino, sorteio","200m masculino, sorteo",Men's 200m - Draw,"200 m - hommes, tirage au sort","200m rasos masculino, sorteio","200m masculino, sorteo",Draw,Tirage au sort,Sorteio,Sorteo
AT,M,004,0,8,Men's 400m,400 m - hommes,400m rasos masculino,400m masculino,Men's 400m,400 m - hommes,400m rasos masculino,400m masculino,"","","",
AT,M,004,1,3,Men's 400m Final,"400 m - hommes, finale","400m rasos masculino, final ","400m masculino, final",Men's 400m Final,"400 m - hommes, finale","400m rasos masculino, final ","400m masculino, final",Final,Finale,Final,Final
AT,M,004,2,3,Men's 400m Semifinals,"400 m - hommes, demi-finales","400m rasos masculino, semifinais","400m masculino, semifinales",Men's 400m Semifinals,"400 m - hommes, demi-finales","400m rasos masculino, semifinais","400m masculino, semifinales",Semifinals,Demi-finales,Semifinais,Semifinales
AT,M,004,9,3,Men's 400m Round 1,"400 m - hommes, 1er tour","400m rasos masculino, primeira fase","400m masculino, primera ronda",Men's 400m Round 1,"400 m - hommes, 1er tour","400m rasos masculino, primeira fase","400m masculino, primera ronda",Round 1,1er tour,Primeira fase,Primera ronda
AT,M,004,M,6,Men's 400m Victory Ceremony,"400 m - hommes, remise méd.","400m masculino, cer. premiação","400m masculino, cer. de medallas",Men's 400m Victory Ceremony,"400 m - hommes, cérémonie de remise des médailles","400m rasos masculino, cerimônia de entrega das medalhas","400m masculino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
AT,M,004,N,7,Men's 400m - Draw,"400 m - hommes, tirage au sort","400m rasos masculino, sorteio","400m masculino, sorteo",Men's 400m - Draw,"400 m - hommes, tirage au sort","400m rasos masculino, sorteio","400m masculino, sorteo",Draw,Tirage au sort,Sorteio,Sorteo
AT,M,008,0,8,Men's 800m,800 m - hommes,800m rasos masculino,800m masculino,Men's 800m,800 m - hommes,800m rasos masculino,800m masculino,"","","",
AT,M,008,1,3,Men's 800m Final,"800 m - hommes, finale","800m rasos masculino, final","800m masculino, final",Men's 800m Final,"800 m - hommes, finale","800m rasos masculino, final","800m masculino, final",Final,Finale,Final,Final
AT,M,008,2,3,Men's 800m Semifinals,"800 m - hommes, demi-finales","800m rasos masculino, semifinais","800m masculino, semifinales",Men's 800m Semifinals,"800 m - hommes, demi-finales","800m rasos masculino, semifinais","800m masculino, semifinales",Semifinals,Demi-finales,Semifinais,Semifinales
AT,M,008,9,3,Men's 800m Round 1,"800 m - hommes, 1er tour","800m rasos masculino, primeira fase","800m masculino, primera ronda",Men's 800m Round 1,"800 m - hommes, 1er tour","800m rasos masculino, primeira fase","800m masculino, primera ronda",Round 1,1er tour,Primeira fase,Primera ronda
AT,M,008,M,6,Men's 800m Victory Ceremony,"800 m - hommes, remise méd.","800m masculino, cer. premiação","800m masculino, cer. de medallas",Men's 800m Victory Ceremony,"800 m - hommes, cérémonie de remise des médailles","800m rasos masculino, cerimônia de entrega das medalhas","800m masculino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
AT,M,008,N,7,Men's 800m - Draw,"800 m - hommes, tirage au sort","800m rasos masculino, sorteio","800m masculino, sorteo",Men's 800m - Draw,"800 m - hommes, tirage au sort","800m rasos masculino, sorteio","800m masculino, sorteo",Draw,Tirage au sort,Sorteio,Sorteo
AT,M,012,0,8,Men's 110m Hurdles,110 m haies - hommes,110m com barreiras masculino,110m con vallas masculino,Men's 110m Hurdles,110 m haies - hommes,110m com barreiras masculino,110m con vallas masculino,"","","",
AT,M,012,1,3,Men's 110m Hurdles Final,"110 m haies - hommes, finale","110m com barreiras masculino, final","110m con vallas masculino, final",Men's 110m Hurdles Final,"110 m haies - hommes, finale","110m com barreiras masculino, final","110m con vallas masculino, final",Final,Finale,Final,Final
AT,M,012,2,3,Men's 110m Hurdles Semifinals,"110 m haies - hommes, demi-finales","110m com barreiras masculino, semifinais","110m con vallas masculino, semifinales",Men's 110m Hurdles Semifinals,"110 m haies - hommes, demi-finales","110m com barreiras masculino, semifinais","110m con vallas masculino, semifinales",Semifinals,Demi-finales,Semifinais,Semifinales
AT,M,012,9,3,Men's 110m Hurdles Round 1,"110 m haies - hommes, 1er tour","110m com barreiras masculino, 1a fase","110m con vallas masculino, primera ronda",Men's 110m Hurdles Round 1,"110 m haies - hommes, 1er tour","110m com barreiras masculino, primeira fase","110m con vallas masculino, primera ronda",Round 1,1er tour,Primeira fase,Primera ronda
AT,M,012,M,6,Men's 110m Hurdles Victory Ceremony,"110 m haies - hommes, remise méd.","110m com barreiras masc, cer. premiação","110m con vallas masc, cer. de medallas",Men's 110m Hurdles Victory Ceremony,"110 m haies - hommes, cérémonie de remise des médailles","110m com barreiras masculino, cerimônia de entrega das medalhas","110m con vallas masculino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
AT,M,012,N,7,Men's 110m Hurdles - Draw,"110 m haies - hommes, tirage au sort","110m com barreiras masculino, sorteio","110m con vallas masculino, sorteo",Men's 110m Hurdles - Draw,"110 m haies - hommes, tirage au sort","110m com barreiras masculino, sorteio","110m con vallas masculino, sorteo",Draw,Tirage au sort,Sorteio,Sorteo
AT,M,015,0,8,Men's 1500m,1 500 m - hommes,1.500m rasos masculino,1500m masculino,Men's 1500m,1 500 m - hommes,1.500m rasos masculino,1500m masculino,"","","",
AT,M,015,1,3,Men's 1500m Final,"1 500 m - hommes, finale","1.500m rasos masculino, final","1500m masculino, final",Men's 1500m Final,"1 500 m - hommes, finale","1.500m rasos masculino, final","1500m masculino, final",Final,Finale,Final,Final
AT,M,015,2,3,Men's 1500m Semifinals,"1 500 m - hommes, demi-finales","1.500m rasos masculino, semifinais","1500m masculino, semifinales",Men's 1500m Semifinals,"1 500 m - hommes, demi-finales","1.500m rasos masculino, semifinais","1500m masculino, semifinales",Semifinals,Demi-finales,Semifinais,Semifinales
AT,M,015,9,3,Men's 1500m Round 1,"1 500 m - hommes, 1er tour","1.500m rasos masculino, primeira fase","1500m masculino, primera ronda",Men's 1500m Round 1,"1 500 m - hommes, 1er tour","1.500m rasos masculino, primeira fase","1500m masculino, primera ronda",Round 1,1er tour,Primeira fase,Primera ronda
AT,M,015,M,6,Men's 1500m Victory Ceremony,"1 500 m - hommes, remise méd.","1.500m masculino, cer. premiação","1500m masculino, cer. de medallas",Men's 1500m Victory Ceremony,"1 500 m - hommes, cérémonie de remise des médailles","1.500m rasos masculino, cerimônia de entrega das medalhas","1500m masculino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
AT,M,015,N,7,Men's 1500m - Draw,"1 500 m - hommes, tirage au sort","1.500m rasos masculino, sorteio","1500m masculino, sorteo",Men's 1500m - Draw,"1 500 m - hommes, tirage au sort","1.500m rasos masculino, sorteio","1500m masculino, sorteo",Draw,Tirage au sort,Sorteio,Sorteo
AT,M,033,0,8,Men's 3000m Steeplechase,3 000 m steeple - hommes,3.000m com obstáculos masculino,3000m con obstáculos masculino,Men's 3000m Steeplechase,3 000 m steeple - hommes,3.000m com obstáculos masculino,3000m con obstáculos masculino,"","","",
AT,M,033,1,3,Men's 3000m Steeplechase Final,"3 000 m steeple - hommes, finale","3.000m com obstáculos masculino, final ","3000m con obstáculos masculino, final",Men's 3000m Steeplechase Final,"3 000 m steeple - hommes, finale","3.000m com obstáculos masculino, final ","3000m con obstáculos masculino, final",Final,Finale,Final,Final
AT,M,033,9,3,Men's 3000m Steeplechase Round 1,"3 000 m steeple - hommes, 1er tour","3.000m com obstáculos masculino, 1a fase","3000m con obstáculos masculino, 1a ronda",Men's 3000m Steeplechase Round 1,"3 000 m steeple - hommes, 1er tour","3.000m com obstáculos masculino, primeira fase","3000m con obstáculos masculino, primera ronda",Round 1,1er tour,Primeira fase,Semifinales
AT,M,033,M,6,Men's 3000m Steeplechase Victory Cere...,"3 000 m steeple - hommes, remise méd.","3.000m obstáculos masc, cer. premiação","3000m con obstáculos masc, cer. medallas",Men's 3000m Steeplechase Victory Ceremony,"3 000 m steeple - hommes, cérémonie de remise des médailles","3.000m com obstáculos masculino, cerimônia de entrega das medalhas","3000m con obstáculos masculino, ceremonia de entrega de medallas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas,Ceremonia de entrega de medallas
