Id,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription
IOT,British Indian Ocean Territory,Ter. britannique de l'Oc. Ind.,Ter. Britânico do Oc. Índico,Ter. Brit. del Océano Índico,British Indian Ocean Territory,Territoire britannique de l'Océan Indien,Território Britânico do Oceano Índico,Territorio Británico del Océano Índico
IPA,Independent Paralympic Athlete,Athlète Paralympique Indépend.,Atleta Paralímpico Independ.,Atleta Paralímpico Independ.,Independent Paralympic Athlete,Athlète Paralympique Indépendant,Atleta Paralímpico Independente,Atleta Paralímpico Independente
IPP,Indep. Paralympic Participant,Participant Paralympique Ind.,Participante Paralímpico Ind.,Participante Paralímpico Indep,Independent Paralympic Participant,Participant Paralympique Indépendant,Participante Paralímpico Independente,Participante Paralímpico Independiente
IRI,Islamic Republic of Iran,République islamique d'Iran,República Islâmica do Irã,República Islámica de Irán,Islamic Republic of Iran,République islamique d'Iran,República Islâmica do Irã,República Islámica de Irán
IRL,Ireland,Irlande,Irlanda,Irlanda,Ireland,Irlande,Irlanda,Irlanda
IRQ,Iraq,Iraq,Iraque,Iraq,Iraq,Iraq,Iraque,Iraq
ISL,Iceland,Islande,Islândia,Islandia,Iceland,Islande,Islândia,Islandia
ISR,Israel,Israël,Israel,Israel,Israel,Israël,Israel,Israel
ISV,"Virgin Islands, US",Îles Vierges des États-Unis,"Ilhas Virgens, EU","Islas Vírgenes, EEUU","Virgin Islands, US",Îles Vierges des États-Unis,Ilhas Virgens Americanas,Islas Vírgenes de los Estados Unidos
ITA,Italy,Italie,Itália,Italia,Italy,Italie,Itália,Italia
IVB,"Virgin Islands, British",Îles Vierges britanniques,Ilhas Virgens Britânicas,Islas Vírgenes Británicas,"Virgin Islands, British",Îles Vierges britanniques,Ilhas Virgens Britânicas,Islas Vírgenes Británicas
JAM,Jamaica,Jamaïque,Jamaica,Jamaica,Jamaica,Jamaïque,Jamaica,Jamaica
JER,Jersey,Jersey,Jersey,Jersey,Jersey,Jersey,Jersey,Jersey
JOR,Jordan,Jordanie,Jordânia,Jordania,Jordan,Jordanie,Jordânia,Jordania
JPN,Japan,Japon,Japão,Japón,Japan,Japon,Japão,Japón
KAZ,Kazakhstan,Kazakhstan,Cazaquistão,Kazajstán,Kazakhstan,Kazakhstan,Cazaquistão,Kazajstán
KEN,Kenya,Kenya,Quênia,Kenia,Kenya,Kenya,Quênia,Kenia
KGZ,Kyrgyzstan,Kirghizistan,Quirguistão,Kirguistán,Kyrgyzstan,Kirghizistan,Quirguistão,Kirguistán
KIR,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati
KOR,Republic of Korea,République de Corée,República da Coréia,República de Corea,Republic of Korea,République de Corée,República da Coréia,República de Corea
KOS,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo
KSA,Saudi Arabia,Arabie saoudite,Arábia Saudita,Arabia Saudí,Saudi Arabia,Arabie saoudite,Arábia Saudita,Arabia Saudí
KUW,Kuwait,Koweït,Kuaite,Kuwait,Kuwait,Koweït,Kuaite,Kuwait
LAO,Lao People's Democratic Repub.,Répub. Démocrat. Populaire Lao,Rep. Democrática Popular Laos,Rep. Democrática Popular Lao,Lao People's Democratic Republic,République Démocratique Populaire Lao,República Democrática Popular do Laos,República Democrática Popular Lao
LAT,Latvia,Lettonie,Letônia,Letonia,Latvia,Lettonie,Letônia,Letonia
LBA,Libya,Libye,Líbia,Libia,Libya,Libye,Líbia,Libia
LBR,Liberia,Libéria,Libéria,Liberia,Liberia,Libéria,Libéria,Liberia
LCA,Saint Lucia,Sainte-Lucie,Santa Lúcia,Santa Lucia,Saint Lucia,Sainte-Lucie,Santa Lúcia,Santa Lucia
LES,Lesotho,Lesotho,Lesoto,Lesotho,Lesotho,Lesotho,Lesoto,Lesotho
LIB,Lebanon,Liban,Líbano,Líbano,Lebanon,Liban,Líbano,Líbano
LIE,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein
LTU,Lithuania,Lituanie,Lituânia,Lituania,Lithuania,Lituanie,Lituânia,Lituania
LUX,Luxembourg,Luxembourg,Luxemburgo,Luxemburgo,Luxembourg,Luxembourg,Luxemburgo,Luxemburgo
MAC,"Macao, China","Macao, Chine","Macau, China","Macao, China","Macao, China","Macao, Chine","Macau, China","Macao, China"
MAD,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar
MAF,Saint-Martin (French part),Saint-Martin (PartieFrançaise),São Martinho (França),San Martín (Francia),Saint-Martin,Saint-Martin,São Martinho,San Martín
MAR,Morocco,Maroc,Marrocos,Marruecos,Morocco,Maroc,Marrocos,Marruecos
MAS,Malaysia,Malaisie,Malásia,Malasia,Malaysia,Malaisie,Malásia,Malasia
MAW,Malawi,Malawi,Maláui,Malawi,Malawi,Malawi,Maláui,Malawi
MDA,Republic of Moldova,République de Moldova,República da Moldova,República de Moldavia,Republic of Moldova,République de Moldova,República da Moldova,República de Moldavia
MDV,Maldives,Maldives,Maldivas,Maldivas,Maldives,Maldives,Maldivas,Maldivas
MEX,Mexico,Mexique,México,México,Mexico,Mexique,México,México
MGL,Mongolia,Mongolie,Mongólia,Mongolia,Mongolia,Mongolie,Mongólia,Mongolia
MHL,Marshall Islands,Îles Marshall,Ilhas Marshall,Islas Marshall,Marshall Islands,Îles Marshall,Ilhas Marshall,Islas Marshall
MKD,Former Yugoslav Rep. Macedonia,Ex-Rp. Yougoslave de Macédoine,Ex-Rep. Iugoslava da Macedônia,Ex Rep. Yugoslava de Macedonia,The Former Yugoslav Republic of Macedonia,Ex-République Yougoslave de Macédoine,Ex-República Iugoslava da Macedônia,Ex República Yugoslava de Macedonia
MLI,Mali,Mali,Mali,Mali,Mali,Mali,Mali,Mali
MLT,Malta,Malte,Malta,Malta,Malta,Malte,Malta,Malta
MNE,Montenegro,Monténégro,Montenegro,Montenegro,Montenegro,Monténégro,Montenegro,Montenegro
MNP,Northern Mariana Islands,Îles Mariannes du Nord,Marianas Setentrionais,Islas Marianas del Norte,Northern Marianas Islands,Îles Mariannes du Nord,Marianas Setentrionais,Islas Marianas del Norte
MON,Monaco,Monaco,Mônaco,Mónaco,Monaco,Monaco,Mônaco,Mónaco
MOZ,Mozambique,Mozambique,Moçambique,Mozambique,Mozambique,Mozambique,Moçambique,Mozambique
MRI,Mauritius,Maurice,Maurício,Mauricio,Mauritius,Maurice,Maurício,Mauricio
MSR,Montserrat,Montserrat,Montserrat,Montserrat,Montserrat,Montserrat,Montserrat,Montserrat
MTN,Mauritania,Mauritanie,Mauritânia,Mauritania,Mauritania,Mauritanie,Mauritânia,Mauritania
MTQ,Martinique,Martinique,Martinica,Martinica,Martinique,Martinique,Martinica,Martinica
MYA,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar
MYT,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte
NAM,Namibia,Namibie,Namíbia,Namibia,Namibia,Namibie,Namíbia,Namibia
NCA,Nicaragua,Nicaragua,Nicarágua,Nicaragua,Nicaragua,Nicaragua,Nicarágua,Nicaragua
NCL,New Caledonia,Nouvelle-Calédonie,Nova Caledônia,Nueva Caledonia,New Caledonia,Nouvelle-Calédonie,Nova Caledônia,Nueva Caledonia
NED,Netherlands,Pays-Bas,Países Baixos,Países Bajos,Netherlands,Pays-Bas,Países Baixos,Países Bajos
NEP,Nepal,Népal,Nepal,Nepal,Nepal,Népal,Nepal,Nepal
NFK,Norfolk Island,Île Norfolk,Ilha Norfolk,Isla Norfolk,Norfolk Island,Île Norfolk,Ilha Norfolk,Isla Norfolk
NGR,Nigeria,Nigéria,Nigéria,Nigeria,Nigeria,Nigéria,Nigéria,Nigeria
NIG,Niger,Niger,Níger,Níger,Niger,Niger,Níger,Níger
NIU,Niue,Niue,Niue,Niue,Niue,Niue,Niue,Niue
NOR,Norway,Norvège,Noruega,Noruega,Norway,Norvège,Noruega,Noruega
NRU,Nauru,Nauru,Nauru,Nauru,Nauru,Nauru,Nauru,Nauru
NZL,New Zealand,Nouvelle-Zélande,Nova Zelândia,Nueva Zelanda,New Zealand,Nouvelle-Zélande,Nova Zelândia,Nueva Zelanda
OMA,Oman,Oman,Omã,Omán,Oman,Oman,Omã,Omán
PAK,Pakistan,Pakistan,Paquistão,Pakistán,Pakistan,Pakistan,Paquistão,Pakistán
PAN,Panama,Panama,Panamá,Panamá,Panama,Panama,Panamá,Panamá
PAR,Paraguay,Paraguay,Paraguai,Paraguay,Paraguay,Paraguay,Paraguai,Paraguay
PCN,Pitcairn Islands,Îles Pitcairn,Ilhas Pitcairn,Islas Pitcairn,Pitcairn Islands,Îles Pitcairn,Ilhas Pitcairn,Islas Pitcairn
PER,Peru,Pérou,Peru,Perú,Peru,Pérou,Peru,Perú
PHI,Philippines,Philippines,Filipinas,Filipinas,Philippines,Philippines,Filipinas,Filipinas
PLE,Palestine,Palestine,Palestina,Palestina,Palestine,Palestine,Palestina,Palestina
PLW,Palau,Palaos,Palau,Palaos,Palau,Palaos,Palau,Palaos
PNG,Papua New Guinea,Papouasie-Nouvelle-Guinée,Papua Nova Guiné,Papúa-Nueva Guinea,Papua New Guinea,Papouasie-Nouvelle-Guinée,Papua Nova Guiné,Papúa-Nueva Guinea
POL,Poland,Pologne,Polônia,Polonia,Poland,Pologne,Polônia,Polonia
POR,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
PRK,Dem. People's Repub. of Korea,Répub. populaire dém. de Corée,Rep. Popular Dem. da Coréia,Rep. Popular Dem. de Corea,Democratic People's Republic of Korea,République populaire démocratique de Corée,República Popular Democrática da Coréia,República Popular Democrática de Corea
PUR,Puerto Rico,Porto Rico,Porto Rico,Puerto Rico,Puerto Rico,Porto Rico,Porto Rico,Puerto Rico
PYF,French Polynesia,Polynésie française,Polinésia Francesa,Polinesia Francesa,French Polynesia,Polynésie française,Polinésia Francesa,Polinesia Francesa
QAT,Qatar,Qatar,Catar,Qatar,Qatar,Qatar,Catar,Qatar
REU,Réunion,Réunion,Reunião,Réunion,Réunion,Réunion,Reunião,Réunion
ROT,Refugee Olympic Team,Équipe Olympique de Réfugiés,Time Olímpico de Refugiados,Equipo Olímpico de Refugiados,Refugee Olympic Team,Équipe Olympique de Réfugiés,Time Olímpico de Refugiados,Equipo Olímpico de Refugiados
ROU,Romania,Roumanie,Romênia,Rumanía,Romania,Roumanie,Romênia,Rumanía
RSA,South Africa,Afrique du Sud,África do Sul,Sudáfrica,South Africa,Afrique du Sud,África do Sul,Sudáfrica
RUS,Russian Federation,Fédération de Russie,Federação da Rússia,Federación de Rusia,Russian Federation,Fédération de Russie,Federação da Rússia,Federación de Rusia
RWA,Rwanda,Rwanda,Ruanda,Ruanda,Rwanda,Rwanda,Ruanda,Ruanda
SAM,Samoa,Samoa,Samoa,Samoa,Samoa,Samoa,Samoa,Samoa
SCG,Serbia and Montenegro,Serbie-et-Monténégro,Sérvia e Montenegro,Serbia y Montenegro,Serbia and Montenegro,Serbie-et-Monténégro,Estado da Sérvia e Montenegro,Serbia y Montenegro
SEN,Senegal,Sénégal,Senegal,Senegal,Senegal,Sénégal,Senegal,Senegal
SEY,Seychelles,Seychelles,Seicheles,Seychelles,Seychelles,Seychelles,Seicheles,Seychelles
SGS,S. Georgia and S. Sandwich Is.,Géorgie Sud et Î. Sandwich Sud,Geórgia Sul e Il. Sandwich Sul,Is Georgias Sur y Sandwich Sur,South Georgia and the South Sandwich Islands,Géorgie du Sud-et-les Îles Sandwich du Sud,Geórgia do Sul e das Ilhas Sandwich do Sul,Islas Georgias del Sur y Sandwich del Sur
SHN,Saint Helena,Sainte-Hélène,Santa Helena,Santa Elena,"Saint Helena, Ascension and Tristan da Cunha","Sainte-Hélène, Ascension et Tristan da Cunha","Santa Helena, Ascensão e Tristão da Cunha","Santa Elena, Ascensión y Tristán de Acuña"
SIN,Singapore,Singapour,Singapura,Singapur,Singapore,Singapour,Singapura,Singapur
SJM,Svalbard and Jan Mayen,Svalbard et Jan Mayen,Svalbard e Jan Mayen,Svalbard y Jan Mayen,Svalbard and Jan Mayen,Svalbard et Jan Mayen,Svalbard e Jan Mayen,Svalbard y Jan Mayen
SKN,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,São Cristóvão e Névis,San Cristóbal y Nieves,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,São Cristóvão e Névis,San Cristóbal y Nieves
SLE,Sierra Leone,Sierra Leone,Serra Leoa,Sierra Leona,Sierra Leone,Sierra Leone,Serra Leoa,Sierra Leona
SLO,Slovenia,Slovénie,Eslovênia,Eslovenia,Slovenia,Slovénie,Eslovênia,Eslovenia
SMR,San Marino,Saint-Marin,San Marino,San Marino,San Marino,Saint-Marin,San Marino,San Marino
SOL,Solomon Islands,Îles Salomon,Ilhas Salomão,Islas Salomón,Solomon Islands,Îles Salomon,Ilhas Salomão,Islas Salomón
SOM,Somalia,Somalie,Somália,Somalia,Somalia,Somalie,Somália,Somalia
SPM,Saint Pierre and Miquelon,Saint-Pierre-et-Miquelon,Saint-Pierre e Miquelon,San Pedro y Miquelón,Saint Pierre and Miquelon,Saint-Pierre-et-Miquelon,Saint-Pierre e Miquelon,San Pedro y Miquelón
SRB,Serbia,Serbie,Sérvia,Serbia,Serbia,Serbie,Sérvia,Serbia
SRI,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
SSD,South Sudan,Soudan du Sud,Sudão do Sul,Sudán del Sur,South Sudan,Soudan du Sud,Sudão do Sul,Sudán del Sur
STP,Sao Tome and Principe,Sao Tomé-et-Principe,São Tomé e Príncipe,Santo Tomé y Príncipe,Sao Tome and Principe,Sao Tomé-et-Principe,São Tomé e Príncipe,Santo Tomé y Príncipe
SUD,Sudan,Soudan,Sudão,Sudán,Sudan,Soudan,Sudão,Sudán
SUI,Switzerland,Suisse,Suíça,Suiza,Switzerland,Suisse,Suíça,Suiza
SUR,Suriname,Suriname,Suriname,Surinam,Suriname,Suriname,Suriname,Surinam
SVK,Slovakia,Slovaquie,Eslováquia,Eslovaquia,Slovakia,Slovaquie,Eslováquia,Eslovaquia
SWE,Sweden,Suède,Suécia,Suecia,Sweden,Suède,Suécia,Suecia
SWZ,Swaziland,Swaziland,Suazilândia,Suazilandia,Swaziland,Swaziland,Suazilândia,Suazilandia
SXM,Sint Maarten (Dutch Part),Saint-Martin (PartieNéerland.),São Martinho (Países Baixos),Sint Maarten (Países Bajos),Sint Maarten,Saint-Martin,São Martinho,Sint Maarten
SYR,Syrian Arab Republic,République arabe syrienne,República Árabe da Síria,República Árabe Siria,Syrian Arab Republic,République arabe syrienne,República Árabe da Síria,República Árabe Siria
TAH,Tahiti,Tahiti,Taiti,Tahití,Tahiti,Tahiti,Taiti,Tahití
TAN,United Republic of Tanzania,République unie de Tanzanie,República Unida da Tanzânia,República Unida de Tanzania,United Republic of Tanzania,République unie de Tanzanie,República Unida da Tanzânia,República Unida de Tanzania
TCA,Turks and Caicos Islands,Îles Turks-et-Caïcos,Ilhas Turcas e Caicos,Islas Turcas y Caicos,Turks and Caicos Islands,Îles Turks-et-Caïcos,Ilhas Turcas e Caicos,Islas Turcas y Caicos
TCH,Czechoslovakia,Tchécoslovaquie,Tchecoslováquia,Checoslovaquia,Czechoslovakia,Tchécoslovaquie,Tchecoslováquia,Checoslovaquia
TGA,Tonga,Tonga,Tonga,Tonga,Tonga,Tonga,Tonga,Tonga
THA,Thailand,Thaïlande,Tailândia,Tailandia,Thailand,Thaïlande,Tailândia,Tailandia
TJK,Tajikistan,Tadjikistan,Tadjiquistão,Tayikistán,Tajikistan,Tadjikistan,Tadjiquistão,Tayikistán
TKL,Tokelau,Tokelau,Tokelau,Tokelau,Tokelau,Tokelau,Tokelau,Tokelau
TKM,Turkmenistan,Turkménistan,Turcomenistão,Turkmenistán,Turkmenistan,Turkménistan,Turcomenistão,Turkmenistán
TLS,Democratic Repub. Timor-Leste,Répub. Dém. du Timor-Leste,Rep. Dem. de Timor-Leste,Rep. Dem. de Timor Oriental,Democratic Republic of Timor-Leste,République Démocratique du Timor-Leste,República Democrática de Timor-Leste,República Democrática de Timor Oriental
TOG,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo
TPE,Chinese Taipei,Chinese Taipei,Taipé Chinesa,China Taipéi,Chinese Taipei,Chinese Taipei,Taipé Chinesa,China Taipéi
TTO,Trinidad and Tobago,Trinité-et-Tobago,Trinidad e Tobago,Trinidad y Tobago,Trinidad and Tobago,Trinité-et-Tobago,Trinidad e Tobago,Trinidad y Tobago
TUN,Tunisia,Tunisie,Tunísia,Túnez,Tunisia,Tunisie,Tunísia,Túnez
TUR,Turkey,Turquie,Turquia,Turquía,Turkey,Turquie,Turquia,Turquía
TUV,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu
UAE,United Arab Emirates,Émirats Arabes Unis,Emirados Árabes Unidos,Emiratos Árabes Unidos,United Arab Emirates,Émirats Arabes Unis,Emirados Árabes Unidos,Emiratos Árabes Unidos
UGA,Uganda,Ouganda,Uganda,Uganda,Uganda,Ouganda,Uganda,Uganda
UKR,Ukraine,Ukraine,Ucrânia,Ucrania,Ukraine,Ukraine,Ucrânia,Ucrania
UMI,US Outlying Islands,Îles min. éloignées des É.-U.,Ilhas Menores Distantes dos EU,Is. Ultramarinas Men. de EEUU,US Outlying Islands,Îles min. éloignées des É.-U.,Ilhas Menores Distantes dos Estados Unidos,Islas Ultramarinas Menores de EEUU
URS,USSR,U.R.S.S.,U.R.S.S.,URSS,USSR,U.R.S.S.,União das Repúblicas Socialistas Soviéticas,URSS
URU,Uruguay,Uruguay,Uruguai,Uruguay,Uruguay,Uruguay,Uruguai,Uruguay
USA,United States of America,États-Unis d'Amérique,Estados Unidos da América,Estados Unidos de América,United States of America,États-Unis d'Amérique,Estados Unidos da América,Estados Unidos de América
UZB,Uzbekistan,Ouzbékistan,Uzbequistão,Uzbekistán,Uzbekistan,Ouzbékistan,Uzbequistão,Uzbekistán
VAN,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu
VAT,Vatican,Vatican,Vaticano,Vaticano,Vatican,Vatican,Vaticano,Vaticano
VEN,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela
VIE,Vietnam,Vietnam,Vietnã,Vietnam,Vietnam,Vietnam,Vietnã,Vietnam
VIN,St Vincent and the Grenadines,St.-Vincent-et-les-Grenadines,São Vicente e Granadinas,San Vicente y las Granadinas,St Vincent and the Grenadines,Saint-Vincent-et-les-Grenadines,São Vicente e Granadinas,San Vicente y las Granadinas
WLF,Wallis and Futuna,Wallis-et-Futuna,Wallis e Futuna,Wallis y Futuna,Wallis and Futuna,Wallis-et-Futuna,Wallis e Futuna,Wallis y Futuna
YEM,Yemen,Yémen,Iêmen,Yemen,Yemen,Yémen,Iêmen,Yemen
YUG,Yugoslavia,Yougoslavie,Iugoslávia,Yugoslavia,The Federal Republic of Yugoslavia,Yougoslavie,República Socialista Federativa da Iugoslávia,República Federativa de Yugoslavia
ZAM,Zambia,Zambie,Zâmbia,Zambia,Zambia,Zambie,Zâmbia,Zambia
ZIM,Zimbabwe,Zimbabwe,Zimbábue,Zimbabue,Zimbabwe,Zimbabwe,Zimbábue,Zimbabue
