Function,Discipline,Order,Category,ENG Description,FRA Description,KOR Description,Partic,Results
CHF_HP,FRS,,J,Chief of Halfpipe,Chef du halfpipe,하프파이프 위원장,,
CHF_SLP,FRS,,J,Chief of Slopestyle,Chef de Slopestyle,슬로프스타일 위원장,,
COMP_CHF,FRS,,J,Chief of Competition,Chef de compétition,경기위원장,,
CRS_CHF,FRS,,J,Chief of Course,Directeur de parcours,코스위원장,,
CRS_DSG,FRS,,J,Course Designer,Traceur,코스 디자이너,,
CRS_HP,FRS,,J,Halfpipe Technical Advisor,Conseiller technique du halfpipe,하프파이프 기술 자문가,,
CRS_SET,FRS,,J,Course Setter,Traceur,코스 세터,,
FSH_RE,FRS,,J,Finish Referee,Juge d'arrivée,피니시 레프리,,
HED_JU,FRS,,J,Head Judge,Juge chef,헤드 저지,,
HED_JU_A,FRS,,J,Assistant Head Judge,Juge en chef adjoint,어시스턴트 헤드 저지,,
JU,FRS,,J,Judge,Juge,저지,,
JUR_ME,FRS,,J,Jury Advisor,Conseiller du jury,쥬리 어드바이저,,
RCE_DIR,FRS,,J,FIS Race Director,Directeur de course (FIS),FIS 레이스 디렉터,,
RCE_DIRA,FRS,,J,FIS Assistant Race Director,Directeur de course adjoint (FIS),FIS 어시스턴트 레이스 디렉터,,
RE,FRS,,J,Referee,Arbitre,레프리,,
STR_RE,FRS,,J,Start Referee,Juge au départ,스타트 레프리,,
TCH_DEL,FRS,,J,FIS Technical Delegate,Délégué technique (FIS),FIS 기술대표(TD),,
TCH_DELA,FRS,,J,Assistant Technical Delegate,Délégué technique adjoint,어시스턴트 기술대표,,
VER_JU,FRS,,J,Judging Score Verifier,Contrôleur des scores,채점 점수 감사관,,
VER_SCR,FRS,,J,Score Verifier,Vérificateur du pointage,점수 감사관,,
VID,FRS,,S,Video Controller,Contrôleur vidéo,비디오 컨트롤러,,
AA01,FSK,0,A,Athlete,Athlète,선수,Y,Y
AST_TSP,FSK,,J,Assistant Technical Specialist,Spécialiste technique adjoint,어시스턴트 테크니컬 스페셜리스트,,
COACH,FSK,,C,Coach,Entraîneur,코치 ,,
DOP,FSK,,S,Data Operator,Responsable entrée de données,데이터 오퍼레이터,,
JU,FSK,,J,Judge,Juge,심판,,
RE,FSK,,J,Referee,Arbitre,레프리,,
ROP,FSK,,S,Replay Operator,Contrôleur vidéo,리플레이 오퍼레이터,,
TCH_CTR,FSK,,J,Technical Controller,Contrôleur technique,테크니컬 컨트롤러,,
TCH_SPC,FSK,,J,Technical Specialist,Spécialiste technique,테크니컬 스페셜리스트,,
AA01,IHO,0,A,Athlete,Athlète,선수,Y,Y
AST_COA,IHO,,C,Assistant Coach,Entraîneur adjoint,코치 ,,
COACH,IHO,,C,Head Coach,Entraîneur chef,감독,,
DOCTOR,IHO,,T,Team Doctor,Médecin de l'équipe,팀 닥터,,
FIT_COA,IHO,,C,Fitness Coach,Entraîneur de conditionnement physique,피트니스 코치,,
GOAL_COA,IHO,,C,Goaltending Coach,Entraîneur pour gardiens de but,골키퍼 코치,,
GOAL_J,IHO,,J,Goal Judge,Juge de but,골 심판,,
LIN_MEN,IHO,,J,Linesman,Juge de ligne,선심,,
PHYSIO,IHO,,T,Physiotherapist,Physiothérapeute,물리치료사,,
RE,IHO,,J,Referee,Arbitre,주심,,
TM_EQUIP,IHO,,T,Equipment Manager,Gestionnaire de l'équipement,장비 매니저,,
TM_MGR,IHO,,T,General Manager,Directeur général,총괄 매니저,,
TM_OFFIC,IHO,,T,Team Leader,Chef d'équipe,팀 리더,,
VID_COA,IHO,,C,Video Coach,Entraîneur vidéo,비디오 코치,,
AA01,LUG,0,A,Athlete,Athlète,선수,Y,Y
FIN,LUG,,J,Finish Leader,Juge à l'arrivée,피니시 총책임자,,
JUR_ME,LUG,,J,Member of the Jury,Membre du jury,심판위원,,
JUR_PR,LUG,,J,President of the Jury,Président du jury,심판위원장,,
OFFIC,LUG,,S,Technical Official,Officiel technique,기술임원,,
PR,LUG,,J,FIL President,Président de la FIL,FIL 회장,,
RCE_DIR,LUG,,J,Race Director,Directeur de course,레이스 디렉터,,
SEC,LUG,,J,FIL Secretary General,Secrétaire général de la FIL,FIL 사무총장,,
STR,LUG,,J,Start Leader,Juge au départ,스타트 총책임자,,
TCH_DEL,LUG,,J,Technical Delegate,Délégué technique,기술대표(TD),,
TCH_DELA,LUG,,J,FIL Technical Delegate,Délégué technique adjoint de la FIL,FIL 기술대표(TD),,
TRK_CHF,LUG,,J,Chief of the Track,Directeur de piste,트랙 총책임자,,
AA01,NCB,0,A,Athlete,Athlète,선수,Y,Y
COMP_CHF,NCB,3,J,"Chief of Competition (SJP, CCS)","Chef de compétition (SJP, CCS)","경기위원장(SJP, CCS)",,
CRS_CHF,NCB,6,J,Chief of Course (CCS),Directeur de parcours (CCS),코스 위원장,,
EQUIP,NCB,7,J,"FIS Equipment Controller (SJP, CCS)","Contrôleur de l'équipement (FIS) (SJP, CCS)","FIS 장비 컨트롤러(SJP, CCS)",,
JU,NCB,8,J,Judge (SJP),Juge (SJP),심판 (SJP),,
RCE_DIR,NCB,1,J,"FIS Race Director (SJP, CCS)","Directeur de course (FIS) (SJP, CCS)","FIS 레이스 디렉터(SJP, CCS)",,
RCE_DIRA,NCB,5,J,"FIS Assistant Race Director (SJP, CCS)","Directeur de course adjoint (FIS) (SJP, CCS)","FIS 어시스턴트 레이스 디렉터(SJP, CCS)",,
TCH_DEL,NCB,2,J,"FIS Technical Delegate (SJP, CCS)","Délégué technique (FIS) (SJP, CCS)","FIS 기술대표(TD)(SJP, CCS)",,
TCH_DELA,NCB,4,J,"FIS Assistant Technical Delegate (SJP, CCS)","Délégué technique adjoint (FIS) (SJP, CCS)","FIS 어시스턴트 기술대표(SJP, CCS)",,
AA01,SBD,0,A,Athlete,Athlète,선수,Y,Y
CHF_CRS,SBD,,J,Chief of Course,Directeur de parcours,코스 위원장,,
CHF_HP,SBD,,J,Chief of Halfpipe,Chef du halfpipe,하프파이프 위원장,,
CHF_PGS,SBD,,J,Chief of Parallel Giant Slalom,Chef de Slalom Géant Parallèle,평행대회전 위원장,,
CHF_SLP,SBD,,J,Chief of Slopestyle,Chef de Slopestyle,슬로프스타일 위원장,,
COMP_CHF,SBD,,J,Chief of Competition,Chef de compétition,경기위원장,,
CRS_BLD,SBD,,S,Course Builder,Constructeur de la piste,코스 빌더,,
CRS_DSG,SBD,,J,Course Designer,Traceur,코스 디자이너,,
CRS_HP,SBD,,J,Halfpipe Technical Advisor,Conseiller technique du halfpipe,하프파이프 기술 자문가,,
CRS_SET,SBD,,J,Course Setter,Traceur,코스 세터,,
FSH_RE,SBD,,J,Finish Referee,Juge d'arrivée,피니시 레프리,,
HED_JU,SBD,,J,Head Judge,Juge chef,헤드 저지,,
HED_JU_A,SBD,,J,Assistant Head Judge,Juge en chef adjoint,어시스턴트 헤드 저지,,
JU,SBD,,J,Judge,Juge,저지,,
RCE_DIR,SBD,,J,FIS Race Director,Directeur de course (FIS),FIS 레이스 디렉터,,
RCE_DIRA,SBD,,J,FIS Assistant Race Director,Directeur de course adjoint (FIS),FIS 어시스턴트 레이스 디렉터,,
STR_RE,SBD,,J,Start Referee,Juge au départ,스타트 레프리,,
TCH_DEL,SBD,,J,FIS Technical Delegate,Délégué technique (FIS),FIS 기술대표(TD),,
VID,SBD,,S,Video Controller,Contrôleur vidéo,비디오 컨트롤러,,
AA01,SJP,0,A,Athlete,Athlète,선수,Y,Y
COMP_CHF,SJP,3,J,Chief of Competition,Chef de compétition,경기위원장,,
EQUIP,SJP,6,J,FIS Equipment Controller,Contrôleur de l'équipement (FIS),FIS 장비 컨트롤러,,
JU,SJP,7,J,Judge,Juge,심판,,
RCE_DIR,SJP,1,J,FIS Race Director,Directeur de course (FIS),FIS 레이스 디렉터,,
RCE_DIRA,SJP,5,J,FIS Assistant Race Director,Directeur de course adjoint (FIS),FIS 어시스턴트 레이스 디렉터,,
TCH_DEL,SJP,2,J,FIS Technical Delegate,Délégué technique (FIS),FIS 기술대표(TD),,
TCH_DELA,SJP,4,J,FIS Assistant Technical Delegate,Délégué technique adjoint (FIS),FIS 어시스턴트 기술대표,,
AA01,SKN,0,A,Athlete,Athlète,선수,Y,Y
JUR_AST,SKN,,J,Jury Assistant,Adjoint au jury,부 심판,,
JUR_ME,SKN,,J,Member of the Jury,Membre du jury,심판위원,,
JUR_PR,SKN,,J,President of the Jury,Président du jury,심판위원장,,
OFFIC,SKN,,J,Technical Official,Officiel technique,기술임원,,
RCE_DIR,SKN,,J,Race Director,Directeur de course,레이스 디렉터,,
TCH_DEL,SKN,,J,Technical Delegate,Délégué technique,기술대표(TD),,
TRK_CHF,SKN,,J,Chief of the Track,Directeur de piste,트랙 총책임자,,
AA01,SSK,0,A,Athlete,Athlète,선수,Y,Y
AR,SSK,,J,Assistant Referee,Arbitre adjoint,어시스턴트 레프리,,
RE,SSK,,J,Referee,Arbitre,레프리,,
STR,SSK,,J,Starter,Préposé au départ,스타터,,
AA01,STK,0,A,Athlete,Athlète,선수,Y,Y
AR,STK,3,J,Assistant Referee,Arbitre adjoint,부 심판장,,
AR1,STK,2,J,First Assistant Referee,Premier assistant arbitre ,1st 부 심판장,,
CST,STK,6,S,Competitors Steward,Assistant des athlètes,조 편성원,,
RE,STK,1,J,Referee,Arbitre,심판장,,
STR,STK,5,J,Starter,Préposé au départ,스타터,,
VR,STK,4,J,Assistant Referee Video,Assistant arbitre video ,부 비디오레프리,,
