Function,Discipline,Order,Category,ENG Description,FRA Description,KOR Description,Partic,Results
TCH_DEL,FRS,,J,FIS Technical Delegate,Délégué technique (FIS),FIS 기술대표(TD),Y,Y
TCH_DELA,FRS,,J,Assistant Technical Delegate,Délégué technique adjoint,어시스턴트 기술대표,Y,Y
TK,FRS,,J,Chief of Timing,Chef du chronométrage,계측 위원장,Y,N
VER_SCR,FRS,,J,Score Verifier,Vérificateur du pointage,점수 감사관,Y,Y
VID,FRS,,S,Video Controller,Contrôleur vidéo,비디오 컨트롤러,Y,Y
AA01,FSK,0,A,Athlete,Athlète,선수,Y,Y
AST_TSP,FSK,,J,Assistant Technical Specialist,Spécialiste technique adjoint,어시스턴트 테크니컬 스페셜리스트,,
CHOR,FSK,2,T,Choreographer,Chorégraphe,안무가,,
COACH,FSK,1,C,Coach,Entraîneur,코치 ,,
DOP,FSK,,S,Data Operator,Responsable entrée de données,데이터 오퍼레이터,,
JU,FSK,,J,Judge,Juge,심판,,
RE,FSK,,J,Referee,Arbitre,레프리,,
ROP,FSK,,S,Replay Operator,Contrôleur vidéo,리플레이 오퍼레이터,,
TCH_CTR,FSK,,J,Technical Controller,Contrôleur technique,테크니컬 컨트롤러,,
TCH_SPC,FSK,,J,Technical Specialist,Spécialiste technique,테크니컬 스페셜리스트,,
AA01,IHO,0,A,Athlete,Athlète,선수,Y,Y
AST_COA,IHO,4,C,Assistant Coach,Entraîneur adjoint,코치 ,,
CHAIR,IHO,,J,Tournament Chairman,Président du tournoi,토너먼트 체어맨,Y,N
COACH,IHO,3,C,Head Coach,Entraîneur chef,감독,,
DISC_J,IHO,,J,Disciplinary Judge,Juge disciplinaire,징계위원회 저지,Y,N
DOCTOR,IHO,7,T,Team Doctor,Médecin de l'équipe,팀 닥터,,
FIT_COA,IHO,6,C,Fitness Coach,Entraîneur physique,피트니스 코치,,
GOAL_COA,IHO,5,C,Goaltending Coach,Entraîneur des gardiens de but,골키퍼 코치,,
GOAL_J,IHO,,J,Goal Judge,Juge de but,골 심판,,
LIN_MEN,IHO,,J,Linesman,Juge de ligne,선심,,
MED_SPV,IHO,,J,Medical Supervisor,Responsable médical,메디컬 수퍼바이저,Y,N
MEDIC,IHO,11,T,Team Medical Officer,FRA,KOR,Y,N
OFFIC,IHO,,J,Technical Official,Officiel technique,기술임원,Y,N
P02,IHO,,C,Training Partner,Partenaire d'entraînement,훈련 파트너,Y,N
P03,IHO,,A,Alternate Athlete,Athlète remplaçant,대체 선수,Y,N
PHYSIO,IHO,8,T,Physiotherapist,Physiothérapeute,물리치료사,,
RE,IHO,,J,Referee,Arbitre,주심,,
RFR_SPV,IHO,,J,Referee Supervisor,Superviseur des arbitres,레프리 수퍼바이저,Y,N
RM,IHO,,J,Result Manager,Responsable des résultats,결과 매니저,Y,N
SCR_KPR,IHO,,J,Scorekeeper,Marqueur,스코어키퍼,Y,N
TCH_DEL,IHO,,J,IIHF Technical Delegate,Délégué technique (IIHF),IIHF 기술대표(TD),Y,N
TK,IHO,,J,Timekeeper,Chronométreur,타임키퍼,Y,N
TM_EQUIP,IHO,10,T,Equipment Manager,Gestionnaire de l'équipement,장비 매니저,,
TM_MEDIA,IHO,12,T,Media Manager,FRA,KOR,Y,N
TM_MGR,IHO,1,T,General Manager,Directeur général,총괄 매니저,,
TM_OFFIC,IHO,2,T,Team Leader,Chef d'équipe,팀 리더,,
TM_STF,IHO,13,T,Team Staff,Personnel d'équipe,팀직원,Y,N
VID_COA,IHO,9,C,Video Coach,Entraîneur vidéo,비디오 코치,,
AA01,LUG,0,A,Athlete,Athlète,선수,Y,Y
FIN,LUG,,J,Finish Leader,Juge à l'arrivée,피니시 총책임자,,
JUR_ME,LUG,,J,Member of the Jury,Membre du corps arbitral,심판위원,,
JUR_PR,LUG,,J,President of the Jury,Président du corps arbitral,심판위원장,,
OFFIC,LUG,,S,Technical Official,Officiel technique,기술임원,,
PR,LUG,,J,FIL President,Président de la FIL,FIL 회장,,
RCE_DIR,LUG,,J,Race Director,Directeur de course,레이스 디렉터,,
SEC,LUG,,J,FIL Secretary General,Secrétaire général de la FIL,FIL 사무총장,,
STR,LUG,,J,Start Leader,Juge au départ,스타트 총책임자,,
TCH_DEL,LUG,,J,Technical Delegate,Délégué technique,기술대표(TD),,
TCH_DELA,LUG,,J,FIL Technical Delegate,Délégué technique adjoint de la FIL,FIL 기술대표(TD),,
TRK_CHF,LUG,,J,Chief of the Track,Directeur de piste,트랙 총책임자,,
AA01,NCB,0,A,Athlete,Athlète,선수,Y,Y
COMP_CHF,NCB,3,J,"Chief of Competition (SJP, CCS)","Chef de compétition (SJP, CCS)","경기위원장(SJP, CCS)",,
CRS_CHF,NCB,6,J,Chief of Course (CCS),Directeur de parcours (CCS),코스 위원장,,
EQUIP,NCB,7,J,"FIS Equipment Controller (SJP, CCS)","Contrôleur de l'équipement (FIS) (SJP, CCS)","FIS 장비 컨트롤러(SJP, CCS)",,
JU,NCB,8,J,Judge (SJP),Juge (SJP),심판 (SJP),,
RCE_DIR,NCB,1,J,"FIS Race Director (SJP, CCS)","Directeur de course (FIS) (SJP, CCS)","FIS 레이스 디렉터(SJP, CCS)",,
RCE_DIRA,NCB,5,J,"FIS Assistant Race Director (SJP, CCS)","Directeur de course adjoint (FIS) (SJP, CCS)","FIS 어시스턴트 레이스 디렉터(SJP, CCS)",,
TCH_DEL,NCB,2,J,"FIS Technical Delegate (SJP, CCS)","Délégué technique (FIS) (SJP, CCS)","FIS 기술대표(TD)(SJP, CCS)",,
TCH_DELA,NCB,4,J,"FIS Assistant Technical Delegate (SJP, CCS)","Délégué technique adjoint (FIS) (SJP, CCS)","FIS 어시스턴트 기술대표(SJP, CCS)",,
AA01,SBD,0,A,Athlete,Athlète,선수,Y,Y
CHF_BA,SBD,,J,Chief of Big Air,Chef de Big Air,빅에어 위원장,,
CHF_HP,SBD,,J,Chief of Halfpipe,Chef du halfpipe,하프파이프 위원장,,
CHF_PGS,SBD,,J,Chief of Parallel Giant Slalom,Chef de Slalom Géant Parallèle,평행대회전 위원장,,
CHF_SLP,SBD,,J,Chief of Slopestyle,Chef de Slopestyle,슬로프스타일 위원장,,
COMP_CHF,SBD,,J,Chief of Competition,Chef de compétition,경기위원장,,
CRS_BLD,SBD,,S,Course Builder,Constructeur de la piste,코스 빌더,,
CRS_CHF,SBD,,J,Chief of Course,Directeur de parcours,코스위원장,,
CRS_DSG,SBD,,J,Course Designer,Traceur,코스 디자이너,,
CRS_HP,SBD,,J,Halfpipe Technical Advisor,Conseiller technique du halfpipe,하프파이프 기술 자문가,,
CRS_SET,SBD,,J,Course Setter,Traceur,코스 세터,,
FSH_RE,SBD,,J,Finish Referee,Juge d'arrivée,피니시 레프리,,
HED_JU,SBD,,J,Head Judge,Juge chef,헤드 저지,,
HED_JU_A,SBD,,J,Assistant Head Judge,Juge en chef adjoint,어시스턴트 헤드 저지,,
JU,SBD,,J,Judge,Juge,저지,,
RCE_DIR,SBD,,J,FIS Race Director,Directeur de course (FIS),FIS 레이스 디렉터,,
RCE_DIRA,SBD,,J,FIS Assistant Race Director,Directeur de course adjoint (FIS),FIS 어시스턴트 레이스 디렉터,,
STR_RE,SBD,,J,Start Referee,Juge au départ,스타트 레프리,,
TCH_DEL,SBD,,J,FIS Technical Delegate,Délégué technique (FIS),FIS 기술대표(TD),,
VID,SBD,,S,Video Controller,Contrôleur vidéo,비디오 컨트롤러,,
AA01,SJP,0,A,Athlete,Athlète,선수,Y,Y
COMP_CHF,SJP,3,J,Chief of Competition,Chef de compétition,경기위원장,,
EQUIP,SJP,6,J,FIS Equipment Controller,Contrôleur de l'équipement (FIS),FIS 장비 컨트롤러,,
JU,SJP,7,J,Judge,Juge,심판,,
RCE_DIR,SJP,1,J,FIS Race Director,Directeur de course (FIS),FIS 레이스 디렉터,,
RCE_DIRA,SJP,5,J,FIS Assistant Race Director,Directeur de course adjoint (FIS),FIS 어시스턴트 레이스 디렉터,,
TCH_DEL,SJP,2,J,FIS Technical Delegate,Délégué technique (FIS),FIS 기술대표(TD),,
TCH_DELA,SJP,4,J,FIS Assistant Technical Delegate,Délégué technique adjoint (FIS),FIS 어시스턴트 기술대표,,
AA01,SKN,0,A,Athlete,Athlète,선수,Y,Y
JUR_AST,SKN,,J,Jury Assistant,Juge adjoint,부 심판,,
JUR_ME,SKN,,J,Member of the Jury,Membre du corps arbitral,심판위원,,
JUR_PR,SKN,,J,President of the Jury,Président du corps arbitral,심판위원장,,
OFFIC,SKN,,J,Technical Official,Officiel technique,기술임원,,
RCE_DIR,SKN,,J,Race Director,Directeur de course,레이스 디렉터,,
TCH_DEL,SKN,,J,Technical Delegate,Délégué technique,기술대표(TD),,
TRK_CHF,SKN,,J,Chief of the Track,Directeur de piste,트랙 총책임자,,
AA01,SSK,0,A,Athlete,Athlète,선수,Y,Y
AR,SSK,,J,Assistant Referee,Arbitre assistant,어시스턴트 레프리,,
RE,SSK,,J,Referee,Arbitre,레프리,,
STR,SSK,,J,Starter,Préposé au départ,스타터,,
AA01,STK,0,A,Athlete,Athlète,선수,Y,Y
AR,STK,5,J,Assistant Referee,Arbitre assistant,부 심판장,,
AR1,STK,4,J,First Assistant Referee,Premier arbitre assistant ,1st 부 심판장,,
CST,STK,8,S,Competitors Steward,Assistant des athlètes,조 편성원,,
MEDIC,STK,2,J,Medical Advisor,Conseiller médical,의료 자문가,,
RE,STK,3,J,Referee,Arbitre,심판장,,
STR,STK,7,J,Starter,Préposé au départ,스타터,,
TCH_DEL,STK,1,J,Technical Delegate,Délégué technique,기술대표(TD),,
VR,STK,6,J,Assistant Referee Video,Arbitre vidéo assistant,부 비디오레프리,,
