Sport,Code_Entity,Code,Order,Description,Note
CR,ResultType,TIME,,Time,
CT,IRM,DNF,,Did not Finish,
CT,IRM,DNS,,Did not Start,
CT,IRM,DSQ,,Disqualified,
CT,IRM,OVL,,Overlapped,
CT,IRM,REL,,Relegated,
CT,QualificationMark,QB,,Qualified for Bronze,
CT,QualificationMark,QG,,Qualified for Gold,
CT,ResultType,IRM,,Invalid Result Mark,
CT,ResultType,IRM_TIME,,"For both, Time and Invalid Result Mark",
CT,ResultType,TIME,,Time,
EQ,IRM,DSQ,,Disqualified,
EQ,IRM,EL,,Eliminated,
EQ,IRM,RT,,Retired,
EQ,IRM,WD,,Withdrawn,
EQ,ResultType,IRM,,IRM,
EQ,ResultType,PERCENT,,% score,
EQ,ResultType,POINTS,,Points,
FB,Action,CRN,,Corner,
FB,Action,DPTY,,Double Penalty,
FB,Action,FOUL,,Foul,
FB,Action,FRD,,Free-Kick Direct (Shot),
FB,Action,OG,,Own goal,
FB,Action,PTY,,Penalty Shot,
FB,Action,RC,,Expulsion (Red card),
FB,Action,SHOT,,Shot,
FB,Action,STARTP,,Start of Period,
FB,Action,SUBST,,Player substituted,
FB,Action,TOUT,,Time Out,
FB,Action,YC,,Caution (Yellow card),
FB,Action,YRC,,2Y = Red Card,
FB,ActionRole,FOC,,Foul committed,
FB,ActionRole,FOS,,Foul suffered,
FB,ActionRole,IN,,In,
FB,ActionRole,OUT,,Out,
FB,AthleteStatus,A,,Absent,
FB,AthleteStatus,DSQ,,Disqualified,
FB,AthleteStatus,I,,Injured,
FB,AthleteStatus,N,,Not eligible to play,
FB,AthleteStatus,RP,,Replaced,
FB,AthleteStatus,SUSPEND,,Suspended,
FB,AthleteStatus,X,,Misses next match if booked,
FB,Bracket,5_6,,5th-6th,""
FB,Bracket,7_8,,7th-8th,""
FB,Bracket,BRN,,Bronze,
FB,Bracket,FNL,,Finals,
FB,BracketItems,FNL,,Finals,
FB,BracketItems,SFL,,Semifinals,
FB,IRM,ABD,,Abandoned,
FB,IRM,DSQ,,Disqualified,
FB,Period,H1,1,First Half,
FB,Period,H2,2,Second Half,
FB,Period,OT1,3,First Extra Time,
FB,Period,OT2,4,Second Extra Time,
FB,Period,PSO,5,Penalty Shoot Out,
FB,Period,TOT,6,Total,
FB,ResAction,BLC,,Blocked,
FB,ResAction,GOAL,,Goal,
FB,ResAction,MISS,,Missed,
FB,ResAction,POST,,Post,
FB,ResAction,SAVE,,Saved,
FB,ResultType,IRM_POINTS,,"For both, Points and Invalid Result Mark",
FB,ResultType,POINTS,,Goals,
FB,Statistics,CUM,,Cumulative Statistics of team and individual,
FB,Statistics,IND_RANKING,,Ranking of Individual tournament statistics,
FB,Statistics,TOU,,Ranking of Individual statistics,
FB,WLT,L,,Lost,
FB,WLT,T,,Draw,
FB,WLT,W,,Won,
FT,Action,CRN,,Corner,
FT,Action,FOUL,,Foul,
FT,Action,FRD,,Free-Kick Direct (Shot),
FT,Action,OG,,Own goal,
FT,Action,PTY,,Penalty Shot,
FT,Action,RC,,Expulsion (Red card),
FT,Action,SHOT,,Shot,
FT,Action,STARTP,,Start of Period,
FT,Action,SUBST,,Player substituted,
FT,Action,YC,,Caution (Yellow card),
FT,Action,YRC,,2Y = Red Card,
FT,ActionRole,FOC,,Foul committed,
FT,ActionRole,FOS,,Foul suffered,
FT,ActionRole,IN,,In,
FT,ActionRole,OUT,,Out,
FT,AthleteStatus,A,,Absent,
FT,AthleteStatus,DSQ,,Disqualified,
FT,AthleteStatus,I,,Injured,
FT,AthleteStatus,N,,Not eligible to play,
FT,AthleteStatus,RP,,Replaced,
FT,AthleteStatus,SUSPEND,,Suspended,
FT,AthleteStatus,X,,Misses next match if booked,
FT,Bracket,5_6,,Classification 5-6,
FT,Bracket,7_8,,Classification 7-8,
FT,Bracket,BRN,,Bronze,
FT,Bracket,FNL,,Finals,
FT,BracketItems,FNL,,Finals,
FT,BracketItems,SFL,,Semifinals,
FT,IRM,ABD,,Abandoned,
FT,IRM,DSQ,,Disqualified,
FT,Period,H1,1,First Half,
FT,Period,H2,2,Second Half,
FT,Period,OT1,3,First Extra Time,
FT,Period,OT2,4,Second Extra Time,
FT,Period,PSO,5,Penalty Shoot Out,
FT,Period,TOT,6,Total,
FT,ResAction,BLC,,Blocked,
FT,ResAction,GOAL,,Goal,
FT,ResAction,MISS,,Missed,
FT,ResAction,POST,,Post,
FT,ResAction,SAVE,,Saved,
FT,ResultType,IRM_POINTS,,"For both, Points and Invalid Result Mark",
FT,ResultType,POINTS,,Goals,
FT,Statistics,CUM,,Cumulative Statistics of team and individual,
FT,Statistics,IND_RANKING,,Ranking of Individual tournament statistics,
FT,Statistics,TOU,,Ranking of Individual statistics,
FT,WLT,L,,Lost,
FT,WLT,T,,Draw,
FT,WLT,W,,Won,
GB,Action,OG,,Own goal,
GB,Action,PTY,,Penalty Shot,
GB,Action,SHOT,,Shot,
GB,Action,STARTP,,Start of Period,
GB,Action,SUBST,,Player substituted,
GB,ActionRole,IN,,In,
GB,ActionRole,OUT,,Out,
GB,AthleteStatus,DSQ,,Disqualified,
GB,Bracket,BRN,,Bronze,
GB,Bracket,FNL,,Finals,
GB,BracketItems,FNL,,Finals,
GB,BracketItems,QFL,,Quarterfinals,
GB,BracketItems,SFL,,Semifinals,
GB,IRM,DSQ,,Disqualified,
GB,Period,H1,1,First Half,
GB,Period,H2,2,Second Half,
GB,Period,OT,3,Overtime,
GB,Period,PSO,4,Extra Throws,
GB,Period,SD,5,Sudden Death Extra Throws,
GB,Period,TOT,6,Total,
GB,ResAction,FLT,,Fault,
GB,ResAction,GOAL,,Goal,
GB,ResAction,MISS,,Miss,
GB,ResAction,POST,,Crossbar/Post,
GB,ResAction,SAVE,,Saved,
GB,ResultType,IRM_POINTS,,"For both, Goals and Invalid Result Mark",
GB,ResultType,POINTS,,Goals,
GB,Statistics,CUM,,Cumulative Statistics of team and individual,
GB,Statistics,IND_RANKING,,Ranking of Individual tournament statistics,
GB,Statistics,TOU,,Ranking of Individual statistics,
GB,WLT,L,,Lost,
GB,WLT,T,,Tied,
GB,WLT,W,,Won,
GL,BioExt,EB_SOCIALMEDIA,,Social Media,
GL,CodeSet,BCK_SPORT,,List of Background Sport,
GL,CodeSet,BCK_TYPE,,List of Background Report type,
GL,CodeSet,CONTINENT,,Continents,
GL,CodeSet,COUNTRY,,List of Countries,
GL,CodeSet,DISCIPLINE,,List of Disiplines,
GL,CodeSet,DISCIPLINE_FUNCTION,,List of Results Functions,
GL,CodeSet,EVENT,,List of Events,
GL,CodeSet,EVENT_UNIT,,List of Event Units,
GL,CodeSet,HORSE_BREED,,List of Horse Breeds,
GL,CodeSet,HORSE_COLOUR,,List of Horse Colours,
GL,CodeSet,HORSE_GENDER,,List of Horse Genders,
GL,CodeSet,LOCATION,,List of Locations,
GL,CodeSet,MARITAL_STATUS,,Marital Status,
GL,CodeSet,NPC,,List of National Paralympic Committees,
GL,CodeSet,NWS_SPORT,,List of News Sport,
GL,CodeSet,NWS_TYPE,,List of News Report Type,
GL,CodeSet,ODF_SPORT_CODES,,All ODF Sport Codes,
GL,CodeSet,ORGANISATION,,List of Organisations,
GL,CodeSet,PHASE,,List of Phases,
GL,CodeSet,POSITION,,List of Positions,
GL,CodeSet,RECORD,,List of Record Events,
GL,CodeSet,RECORD_TYPE,,List of Record Types,
GL,CodeSet,SPORT,,List of Sports,
GL,CodeSet,VENUE,,List of Venues,
GL,CodeSet,WTHR_CONDITION,,List of Weather Conditions,
GL,CodeSet,WTHR_REGION,,List of Weather Regions,
GL,CodeSet,WTHR_WIND_DIR,,List of Wind Directions,
GL,CompetitorPlace,BYE,,There is no competitor; the other team/athlete goes directly to the next phase/round,
GL,CompetitorPlace,TBD,,The competitor is not known yet,
GL,GMGNCode,DD0VEN000,,"DD=Discipline, VEN=Venue",
GL,Home,AWAY,,Away,
GL,Home,HOME,,Home,
GL,MedalSummaryType,M,,Men events,
GL,MedalSummaryType,TOT,,All the events,
GL,MedalSummaryType,W,,Women events,
GL,MedalSummaryType,X,,Mixed or open events,
GL,MedalType,ME_BRONZE,,Bronze,
GL,MedalType,ME_GOLD,,Gold,
GL,MedalType,ME_SILVER,,Silver,
GL,Pool,1,,1st in Pool,
GL,Pool,2,,2nd in Pool,
GL,Pool,3,,3rd in Pool,
GL,Pool,4,,4th in Pool,
GL,Pool,5,,5th in Pool,
GL,Pool,6,,6th in Pool,
GL,Pool,LL,,Lucky Loser,
GL,Pool,X2,,2nd in Pool,
GL,Pool,X2/3,,A2/A3 (to be drawn) or B2/B3 (to be drawn),
GL,Pool,X3,,Top two 3rd in Pool,
GL,PrecipitationUnit,C,,Centimetres,
GL,PrecipitationUnit,I,,Inches,
GL,PrecipitationUnit,M,,Milimetres,
GL,PrecType,R,,Rain,
GL,PrecType,S,,Snow,
GL,PressureUnit,HPA,,Hectopascal,
GL,ProtestStatus,CLS,,Closed,
GL,ProtestStatus,OPN,,Open,
GL,ProtestStatus,PND,,Pending,
GL,ProtestStatus,ROPN,,Re Open,
GL,ResultStatus,INTERMEDIATE,3,"When competition is stopped, usued at pre-defined points",
GL,ResultStatus,LIVE,2,For live updates during competition,
GL,ResultStatus,OFFICIAL,6,"Results of the competition released as soon as the event is officially confirmed taking into account the resolution of the protests, etc.",
GL,ResultStatus,PARTIAL,7,"Incomplete list, Final Ranking. Used in PDF",
GL,ResultStatus,PROTESTED,8,After the competition is no longer LIVE and a protest has been lodged,After all decisions on the protest are made the ResultStatus will change to UNOFFICIAL or OFFICIAL as appropriate
GL,ResultStatus,START_LIST,1,"Before competition, Start List",
GL,ResultStatus,UNCONFIRMED,4,When the unit is over but not yet unofficial or official.,"Only used if other statuses do not come quickly, not used in all sports"
GL,ResultStatus,UNOFFICIAL,5,"Results of the competition released as soon as the event is over, not waiting any official decision of the International Federation. The correctness of data must be assured.",
GL,ShuttleServiceType,ATH,,Shuttle Services Athletes,
GL,ShuttleServiceType,MEDAL,,Shuttle Services Media,
GL,ShuttleServiceType,OFF,,Shuttle Services Officials,
GL,SocialMedia,AMEBA,,Ameba,
GL,SocialMedia,ASKFM,,Ask.fm,
GL,SocialMedia,BADOO,,Badoo,
GL,SocialMedia,BLOG,,Athlete Blog,
GL,SocialMedia,COPAINSDAVANT,,CopainsdAvant,
GL,SocialMedia,CYWORLD,,Cyworld,
GL,SocialMedia,FACEBOOK,,Facebook,
GL,SocialMedia,FACEBOOK_PAGE,,Facebook Page,
GL,SocialMedia,FACEBOOK_PAGE2,,Facebook Page 2,
GL,SocialMedia,FACEBOOK_TEAM,,Facebook Team,
GL,SocialMedia,FACEBOOK2,,Facebook Profile 2,
GL,SocialMedia,FLICKR,,Flickr,
GL,SocialMedia,GOOGLEPLUS,,Google+,
GL,SocialMedia,INSTAGRAM,,Instagram,
GL,SocialMedia,LINKEDIN,,LinkedIn,
GL,SocialMedia,MYSPACE,,MySpace,
GL,SocialMedia,ODNOKLASSNIKI,,Odnoklassniki,
GL,SocialMedia,PINTEREST,,Pinterest,
GL,SocialMedia,QQ,,QQ,
GL,SocialMedia,STRAVA,,Strava,
GL,SocialMedia,TUMBLR,,Tumblr,
GL,SocialMedia,TWITTER,,Twitter,
GL,SocialMedia,TWITTER_TEAM,,Twitter Team Profile,
GL,SocialMedia,TWITTER2,,Twitter Profile 2,
GL,SocialMedia,VIMEO,,Vimeo,
GL,SocialMedia,VINE,,Vine,
GL,SocialMedia,VK_PAGE,,VK Page,
GL,SocialMedia,VK_PROFILE,,VK Profile,
GL,SocialMedia,WEBSITE,,Athlete Website,
GL,SocialMedia,WEBSITE_STABLE,,EQ Stable Website,
GL,SocialMedia,WEBSITE_TEAM,,Team Website,
GL,SocialMedia,WEBSITE2,,Athlete Website 2,
GL,SocialMedia,WEIBO,,Weibo,
GL,SocialMedia,YOUTUBE,,YouTube,
GL,Source,CGS,,Origin for messages generated by CGS Systems,
GL,Source,CA1WB1,,Origin for messages generated by OVR at Wheelchair Basketball,
GL,Source,CA1WR1,,Origin for messages generated by OVR at Wheelchair Rugby,
GL,Source,CA2BO1,,Origin for messages generated by OVR at Boccia,
GL,Source,CA3JU1,,Origin for messages generated by OVR at Judo,
GL,Source,DESFT1,,Origin for messages generated by OVR at Football 7-a-side,
GL,Source,EQCEQ1,,Origin for messages generated by OVR at Equestrian,
GL,Source,FTAGB1,,Origin for messages generated by OVR at Goalball,
GL,Source,FTCAT1,,Origin for messages generated by OVR at Athletics,
GL,Source,FTCTR1,,Origin for messages generated by OVR at Paratriathlon,
GL,Source,GLOSA1,,Origin for messages generated by OVR at Sailing,
GL,Source,IDS,,Origin for messages generated by IDS Systems,
GL,Source,LAGCF1,,Origin for messages generated by OVR at Canoe Sprint,
GL,Source,LAGRO1,,Origin for messages generated by OVR at Rowing,
GL,Source,OASSW1,,Origin for messages generated by OVR at Swimming,
GL,Source,OLSAT1,,Origin for messages generated by OVR at Athletics,
GL,Source,OSCSH1,,Origin for messages generated by OVR at Shooting,
GL,Source,OTNFB1,,Origin for messages generated by OVR at Football 5-a-side,
GL,Source,OTNWT1,,Origin for messages generated by OVR at Wheelchair Tennis,
GL,Source,PONCR1,,Origin for messages generated by OVR at Cycling Road,
GL,Source,RC2PO1,,Origin for messages generated by OVR at Powerlifting,
GL,Source,RC3TT1,,Origin for messages generated by OVR at Table Tennis,
GL,Source,RC6VS1,,Origin for messages generated by OVR at Sitting Volleyball,
GL,Source,ROAWB1,,Origin for messages generated by OVR at Wheelchair Basketball,
GL,Source,ROVCT1,,Origin for messages generated by OVR at Cycling Track,
GL,Source,SBDAR1,,Origin for messages generated by OVR at Archery,
GL,Source,WEA,,Origin for messages generated by Weather Provider,
GL,Source,YOAWF1,,Origin for messages generated by OVR at Wheelchair Fencing,
GL,TemperatureType,MAX,,Maximum temperature,
GL,TemperatureType,MIN,,Minimum temperature,
GL,TemperatureUnit,C,,Celsius,
GL,TemperatureUnit,F,,Fahrenheit,
GL,UnitMedalType,0,,No medal event unit,
GL,UnitMedalType,1,,Gold medal event unit,
GL,UnitMedalType,2,,Bronze medal event unit,
GL,WeatherPeriod,HO,,Hourly,
GL,WeatherPeriod,MD,,Midday,
GL,WeatherPeriod,TN,,Tonight,
GL,WeatherPoint,FINISH,,Finish of the event unit,
GL,WeatherPoint,GEN,,General,
GL,WeatherPoint,START,,Start of the event unit,
GL,WindType,MAX,,Maximum wind speed,
GL,WindType,MIN,,Minimum wind speed,
GL,WindUnit,KMH,,Kilometres per hour,
GL,WindUnit,MPH,,Miles per hour,
GL,WindUnit,MS,,Metres per second,
JU,Bracket,BRN1,,Bronze 1,
JU,Bracket,BRN2,,Bronze 2,
JU,Bracket,FNL,,Finals,
JU,BracketItems,FNL,,Finals,
JU,BracketItems,QFL,,Quarterfinals,
JU,BracketItems,R16,,Elimination Round of 16,
JU,BracketItems,SFL,,Semifinals,
JU,Colour,BLUE,,Blue,
JU,Colour,WHITE,,White,
JU,IRM,DNS,,Did not start,
JU,IRM,DSQ,,Disqualified,
JU,PenaltyType,H,,Direct Hansoku-make for safety reasons,
JU,PenaltyType,S,,Shido,
JU,PenaltyType,S4,,"Hansoku-make resulting from ""progressive"" penalties awarded during the contest",
JU,PenaltyType,X,,Direct Hansoku-make for acts against the Judo spirit,
JU,Period,GS,,Golden Score,
JU,Period,N,,Normal Time,
JU,PointsType,IPP,,Ippon,
JU,PointsType,WAZ,,Waza-ari,
JU,PointsType,YUK,,Yuko,
JU,ResultCode,FUS,,Default,
JU,ResultCode,IPP,,Ippon,
JU,ResultCode,PEN,,Penalty,
JU,ResultCode,KIK,,Withdrawal,
JU,ResultCode,WAZ,,Waza-Ari,
JU,ResultCode,YUK,,Yuko,
JU,ResultType,IRM,,Invalid result mark,
JU,ResultType,POINTS,,Points,
JU,Statistics,TOU,,Tournament Statistics,
JU,Technique,AGA,,Ude-hishigi-ashi-gatame,
JU,Technique,AGU,,Ashi-guruma,
JU,Technique,BYE,,Bye,
JU,Technique,DAB,,De-ashi-barai,
JU,Technique,DWK,,Daki-wakare,
JU,Technique,FUS,,Fusen Gachi,
JU,Technique,GJJ,,Gyaku-juji-jime,
JU,Technique,HAD,,Hadaka-jime,
JU,Technique,HGA,,Ude-hishigi-hara-gatame,
JU,Technique,HIG,,Ude-hishigi-hiza-gatame,
JU,Technique,HIZ,,Hiza-guruma,
JU,Technique,HKG,,Hikikomi-Gaeshi,
JU,Technique,HNE,,Hane-goshi-gaeshi,
JU,Technique,HNG,,Hane-goshi,
JU,Technique,HNM,,Hane-makikomi,
JU,Technique,HRA,,Harai-goshi-gaeshi,
JU,Technique,HRG,,Harai-goshi,
JU,Technique,HRM,,Harai-makikomi,
JU,Technique,HTA,,Harai-tsurikomi-ashi,
JU,Technique,ISN,,Ippon-seoi-nage,
JU,Technique,JG,,Ude-hishigi-juji-gatame,
JU,Technique,KAG,,Kata-gatame,
JU,Technique,KEG,,Kesa-gatame,
JU,Technique,KGU,,Kata-guruma,
JU,Technique,KHJ,,Kata-ha-jime,
JU,Technique,KIG,,Kibisu-gaeshi,
JU,Technique,KIK,,Kiken gachi,
JU,Technique,KJJ,,Kata-juji-jime,
JU,Technique,KKE,,Kuzure-kesa-gatame,
JU,Technique,KKS,,Kuzure-kami-shiho-gatame,
JU,Technique,KOG,,Koshi-guruma,
JU,Technique,KOU,,Kouchi-gaeshi,
JU,Technique,KSG,,Kosoto-gari,
JU,Technique,KSH,,Kami-shiho-gatame,
JU,Technique,KSK,,Kosoto-gake,
JU,Technique,KTA,,Kuchiki-taoshi,
JU,Technique,KTJ,,Kata-te-jime,
JU,Technique,KUG,,Kouchi-gari,
JU,Technique,KUM,,Ko-uchi-makikomi,
JU,Technique,MGA,,Morote-gari,
JU,Technique,NJJ,,Nami-juji-jime,
JU,Technique,OAB,,Okuri-ashi-barai,
JU,Technique,OEJ,,Okuri-eri-jime,
JU,Technique,OGA,,Osoto-gaeshi,
JU,Technique,OGO,,O-goshi,
JU,Technique,OGR,,Osoto-guruma,
JU,Technique,OGU,,O-guruma,
JU,Technique,OOS,,Obi-otoshi,
JU,Technique,OSG,,Osoto-gari,
JU,Technique,OSM,,Osoto-makikomi,
JU,Technique,OSO,,Osoto-otoshi,
JU,Technique,OTG,,Obitori-gaeshi,
JU,Technique,OUC,,Ouchi-gaeshi,
JU,Technique,OUG,,Ouchi-gari,
JU,Technique,P01,,Apply-Technique-Outside,
JU,Technique,P02,,Avoid-Grip,
JU,Technique,P03,,Bend-Opps-Fingers,
JU,Technique,P04,,Ashi-garami,
JU,Technique,P05,,Defensive-Posture,
JU,Technique,P06,,Disarrange-Judogi,
JU,Technique,P07,,Disregard-Instructions,
JU,Technique,P08,,Do-jime,
JU,Technique,P11,,Fall-Backwards onto Opponent,
JU,Technique,P12,,False-Attack,
JU,Technique,P13,,Fingers-In-Sleeve,
JU,Technique,P14,,Fingers-interlocked,
JU,Technique,P15,,Foot-in-Belt,
JU,Technique,P16,,Outside-Contest-Area,
JU,Technique,P17,,Head-Dive,
JU,Technique,P18,,Hold-Same-Side,
JU,Technique,P19,,Hold-Sleeve-Ends,
JU,Technique,P20,,Hand-On-Face,
JU,Technique,P21,,Hold-Trouser-Leg,
JU,Technique,P22,,Illegal-Joint-Lock,
JU,Technique,P23,,Illegal-Newaza-Entry,
JU,Technique,P24,,Judogi-In-Mouth,
JU,Technique,P25,,Kani-Basame,
JU,Technique,P26,,Kawazu-Gake,
JU,Technique,P27,,Kick-To-Break-Grip,
JU,Technique,P28,,Metallic-Object,
JU,Technique,P29,,Non-Combativity,
JU,Technique,P30,,Reap-Supporting-Leg,
JU,Technique,P31,,Shime-With-Jacket/belt,
JU,Technique,P32,,Spine-Extension,
JU,Technique,P33,,Unnecessary-Remarks,
JU,Technique,P34,,Unsportsmanlike-Conduct,
JU,Technique,P35,,Waki-gatame,
JU,Technique,P37,,Pistol Grip,
JU,Technique,P38,,Holding Belt,
JU,Technique,P39,,Kicking,
JU,Technique,P40,,Push out,
JU,Technique,P99,,Undetermined,
JU,Technique,RYJ,,Ryo-te-jime,
JU,Technique,SAJ,,Sankaku-jime,
JU,Technique,SGJ,,Sode-guruma-jime,
JU,Technique,SGT,,Ude-hishigi-sankaku-gatame,
JU,Technique,SMK,,Soto-makikomi,
JU,Technique,SON,,Seoi-nage,
JU,Technique,SOO,,Seoi-otoshi,
JU,Technique,SOT,,Sumi-otoshi,
JU,Technique,STA,,Sasae-tsurikomi-ashi,
JU,Technique,STG,,Sode-tsurikomi-goshi,
JU,Technique,SUG,,Sumi-gaeshi,
JU,Technique,SUK,,Sukui-nage,
JU,Technique,TBG,,Tsubami-gaeshi,
JU,Technique,TGO,,Tsuri-goshi,
JU,Technique,TGT,,Ude-hishigi-te-gatame,
JU,Technique,TKG,,Tsurikomi-goshi,
JU,Technique,TKJ,,Tsukomi-jime,
JU,Technique,TNG,,Tomoe-nage,
JU,Technique,TNO,,Tani-otoshi,
JU,Technique,TOS,,Tai-otoshi,
JU,Technique,TSG,,Tate-shiho-gatame,
JU,Technique,TWG,,Tawara-gaeshi,
JU,Technique,UGA,,Ude-hishigi-ude-gatame,
JU,Technique,UGO,,Uki-goshi,
JU,Technique,UGR,,Ude-garami,
JU,Technique,UGT,,Uki-gatame,
JU,Technique,UKG,,Ushiro-keso-gatame,
JU,Technique,UMA,,Uchi-mata,
JU,Technique,UMG,,Uchi-mata-gaeshi,
JU,Technique,UMK,,Uchi-makikomi,
JU,Technique,UMM,,Uchi-mata-makikomi,
JU,Technique,UMS,,Uchi-mata-sukashi,
JU,Technique,UNA,,Ura-nage,
JU,Technique,UND,,Undetermined,
JU,Technique,UNK,,Undetermined Katame-waza,
JU,Technique,UNN,,Undetermined Nage-waza,
JU,Technique,UOT,,Uki-otoshi,
JU,Technique,USH,,Ushiro-goshi,
JU,Technique,UTS,,Utsuri-goshi,
JU,Technique,UWA,,Uki-waza,
JU,Technique,YAS,,Yama-arashi,
JU,Technique,YGA,,Yoko-gake,
JU,Technique,YGU,,Yoko-guruma,
JU,Technique,YOT,,Yoko-otoshi,
JU,Technique,YSG,,Yoko-shiho-gatame,
JU,Technique,YUS,,Yusei Gachi,
JU,Technique,YWA,,Yoko-wakare,
JU,WLT,L,,Lost,
JU,WLT,W,,Won,
PO,Group,A,,Group A,
PO,Group,B,,Group B,
PO,IRM,DNF,,Did not finish,
PO,IRM,DNS,,Did not start,
PO,IRM,DSQ,,Disqualified,
PO,ResultType,IRM,,Invalid Result Mark,
PO,ResultType,WEIGHT,,Weight,
RO,CompetitorStatus,F,,Finished,
RO,CompetitorStatus,R,,Running,
RO,CompetitorStatus,ST,,At Start,
RO,IRM,BUW,,Boat under weight,
RO,IRM,DNF,,Did not finish,
RO,IRM,DNS,,Did not start,
RO,IRM,DSQ,,Disqualified,
RO,IRM,EXC,,Excluded,
RO,QualificationMark,ELM,,Eliminated,
RO,QualificationMark,FA,,Qualified for Final A,
RO,QualificationMark,FB,,Qualified for Final B,
RO,QualificationMark,H,,Heat,
RO,QualificationMark,R,,Qualified for Repechage,
RO,ResultType,IRM,,Invalid Result Mark,
RO,ResultType,TIME,,Time,
SA,Course,I2,,Inner Trapezoid (I2),
SA,Course,I3,,Inner Trapezoid (I3),
SA,Course,I4,,Inner Trapezoid (I4),
SA,Course,IA2,,Inner Trapezoid With Offset Mark (IA2),
SA,Course,IA3,,Inner Trapezoid With Offset Mark (IA3),
SA,Course,IA4,,Inner Trapezoid With Offset Mark (IA4),
SA,Course,IS2,,Inner Slalom (IS2),
SA,Course,IS3,,Inner Slalom (IS3),
SA,Course,IS4,,Inner Slalom (IS4),
SA,Course,L2,,Windward/Leeward (L2),
SA,Course,L3,,Windward/Leeward (L3),
SA,Course,L4,,Windward/Leeward (L4),
SA,Course,LA2,,Windward/Leeward With Offset Mark (LA2),
SA,Course,LA3,,Windward/Leeward With Offset Mark (LA3),
SA,Course,LA4,,Windward/Leeward With Offset Mark (LA4),
SA,Course,LG2,,Windward/Leeward (LG2),
SA,Course,LG3,,Windward/Leeward (LG3),
SA,Course,LG4,,Windward/Leeward (LG4),
SA,Course,LGA2,,Windward/Leeward With Offset Mark (LGA2),
SA,Course,LGA3,,Windward/Leeward With Offset Mark (LGA3),
SA,Course,LGA4,,Windward/Leeward With Offset Mark (LGA4),
SA,Course,LR2,,Windward/Leeward (LR2),
SA,Course,LR3,,Windward/Leeward (LR3),
SA,Course,LR4,,Windward/Leeward (LR4),
SA,Course,LRA2,,Windward/Leeward With Offset Mark (LRA2),
SA,Course,LRA3,,Windward/Leeward With Offset Mark (LRA3),
SA,Course,LRA4,,Windward/Leeward With Offset Mark (LRA4),
SA,Course,LS2,,Windward/Leeward With Slalom Finish (LS2),
SA,Course,LS3,,Windward/Leeward With Slalom Finish (LS3),
SA,Course,LS4,,Windward/Leeward With Slalom Finish (LS4),
