Id,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription
HON,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras
HUN,Hungary,Hongrie,Hungria,Hungary,Hongrie,Hungria
IMN,Isle of Man,Île de Man,Ilha de Man,Isle of Man,Île de Man,Ilha de Man
INA,Indonesia,Indonésie,Indonésia,Indonesia,Indonésie,Indonésia
IND,India,Inde,Índia,India,Inde,Índia
IOA,Independent Olympic Athlete,Athlète Olympique Indépendant,Atleta Olímpico Independente,Independent Olympic Athlete,Athlète Olympique Indépendant,Atleta Olímpico Independente
IOP,Indep. Olympic Participant,Participant Olympique Indép.,Participante Olímpico Indep.,Independent Olympic Participant,Participant Olympique Indépendant,Participante Olímpico Independente
IOT,British Indian Ocean Territory,Ter. britannique de l'Oc. Ind.,Ter. Britânico do Oc. Índico,British Indian Ocean Territory,Territoire britannique de l'Océan Indien,Território Britânico do Oceano Índico
IPP,Indep. Paralympic Participant,Participant Paralympique Ind.,Participante Paralímpico Ind.,Independent Paralympic Participant,Participant Paralympique Indépendant,Participante Paralímpico Independente
IRI,Islamic Republic of Iran,République islamique d'Iran,República Islâmica do Irã,Islamic Republic of Iran,République islamique d'Iran,República Islâmica do Irã
IRL,Ireland,Irlande,Irlanda,Ireland,Irlande,Irlanda
IRQ,Iraq,Iraq,Iraque,Iraq,Iraq,Iraque
ISL,Iceland,Islande,Islândia,Iceland,Islande,Islândia
ISR,Israel,Israël,Israel,Israel,Israël,Israel
ISV,"Virgin Islands, US",Îles Vierges des États-Unis,"Ilhas Virgens, EU","Virgin Islands, US",Îles Vierges des États-Unis,Ilhas Virgens Americanas
ITA,Italy,Italie,Itália,Italy,Italie,Itália
IVB,"Virgin Islands, British",Îles Vierges britanniques,Ilhas Virgens Britânicas,"Virgin Islands, British",Îles Vierges britanniques,Ilhas Virgens Britânicas
JAM,Jamaica,Jamaïque,Jamaica,Jamaica,Jamaïque,Jamaica
JER,Jersey,Jersey,Jersey,Jersey,Jersey,Jersey
JOR,Jordan,Jordanie,Jordânia,Jordan,Jordanie,Jordânia
JPN,Japan,Japon,Japão,Japan,Japon,Japão
KAZ,Kazakhstan,Kazakhstan,Cazaquistão,Kazakhstan,Kazakhstan,Cazaquistão
KEN,Kenya,Kenya,Quênia,Kenya,Kenya,Quênia
KGZ,Kyrgyzstan,Kirghizistan,Quirguistão,Kyrgyzstan,Kirghizistan,Quirguistão
KIR,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati
KOR,Republic of Korea,République de Corée,República da Coréia,Republic of Korea,République de Corée,República da Coréia
KOS,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo
KSA,Saudi Arabia,Arabie saoudite,Arábia Saudita,Saudi Arabia,Arabie saoudite,Arábia Saudita
KUW,Kuwait,Koweït,Kuaite,Kuwait,Koweït,Kuaite
LAO,Lao People's Democratic Repub.,Répub. Démocrat. Populaire Lao,Rep. Democrática Popular Laos,Lao People's Democratic Republic,République Démocratique Populaire Lao,República Democrática Popular do Laos
LAT,Latvia,Lettonie,Letônia,Latvia,Lettonie,Letônia
LBA,Libya,Libye,Líbia,Libya,Libye,Líbia
LBR,Liberia,Libéria,Libéria,Liberia,Libéria,Libéria
LCA,Saint Lucia,Sainte-Lucie,Santa Lúcia,Saint Lucia,Sainte-Lucie,Santa Lúcia
LES,Lesotho,Lesotho,Lesoto,Lesotho,Lesotho,Lesoto
LIB,Lebanon,Liban,Líbano,Lebanon,Liban,Líbano
LIE,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein
LTU,Lithuania,Lituanie,Lituânia,Lithuania,Lituanie,Lituânia
LUX,Luxembourg,Luxembourg,Luxemburgo,Luxembourg,Luxembourg,Luxemburgo
MAC,"Macao, China","Macao, Chine","Macau, China","Macao, China","Macao, Chine","Macau, China"
MAD,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar
MAF,Saint-Martin (French part),Saint-Martin (PartieFrançaise),São Martinho (França),Saint-Martin,Saint-Martin,São Martinho
MAR,Morocco,Maroc,Marrocos,Morocco,Maroc,Marrocos
MAS,Malaysia,Malaisie,Malásia,Malaysia,Malaisie,Malásia
MAW,Malawi,Malawi,Maláui,Malawi,Malawi,Maláui
MDA,Republic of Moldova,République de Moldova,República da Moldova,Republic of Moldova,République de Moldova,República da Moldova
MDV,Maldives,Maldives,Maldivas,Maldives,Maldives,Maldivas
MEX,Mexico,Mexique,México,Mexico,Mexique,México
MGL,Mongolia,Mongolie,Mongólia,Mongolia,Mongolie,Mongólia
MHL,Marshall Islands,Îles Marshall,Ilhas Marshall,Marshall Islands,Îles Marshall,Ilhas Marshall
MKD,Former Yugoslav Rep. Macedonia,Ex-Rp. Yougoslave de Macédoine,Ex-Rep. Iugoslava da Macedônia,The Former Yugoslav Republic of Macedonia,Ex-République Yougoslave de Macédoine,Ex-República Iugoslava da Macedônia
MLI,Mali,Mali,Mali,Mali,Mali,Mali
MLT,Malta,Malte,Malta,Malta,Malte,Malta
MNE,Montenegro,Monténégro,Montenegro,Montenegro,Monténégro,Montenegro
MNP,Northern Mariana Islands,Îles Mariannes du Nord,Marianas Setentrionais,Northern Marianas Islands,Îles Mariannes du Nord,Marianas Setentrionais
MON,Monaco,Monaco,Mônaco,Monaco,Monaco,Mônaco
MOZ,Mozambique,Mozambique,Moçambique,Mozambique,Mozambique,Moçambique
MRI,Mauritius,Maurice,Maurício,Mauritius,Maurice,Maurício
MSR,Montserrat,Montserrat,Montserrat,Montserrat,Montserrat,Montserrat
MTN,Mauritania,Mauritanie,Mauritânia,Mauritania,Mauritanie,Mauritânia
MTQ,Martinique,Martinique,Martinica,Martinique,Martinique,Martinica
MYA,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar
MYT,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte
NAM,Namibia,Namibie,Namíbia,Namibia,Namibie,Namíbia
NCA,Nicaragua,Nicaragua,Nicarágua,Nicaragua,Nicaragua,Nicarágua
NCL,New Caledonia,Nouvelle-Calédonie,Nova Caledônia,New Caledonia,Nouvelle-Calédonie,Nova Caledônia
NED,Netherlands,Pays-Bas,Países Baixos,Netherlands,Pays-Bas,Países Baixos
NEP,Nepal,Népal,Nepal,Nepal,Népal,Nepal
NFK,Norfolk Island,Île Norfolk,Ilha Norfolk,Norfolk Island,Île Norfolk,Ilha Norfolk
NGR,Nigeria,Nigéria,Nigéria,Nigeria,Nigéria,Nigéria
NIG,Niger,Niger,Níger,Niger,Niger,Níger
NIU,Niue,Niue,Niue,Niue,Niue,Niue
NOR,Norway,Norvège,Noruega,Norway,Norvège,Noruega
NRU,Nauru,Nauru,Nauru,Nauru,Nauru,Nauru
NZL,New Zealand,Nouvelle-Zélande,Nova Zelândia,New Zealand,Nouvelle-Zélande,Nova Zelândia
OMA,Oman,Oman,Omã,Oman,Oman,Omã
PAK,Pakistan,Pakistan,Paquistão,Pakistan,Pakistan,Paquistão
PAN,Panama,Panama,Panamá,Panama,Panama,Panamá
PAR,Paraguay,Paraguay,Paraguai,Paraguay,Paraguay,Paraguai
PCN,Pitcairn Islands,Îles Pitcairn,Ilhas Pitcairn,Pitcairn Islands,Îles Pitcairn,Ilhas Pitcairn
PER,Peru,Pérou,Peru,Peru,Pérou,Peru
PHI,Philippines,Philippines,Filipinas,Philippines,Philippines,Filipinas
PLE,Palestine,Palestine,Palestina,Palestine,Palestine,Palestina
PLW,Palau,Palaos,Palau,Palau,Palaos,Palau
PNG,Papua New Guinea,Papouasie-Nouvelle-Guinée,Papua Nova Guiné,Papua New Guinea,Papouasie-Nouvelle-Guinée,Papua Nova Guiné
POL,Poland,Pologne,Polônia,Poland,Pologne,Polônia
POR,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
PRK,Dem. People's Repub. of Korea,Répub. populaire dém. de Corée,Rep. Popular Dem. da Coréia,Democratic People's Republic of Korea,République populaire démocratique de Corée,República Popular Democrática da Coréia
PUR,Puerto Rico,Porto Rico,Porto Rico,Puerto Rico,Porto Rico,Porto Rico
PYF,French Polynesia,Polynésie française,Polinésia Francesa,French Polynesia,Polynésie française,Polinésia Francesa
QAT,Qatar,Qatar,Catar,Qatar,Qatar,Catar
REU,Réunion,Réunion,Reunião,Réunion,Réunion,Reunião
ROU,Romania,Roumanie,Romênia,Romania,Roumanie,Romênia
RSA,South Africa,Afrique du Sud,África do Sul,South Africa,Afrique du Sud,África do Sul
RUS,Russian Federation,Fédération de Russie,Federação da Rússia,Russian Federation,Fédération de Russie,Federação da Rússia
RWA,Rwanda,Rwanda,Ruanda,Rwanda,Rwanda,Ruanda
SAM,Samoa,Samoa,Samoa,Samoa,Samoa,Samoa
SCG,Serbia and Montenegro,Serbie-et-Monténégro,Sérvia e Montenegro,Serbia and Montenegro,Serbie-et-Monténégro,Estado da Sérvia e Montenegro
SEN,Senegal,Sénégal,Senegal,Senegal,Sénégal,Senegal
SEY,Seychelles,Seychelles,Seicheles,Seychelles,Seychelles,Seicheles
SGS,S. Georgia and S. Sandwich Is.,Géorgie Sud et Î. Sandwich Sud,Geórgia Sul e Il. Sandwich Sul,South Georgia and the South Sandwich Islands,Géorgie du Sud-et-les Îles Sandwich du Sud,Geórgia do Sul e das Ilhas Sandwich do Sul
SHN,Saint Helena,Sainte-Hélène,Santa Helena,"Saint Helena, Ascension and Tristan da Cunha","Sainte-Hélène, Ascension et Tristan da Cunha","Santa Helena, Ascensão e Tristão da Cunha"
SIN,Singapore,Singapour,Cingapura,Singapore,Singapour,Cingapura
SJM,Svalbard and Jan Mayen,Svalbard et Jan Mayen,Svalbard e Jan Mayen,Svalbard and Jan Mayen,Svalbard et Jan Mayen,Svalbard e Jan Mayen
SKN,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,São Cristóvão e Névis,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,São Cristóvão e Névis
SLE,Sierra Leone,Sierra Leone,Serra Leoa,Sierra Leone,Sierra Leone,Serra Leoa
SLO,Slovenia,Slovénie,Eslovênia,Slovenia,Slovénie,Eslovênia
SMR,San Marino,Saint-Marin,San Marino,San Marino,Saint-Marin,San Marino
SOL,Solomon Islands,Îles Salomon,Ilhas Salomão,Solomon Islands,Îles Salomon,Ilhas Salomão
SOM,Somalia,Somalie,Somália,Somalia,Somalie,Somália
SPM,Saint Pierre and Miquelon,Saint-Pierre-et-Miquelon,Saint-Pierre e Miquelon,Saint Pierre and Miquelon,Saint-Pierre-et-Miquelon,Saint-Pierre e Miquelon
SRB,Serbia,Serbie,Sérvia,Serbia,Serbie,Sérvia
SRI,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
SSD,South Sudan,Soudan du Sud,Sudão do Sul,South Sudan,Soudan du Sud,Sudão do Sul
STP,Sao Tome and Principe,Sao Tomé-et-Principe,São Tomé e Príncipe,Sao Tome and Principe,Sao Tomé-et-Principe,São Tomé e Príncipe
SUD,Sudan,Soudan,Sudão,Sudan,Soudan,Sudão
SUI,Switzerland,Suisse,Suíça,Switzerland,Suisse,Suíça
SUR,Suriname,Suriname,Suriname,Suriname,Suriname,Suriname
SVK,Slovakia,Slovaquie,Eslováquia,Slovakia,Slovaquie,Eslováquia
SWE,Sweden,Suède,Suécia,Sweden,Suède,Suécia
SWZ,Swaziland,Swaziland,Suazilândia,Swaziland,Swaziland,Suazilândia
SXM,Sint Maarten (Dutch Part),Saint-Martin (PartieNéerland.),São Martinho (Países Baixos),Sint Maarten,Saint-Martin,São Martinho
SYR,Syrian Arab Republic,République arabe syrienne,República Árabe da Síria,Syrian Arab Republic,République arabe syrienne,República Árabe da Síria
TAH,Tahiti,Tahiti,Taiti,Tahiti,Tahiti,Taiti
TAN,United Republic of Tanzania,République unie de Tanzanie,República Unida da Tanzânia,United Republic of Tanzania,République unie de Tanzanie,República Unida da Tanzânia
TCA,Turks and Caicos Islands,Îles Turks-et-Caïcos,Ilhas Turcas e Caicos,Turks and Caicos Islands,Îles Turks-et-Caïcos,Ilhas Turcas e Caicos
TCH,Czechoslovakia,Tchécoslovaquie,Tchecoslováquia,Czechoslovakia,Tchécoslovaquie,Tchecoslováquia
TGA,Tonga,Tonga,Tonga,Tonga,Tonga,Tonga
THA,Thailand,Thaïlande,Tailândia,Thailand,Thaïlande,Tailândia
TJK,Tajikistan,Tadjikistan,Tadjiquistão,Tajikistan,Tadjikistan,Tadjiquistão
TKL,Tokelau,Tokelau,Tokelau,Tokelau,Tokelau,Tokelau
TKM,Turkmenistan,Turkménistan,Turcomenistão,Turkmenistan,Turkménistan,Turcomenistão
TLS,Democratic Repub. Timor-Leste,Répub. Dém. du Timor-Leste,Rep. Dem. de Timor-Leste,Democratic Republic of Timor-Leste,République Démocratique du Timor-Leste,República Democrática de Timor-Leste
TOG,Togo,Togo,Togo,Togo,Togo,Togo
TPE,Chinese Taipei,Chinese Taipei,Taipé Chinesa,Chinese Taipei,Chinese Taipei,Taipé Chinesa
TTO,Trinidad and Tobago,Trinité-et-Tobago,Trinidad e Tobago,Trinidad and Tobago,Trinité-et-Tobago,Trinidad e Tobago
TUN,Tunisia,Tunisie,Tunísia,Tunisia,Tunisie,Tunísia
TUR,Turkey,Turquie,Turquia,Turkey,Turquie,Turquia
TUV,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu
UAE,United Arab Emirates,Émirats Arabes Unis,Emirados Árabes Unidos,United Arab Emirates,Émirats Arabes Unis,Emirados Árabes Unidos
UGA,Uganda,Ouganda,Uganda,Uganda,Ouganda,Uganda
UKR,Ukraine,Ukraine,Ucrânia,Ukraine,Ukraine,Ucrânia
UMI,US Outlying Islands,Îles min. éloignées des É.-U.,Ilhas Menores Distantes dos EU,US Outlying Islands,Îles min. éloignées des É.-U.,Ilhas Menores Distantes dos Estados Unidos
URS,USSR,U.R.S.S.,U.R.S.S.,USSR,U.R.S.S.,União das Repúblicas Socialistas Soviéticas
URU,Uruguay,Uruguay,Uruguai,Uruguay,Uruguay,Uruguai
USA,United States of America,États-Unis d'Amérique,Estados Unidos da América,United States of America,États-Unis d'Amérique,Estados Unidos da América
UZB,Uzbekistan,Ouzbékistan,Uzbequistão,Uzbekistan,Ouzbékistan,Uzbequistão
VAN,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu
VAT,Vatican,Vatican,Vaticano,Vatican,Vatican,Vaticano
VEN,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela
VIE,Vietnam,Vietnam,Vietnã,Vietnam,Vietnam,Vietnã
VIN,St Vincent and the Grenadines,St.-Vincent-et-les-Grenadines,São Vicente e Granadinas,St Vincent and the Grenadines,Saint-Vincent-et-les-Grenadines,São Vicente e Granadinas
WLF,Wallis and Futuna,Wallis-et-Futuna,Wallis e Futuna,Wallis and Futuna,Wallis-et-Futuna,Wallis e Futuna
YEM,Yemen,Yémen,Iêmen,Yemen,Yémen,Iêmen
YUG,Yugoslavia,Yougoslavie,Iugoslávia,The Federal Republic of Yugoslavia,Yougoslavie,República Socialista Federativa da Iugoslávia
ZAM,Zambia,Zambie,Zâmbia,Zambia,Zambie,Zâmbia
ZIM,Zimbabwe,Zimbabwe,Zimbábue,Zimbabwe,Zimbabwe,Zimbábue
