Discipline,Gender,Event,phase,type,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,ENG phase Description,FRA phase Description,POR phase Description
AR,0,070,Z,8,Archery - Session,Tir à l'arc - session,Tiro com arco - sessão,Archery - Session,Tir à l'arc - session,Tiro com arco - sessão,,,
AR,0,470,Z,8,Archery - Session,Tir à l'arc - session,Tiro com arco - sessão,Archery - Session,Tir à l'arc - session,Tiro com arco - sessão,,,
AR,0,SBD,0,8,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,,,
AR,M,000,0,8,Men,Hommes,Masculino,Men,Hommes,Masculino,,,
AR,M,070,0,8,Men's Individual,Épreuve individuelle - hommes,Competição individual masculina,Men's Individual,Épreuve individuelle - hommes,Competição individual masculina,,,
AR,M,070,1,3,Men's Individual Finals,"Individuelle - hommes, finales","Competição individual masculina, finais",Men's Individual Finals,"Épreuve individuelle - hommes, finales","Competição individual masculina, finais",Finals,Finales,Finais
AR,M,070,2,3,Men's Individual Semifinals,"Individuelle - hommes, demi-finales","Competição individual masculina, 1/2",Men's Individual Semifinals,"Épreuve individuelle - hommes, demi-finales","Competição individual masculina, semifinais",Semifinals,Demi-finales,Semifinais
AR,M,070,3,3,Men's Individual Quarterfinals,"Individuelle - hommes, quarts de finale","Competição individual masculina, 1/4",Men's Individual Quarterfinals,"Épreuve individuelle - hommes, quarts de finale","Competição individual masculina, quartas de final",Quarterfinals,Quarts de finale,Quartas de final
AR,M,070,4,3,Men's Individual 1/8 Eliminations,"Individuelle - hommes, élim. (1/8)","Competição individual masculina, 1/8 ",Men's Individual 1/8 Eliminations,"Épreuve individuelle - hommes, éliminatoires (8e de finale)","Competição individual masculina, oitavas de final",1/8 Eliminations,Éliminatoires (8e de finale),Oitavas de final
AR,M,070,5,3,Men's Individual 1/16 Eliminations,"Individuelle - hommes, élim. (1/16)","Competição individual masc, 2a fase elim",Men's Individual 1/16 Eliminations,"Épreuve individuelle - hommes, éliminatoires (16e de finale)","Competição individual masculina, segunda fase eliminatória",1/16 Eliminations,Éliminatoires (16e de finale),Segunda Fase eliminatória
AR,M,070,6,3,Men's Individual 1/32 Eliminations,"Individuelle - hommes, élim. (1/32)","Competição individual masc, 1a fase elim",Men's Individual 1/32 Eliminations,"Épreuve individuelle - hommes, éliminatoires (32e de finale)","Competição individual masculina, primeira fase eliminatória",1/32 Eliminations,Éliminatoires (32e de finale),Primeira Fase eliminatória
AR,M,070,9,3,Men's Individual Ranking Round,"Individuelle - hommes, classement","Individual masculina, fase classificação",Men's Individual Ranking Round,"Épreuve individuelle - hommes, tour de classement","Competição individual masculina, fase de classificação",Ranking Round,Tour de classement,Fase de classificação
AR,M,070,M,6,Men's Individual Victory Ceremony,"Individuelle - hommes, remise médailles","Individual masculina, cer. premiação",Men's Individual Victory Ceremony,"Épreuve individuelle - hommes, cérémonie de remise des médailles","Competição individual masculina, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AR,M,470,0,8,Men's Team,Épreuve par équipes - hommes,Competição por equipes masculina,Men's Team,Épreuve par équipes - hommes,Competição por equipes masculina,"","",""
AR,M,470,1,3,Men's Team Finals,"Équipes - hommes, finales","Competição por equipes masculina, finais",Men's Team Finals,"Épreuve par équipes - hommes, finales","Competição por equipes masculina, finais",Finals,Finales,Finais
AR,M,470,2,3,Men's Team Semifinals,"Équipes - hommes, demi-finales","Competição por equipes masculina, 1/2",Men's Team Semifinals,"Épreuve par équipes - hommes, demi-finales","Competição por equipes masculina, semifinais",Semifinals,Demi-finales,Semifinais
AR,M,470,3,3,Men's Team Quarterfinals,"Équipes - hommes, quarts de finale","Competição por equipes masculina, 1/4",Men's Team Quarterfinals,"Épreuve par équipes - hommes, quarts de finale","Competição por equipes masculina, quartas de final",Quarterfinals,Quarts de finale,Quartas de final
AR,M,470,4,3,Men's Team 1/8 Eliminations,"Équipes - hommes, éliminatoires (1/8)","Competição por equipes masculina, 1/8",Men's Team 1/8 Eliminations,"Épreuve par équipes - hommes, éliminatoires (8e de finale)","Competição por equipes masculina, oitavas de final",1/8 Eliminations,Éliminatoires (8e de finale),Oitavas de final
AR,M,470,9,3,Men's Team Ranking Round,"Équipes - hommes, classement","Equipes masculinas, fase classificação",Men's Team Ranking Round,"Épreuve par équipes - hommes, tour de classement","Competição por equipes masculina, fase de classificação",Ranking Round,Tour de classement,Fase de classificação
AR,M,470,M,6,Men's Team Victory Ceremony,"Équipes - hommes, remise médailles","Equipes masculinas, cer. premiação",Men's Team Victory Ceremony,"Épreuve par équipes - hommes, cérémonie de remise des médailles","Competição por equipes masculina, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AR,W,000,0,8,Women,Femmes,Feminino,Women,Femmes,Feminino,"","",""
AR,W,070,0,8,Women's Individual,Épreuve individuelle - femmes,Competição individual feminina,Women's Individual,Épreuve individuelle - femmes,Competição individual feminina,"","",""
AR,W,070,1,3,Women's Individual Finals,"Individuelle - femmes, finales","Competição individual feminina, finais",Women's Individual Finals,"Épreuve individuelle - femmes, finales","Competição individual feminina, finais",Finals,Finales,Finais
AR,W,070,2,3,Women's Individual Semifinals,"Individuelle - femmes, demi-finales","Competição individual feminina, 1/2",Women's Individual Semifinals,"Épreuve individuelle - femmes, demi-finales","Competição individual feminina, semifinais",Semifinals,Demi-finales,Semifinais
AR,W,070,3,3,Women's Individual Quarterfinals,"Individuelle - femmes, quarts de finale","Competição individual feminina, 1/4",Women's Individual Quarterfinals,"Épreuve individuelle - femmes, quarts de finale","Competição individual feminina, quartas de final",Quarterfinals,Quarts de finale,Quartas de final
AR,W,070,4,3,Women's Individual 1/8 Eliminations,"Individuelle - femmes, élim. (1/8)","Competição individual feminina, 1/8",Women's Individual 1/8 Eliminations,"Épreuve individuelle - femmes, éliminatoires (8e de finale)","Competição individual feminina, oitavas de final",1/8 Eliminations,Éliminatoires (8e de finale),Oitavas de final
AR,W,070,5,3,Women's Individual 1/16 Eliminations,"Individuelle - femmes, élim. (1/16)","Competição individual fem, 2a fase elim",Women's Individual 1/16 Eliminations,"Épreuve individuelle - femmes, éliminatoires (16e de finale)","Competição individual feminina, segunda fase eliminatória",1/16 Eliminations,Éliminatoires (16e de finale),Segunda Fase eliminatória
AR,W,070,6,3,Women's Individual 1/32 Eliminations,"Individuelle - femmes, élim. (1/32)","Competição individual fem, 1a fase elim",Women's Individual 1/32 Eliminations,"Épreuve individuelle - femmes, éliminatoires (32e de finale)","Competição individual feminina, primeira fase eliminatória",1/32 Eliminations,Éliminatoires (32e de finale),Primeira Fase eliminatória
AR,W,070,9,3,Women's Individual Ranking Round,"Individuelle - femmes, classement","Individual feminina, fase classificação",Women's Individual Ranking Round,"Épreuve individuelle - femmes, tour de classement","Competição individual feminina, fase de classificação",Ranking Round,Tour de classement,Fase de classificação
AR,W,070,M,6,Women's Individual Victory Ceremony,"Individuelle - femmes, remise médailles","Individual feminina, cer. premiação",Women's Individual Victory Ceremony,"Épreuve individuelle - femmes, cérémonie de remise des médailles","Competição individual feminina, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AR,W,470,0,8,Women's Team,Épreuve par équipes - femmes,Competição por equipes feminina,Women's Team,Épreuve par équipes - femmes,Competição por equipes feminina,"","",""
AR,W,470,1,3,Women's Team Finals,"Équipes - femmes, finales","Competição por equipes feminina, finais",Women's Team Finals,"Épreuve par équipes - femmes, finales","Competição por equipes feminina, finais",Finals,Finales,Finais
AR,W,470,2,3,Women's Team Semifinals,"Équipes - femmes, demi-finales","Competição por equipes feminina, 1/2",Women's Team Semifinals,"Épreuve par équipes - femmes, demi-finales","Competição por equipes feminina, semifinais",Semifinals,Demi-finales,Semifinais
AR,W,470,3,3,Women's Team Quarterfinals,"Équipes - femmes, quarts de finale","Competição por equipes feminina, 1/4",Women's Team Quarterfinals,"Épreuve par équipes - femmes, quarts de finale","Competição por equipes feminina, quartas de final",Quarterfinals,Quarts de finale,Quartas de final
AR,W,470,4,3,Women's Team 1/8 Eliminations,"Équipes - femmes, éliminatoires (1/8)","Competição por equipes feminina, 1/8",Women's Team 1/8 Eliminations,"Épreuve par équipes - femmes, éliminatoires (8e de finale)","Competição por equipes feminina, oitavas de final",1/8 Eliminations,Éliminatoires (8e de finale),Oitavas de final
AR,W,470,9,3,Women's Team Ranking Round,"Équipes - femmes, classement","Equipes femininas, fase classificação",Women's Team Ranking Round,"Épreuve par équipes - femmes, tour de classement","Competição por equipes feminina, fase de classificação",Ranking Round,Tour de classement,Fase de classificação
AR,W,470,M,6,Women's Team Victory Ceremony,"Équipes - femmes, remise médailles","Equipes femininas, cer. premiação",Women's Team Victory Ceremony,"Épreuve par équipes - femmes, cérémonie de remise des médailles","Competição por equipes feminina, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,0,000,0,8,Athletics,Athlétisme,Atletismo,Athletics,Athlétisme,Atletismo,,,
AT,0,000,Y,8,Athletics Daily Schedule,"Athlétisme, calendrier par jour","Atletismo, programação diária",Athletics Daily Schedule,"Athlétisme, calendrier par jour","Atletismo, programação diária",,,
AT,0,OLS,0,8,Olympic Stadium,Stade Olympique,Estádio Olímpico,Olympic Stadium,Stade Olympique,Estádio Olímpico,,,
AT,0,PON,0,8,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,,,
AT,0,SBD,0,8,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,,,
AT,M,000,0,8,Men,Hommes,Masculino,Men,Hommes,Masculino,,,
AT,M,001,0,8,Men's 100m,100 m - hommes,100m rasos masculino,Men's 100m,100 m - hommes,100m rasos masculino,,,
AT,M,001,1,3,Men's 100m Final,"100 m - hommes, finale","100m rasos masculino, final",Men's 100m Final,"100 m - hommes, finale","100m rasos masculino, final",Final,Finale,Final
AT,M,001,2,3,Men's 100m Semifinals,"100 m - hommes, demi-finales","100m rasos masculino, semifinais",Men's 100m Semifinals,"100 m - hommes, demi-finales","100m rasos masculino, semifinais",Semifinals,Demi-finales,Semifinais
AT,M,001,9,3,Men's 100m Round 1,"100 m - hommes, 1er tour","100m rasos masculino, primeira fase ",Men's 100m Round 1,"100 m - hommes, 1er tour","100m rasos masculino, primeira fase ",Round 1,1er tour,Primeira fase
AT,M,001,M,6,Men's 100m Victory Ceremony,"100 m - hommes, remise méd.","100m masculino, cer. premiação",Men's 100m Victory Ceremony,"100 m - hommes, cérémonie de remise des médailles","100m rasos masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,001,N,7,Men's 100m - Draw,"100 m - hommes, tirage au sort","100m rasos masculino, sorteio",Men's 100m - Draw,"100 m - hommes, tirage au sort","100m rasos masculino, sorteio",Draw,Tirage au sort,Sorteio
AT,M,001,P,3,Men's 100m Preliminary Round,"100 m - hommes, tour préliminaire","100m rasos masculino, fase preliminar",Men's 100m Preliminary Round,"100 m - hommes, tour préliminaire","100m rasos masculino, fase preliminar",Preliminary Round,Tour préliminaire,Fase preliminar
AT,M,002,0,8,Men's 200m,200 m - hommes,200m rasos masculino,Men's 200m,200 m - hommes,200m rasos masculino,"","",""
AT,M,002,1,3,Men's 200m Final,"200 m - hommes, finale","200m rasos masculino, final",Men's 200m Final,"200 m - hommes, finale","200m rasos masculino, final",Final,Finale,Final
AT,M,002,2,3,Men's 200m Semifinals,"200 m - hommes, demi-finales","200m rasos masculino, semifinais",Men's 200m Semifinals,"200 m - hommes, demi-finales","200m rasos masculino, semifinais",Semifinals,Demi-finales,Semifinais
AT,M,002,9,3,Men's 200m Round 1,"200 m - hommes, 1er tour","200m rasos masculino, primeira fase",Men's 200m Round 1,"200 m - hommes, 1er tour","200m rasos masculino, primeira fase",Round 1,1er tour,Primeira fase
AT,M,002,M,6,Men's 200m Victory Ceremony,"200 m - hommes, remise méd.","200m masculino, cer. premiação",Men's 200m Victory Ceremony,"200 m - hommes, cérémonie de remise des médailles","200m rasos masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,002,N,7,Men's 200m - Draw,"200 m - hommes, tirage au sort","200m rasos masculino, sorteio",Men's 200m - Draw,"200 m - hommes, tirage au sort","200m rasos masculino, sorteio",Draw,Tirage au sort,Sorteio
AT,M,004,0,8,Men's 400m,400 m - hommes,400m rasos masculino,Men's 400m,400 m - hommes,400m rasos masculino,"","",""
AT,M,004,1,3,Men's 400m Final,"400 m - hommes, finale","400m rasos masculino, final ",Men's 400m Final,"400 m - hommes, finale","400m rasos masculino, final ",Final,Finale,Final
AT,M,004,2,3,Men's 400m Semifinals,"400 m - hommes, demi-finales","400m rasos masculino, semifinais",Men's 400m Semifinals,"400 m - hommes, demi-finales","400m rasos masculino, semifinais",Semifinals,Demi-finales,Semifinais
AT,M,004,9,3,Men's 400m Round 1,"400 m - hommes, 1er tour","400m rasos masculino, primeira fase",Men's 400m Round 1,"400 m - hommes, 1er tour","400m rasos masculino, primeira fase",Round 1,1er tour,Primeira fase
AT,M,004,M,6,Men's 400m Victory Ceremony,"400 m - hommes, remise méd.","400m masculino, cer. premiação",Men's 400m Victory Ceremony,"400 m - hommes, cérémonie de remise des médailles","400m rasos masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,004,N,7,Men's 400m - Draw,"400 m - hommes, tirage au sort","400m rasos masculino, sorteio",Men's 400m - Draw,"400 m - hommes, tirage au sort","400m rasos masculino, sorteio",Draw,Tirage au sort,Sorteio
AT,M,008,0,8,Men's 800m,800 m - hommes,800m rasos masculino,Men's 800m,800 m - hommes,800m rasos masculino,"","",""
AT,M,008,1,3,Men's 800m Final,"800 m - hommes, finale","800m rasos masculino, final",Men's 800m Final,"800 m - hommes, finale","800m rasos masculino, final",Final,Finale,Final
AT,M,008,2,3,Men's 800m Semifinals,"800 m - hommes, demi-finales","800m rasos masculino, semifinais",Men's 800m Semifinals,"800 m - hommes, demi-finales","800m rasos masculino, semifinais",Semifinals,Demi-finales,Semifinais
AT,M,008,9,3,Men's 800m Round 1,"800 m - hommes, 1er tour","800m rasos masculino, primeira fase",Men's 800m Round 1,"800 m - hommes, 1er tour","800m rasos masculino, primeira fase",Round 1,1er tour,Primeira fase
AT,M,008,M,6,Men's 800m Victory Ceremony,"800 m - hommes, remise méd.","800m masculino, cer. premiação",Men's 800m Victory Ceremony,"800 m - hommes, cérémonie de remise des médailles","800m rasos masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,008,N,7,Men's 800m - Draw,"800 m - hommes, tirage au sort","800m rasos masculino, sorteio",Men's 800m - Draw,"800 m - hommes, tirage au sort","800m rasos masculino, sorteio",Draw,Tirage au sort,Sorteio
AT,M,012,0,8,Men's 110m Hurdles,110 m haies - hommes,110m com barreiras masculino,Men's 110m Hurdles,110 m haies - hommes,110m com barreiras masculino,"","",""
AT,M,012,1,3,Men's 110m Hurdles Final,"110 m haies - hommes, finale","110m com barreiras masculino, final",Men's 110m Hurdles Final,"110 m haies - hommes, finale","110m com barreiras masculino, final",Final,Finale,Final
AT,M,012,2,3,Men's 110m Hurdles Semifinals,"110 m haies - hommes, demi-finales","110m com barreiras masculino, semifinais",Men's 110m Hurdles Semifinals,"110 m haies - hommes, demi-finales","110m com barreiras masculino, semifinais",Semifinals,Demi-finales,Semifinais
AT,M,012,9,3,Men's 110m Hurdles Round 1,"110 m haies - hommes, 1er tour","110m com barreiras masculino, 1a fase",Men's 110m Hurdles Round 1,"110 m haies - hommes, 1er tour","110m com barreiras masculino, primeira fase",Round 1,1er tour,Primeira fase
AT,M,012,M,6,Men's 110m Hurdles Victory Ceremony,"110 m haies - hommes, remise méd.","110m com barreiras masc, cer. premiação",Men's 110m Hurdles Victory Ceremony,"110 m haies - hommes, cérémonie de remise des médailles","110m com barreiras masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,012,N,7,Men's 110m Hurdles - Draw,"110 m haies - hommes, tirage au sort","110m com barreiras masculino, sorteio",Men's 110m Hurdles - Draw,"110 m haies - hommes, tirage au sort","110m com barreiras masculino, sorteio",Draw,Tirage au sort,Sorteio
AT,M,015,0,8,Men's 1500m,1 500 m - hommes,1.500m rasos masculino,Men's 1500m,1 500 m - hommes,1.500m rasos masculino,"","",""
AT,M,015,1,3,Men's 1500m Final,"1 500 m - hommes, finale","1.500m rasos masculino, final",Men's 1500m Final,"1 500 m - hommes, finale","1.500m rasos masculino, final",Final,Finale,Final
AT,M,015,2,3,Men's 1500m Semifinals,"1 500 m - hommes, demi-finales","1.500m rasos masculino, semifinais",Men's 1500m Semifinals,"1 500 m - hommes, demi-finales","1.500m rasos masculino, semifinais",Semifinals,Demi-finales,Semifinais
AT,M,015,9,3,Men's 1500m Round 1,"1 500 m - hommes, 1er tour","1.500m rasos masculino, primeira fase",Men's 1500m Round 1,"1 500 m - hommes, 1er tour","1.500m rasos masculino, primeira fase",Round 1,1er tour,Primeira fase
AT,M,015,M,6,Men's 1500m Victory Ceremony,"1 500 m - hommes, remise méd.","1.500m masculino, cer. premiação",Men's 1500m Victory Ceremony,"1 500 m - hommes, cérémonie de remise des médailles","1.500m rasos masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,015,N,7,Men's 1500m - Draw,"1 500 m - hommes, tirage au sort","1.500m rasos masculino, sorteio",Men's 1500m - Draw,"1 500 m - hommes, tirage au sort","1.500m rasos masculino, sorteio",Draw,Tirage au sort,Sorteio
AT,M,033,0,8,Men's 3000m Steeplechase,3 000 m steeple - hommes,3.000m com obstáculos masculino,Men's 3000m Steeplechase,3 000 m steeple - hommes,3.000m com obstáculos masculino,"","",""
AT,M,033,1,3,Men's 3000m Steeplechase Final,"3 000 m steeple - hommes, finale","3.000m com obstáculos masculino, final ",Men's 3000m Steeplechase Final,"3 000 m steeple - hommes, finale","3.000m com obstáculos masculino, final ",Final,Finale,Final
AT,M,033,9,3,Men's 3000m Steeplechase Round 1,"3 000 m steeple - hommes, 1er tour","3.000m com obstáculos masculino, 1a fase",Men's 3000m Steeplechase Round 1,"3 000 m steeple - hommes, 1er tour","3.000m com obstáculos masculino, primeira fase",Round 1,1er tour,Primeira fase
AT,M,033,M,6,Men's 3000m Steeplechase Victory Cere...,"3 000 m steeple - hommes, remise méd.","3.000m obstáculos masc, cer. premiação",Men's 3000m Steeplechase Victory Ceremony,"3 000 m steeple - hommes, cérémonie de remise des médailles","3.000m com obstáculos masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,033,N,7,Men's 3000m Steeplechase - Draw,"3 000 m steeple - hommes, tirage au sort","3.000m com obstáculos masculino, sorteio",Men's 3000m Steeplechase - Draw,"3 000 m steeple - hommes, tirage au sort","3.000m com obstáculos masculino, sorteio",Draw,Tirage au sort,Sorteio
AT,M,044,0,8,Men's 400m Hurdles,400 m haies - hommes,400m com barreiras masculino,Men's 400m Hurdles,400 m haies - hommes,400m com barreiras masculino,"","",""
AT,M,044,1,3,Men's 400m Hurdles Final,"400 m haies - hommes, finale","400m com barreiras masculino, final",Men's 400m Hurdles Final,"400 m haies - hommes, finale","400m com barreiras masculino, final",Final,Finale,Final
AT,M,044,2,3,Men's 400m Hurdles Semifinals,"400 m haies - hommes, demi-finales","400m com barreiras masculino, semifinais",Men's 400m Hurdles Semifinals,"400 m haies - hommes, demi-finales","400m com barreiras masculino, semifinais",Semifinals,Demi-finales,Semifinais
AT,M,044,9,3,Men's 400m Hurdles Round 1,"400 m haies - hommes, 1er tour","400m com barreiras masculino, 1a fase",Men's 400m Hurdles Round 1,"400 m haies - hommes, 1er tour","400m com barreiras masculino, primeira fase",Round 1,1er tour,Primeira fase
AT,M,044,M,6,Men's 400m Hurdles Victory Ceremony,"400 m haies - hommes, remise méd.","400m com barreiras masc, cer. premiação",Men's 400m Hurdles Victory Ceremony,"400 m haies - hommes, cérémonie de remise des médailles","400m com barreiras masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,044,N,7,Men's 400m Hurdles - Draw,"400 m haies - hommes, tirage au sort","400m com barreiras masculino, sorteio",Men's 400m Hurdles - Draw,"400 m haies - hommes, tirage au sort","400m com barreiras masculino, sorteio",Draw,Tirage au sort,Sorteio
AT,M,050,0,8,Men's 5000m,5 000 m - hommes,5.000m rasos masculino,Men's 5000m,5 000 m - hommes,5.000m rasos masculino,"","",""
AT,M,050,1,3,Men's 5000m Final,"5 000 m - hommes, finale","5.000m rasos masculino, final ",Men's 5000m Final,"5 000 m - hommes, finale","5.000m rasos masculino, final ",Final,Finale,Final
AT,M,050,9,3,Men's 5000m Round 1,"5 000 m - hommes, 1er tour","5.000m rasos masculino, primeira fase",Men's 5000m Round 1,"5 000 m - hommes, 1er tour","5.000m rasos masculino, primeira fase",Round 1,1er tour,Primeira fase
AT,M,050,M,6,Men's 5000m Victory Ceremony,"5 000 m - hommes, remise méd.","5.000m masculino, cer. premiação",Men's 5000m Victory Ceremony,"5 000 m - hommes, cérémonie de remise des médailles","5.000m rasos masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,050,N,7,Men's 5000m - Draw,"5 000 m - hommes, tirage au sort","5.000m rasos masculino, sorteio",Men's 5000m - Draw,"5 000 m - hommes, tirage au sort","5.000m rasos masculino, sorteio",Draw,Tirage au sort,Sorteio
AT,M,051,0,8,Men's Shot Put,Lancer de poids - hommes,Arremesso do peso masculino,Men's Shot Put,Lancer de poids - hommes,Arremesso do peso masculino,"","",""
AT,M,051,1,3,Men's Shot Put Final,"Lancer de poids - hommes, finale","Arremesso do peso masculino, final",Men's Shot Put Final,"Lancer de poids - hommes, finale","Arremesso do peso masculino, final",Final,Finale,Final
AT,M,051,9,3,Men's Shot Put Qualifying Round,"Lancer de poids - hommes, qualifications","Arremesso do peso masc, classificatórias",Men's Shot Put Qualifying Round,"Lancer de poids - hommes, qualifications","Arremesso do peso masculino, classificatórias",Qualifying Round,Qualifications,Classificatórias
AT,M,051,M,6,Men's Shot Put Victory Ceremony,"Lancer de poids - hommes, remise méd.","Arremesso do peso masc, cer. premiação",Men's Shot Put Victory Ceremony,"Lancer de poids - hommes, cérémonie de remise des médailles","Arremesso do peso, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,051,N,7,Men's Shot Put - Draw,"Lancer de poids - hommes, tirage au sort","Arremesso do peso masculino, sorteio",Men's Shot Put - Draw,"Lancer de poids - hommes, tirage au sort","Arremesso do peso masculino, sorteio",Draw,Tirage au sort,Sorteio
AT,M,052,0,8,Men's Discus Throw,Lancer de disque - hommes,Lançamento do disco masculino,Men's Discus Throw,Lancer de disque - hommes,Lançamento do disco masculino,"","",""
AT,M,052,1,3,Men's Discus Throw Final,"Lancer de disque - hommes, finale","Lançamento do disco masculino, final ",Men's Discus Throw Final,"Lancer de disque - hommes, finale","Lançamento do disco masculino, final ",Final,Finale,Final
AT,M,052,9,3,Men's Discus Throw Qualifying Round,"Lancer de disque - hom., qualifications","Lançamento do disco masc, classific",Men's Discus Throw Qualifying Round,"Lancer de disque - hommes, qualifications","Lançamento do disco masculino, classificatórias",Qualifying Round,Qualifications,Classificatórias
AT,M,052,M,6,Men's Discus Throw Victory Ceremony,"Lancer de disque - hommes, remise méd.","Lançamento do disco masc, cer. premiação",Men's Discus Throw Victory Ceremony,"Lancer de disque - hommes, cérémonie de remise des médailles","Lançamento do disco masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,052,N,7,Men's Discus Throw - Draw,"Lancer de disque - hom., tirage au sort","Lançamento do disco masculino, sorteio",Men's Discus Throw - Draw,"Lancer de disque - hommes, tirage au sort","Lançamento do disco masculino, sorteio",Draw,Tirage au sort,Sorteio
AT,M,053,0,8,Men's Javelin Throw,Lancer de javelot - hommes,Lançamento do dardo masculino,Men's Javelin Throw,Lancer de javelot - hommes,Lançamento do dardo masculino,"","",""
AT,M,053,1,3,Men's Javelin Throw Final,"Lancer de javelot - hommes, finale","Lançamento do dardo masculino, final ",Men's Javelin Throw Final,"Lancer de javelot - hommes, finale","Lançamento do dardo masculino, final ",Final,Finale,Final
AT,M,053,9,3,Men's Javelin Throw Qualifying Round,"Lancer de javelot - hom., qualifications","Lançamento do dardo masc, classific",Men's Javelin Throw Qualifying Round,"Lancer de javelot - hommes, qualifications","Lançamento do dardo masculino, classificatórias",Qualifying Round,Qualifications,Classificatórias
AT,M,053,M,6,Men's Javelin Throw Victory Ceremony,"Lancer de javelot - hommes, remise méd.","Lançamento do dardo masc, cer. premiação",Men's Javelin Throw Victory Ceremony,"Lancer de javelot - hommes, cérémonie de remise des médailles","Lançamento do dardo masculino, cerimônia de entrega das medalhas",Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
