Code,ENG Description,Category,Origin,AC,AE,AR,AT,B3,BD,BF,BV,BX,CB,CF,CM,CR,DV,FE,GA,GR,GT,JU,KA,SC,SH,SW,SY,TK,TR,TT,VO,WP,WR
IF44,IF Staff,S,RESULTS,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,
J03,Technical Official,S,RESULTS,,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,
J05,Referee,S,RESULTS,,,,,OF,,,,,,,,,,,,,,,,,,,,,,,,,
J1,Judge 1,S,RESULTS,,,,,,,,,OF,,,,,OF,,,,,,,,,,,,,,,,
J2,Judge 2,S,RESULTS,,,,,,,,,OF,,,,,OF,,,,,,,,,,,,,,,,
J3,Judge 3,S,RESULTS,,,,,,,OF,,OF,,,,,OF,,,,,,,,,,,,,,,,
J4,Judge 4,S,RESULTS,,,,,,,,,OF,,,,,OF,,,,,,,,,,,,,,,,
J5,Judge 5,S,RESULTS,,,,,,,,,OF,,,,,OF,,,,,,,,,,,,,,,,
J6,Judge 6,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
J7,Judge 7,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
JU,Judge,S,RESULTS,,,,,OF,OF,,,,,,,,,,,,,OF,OF,OF,,,,OF,,,,,OF
LF,Left Field Umpire,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINE_Judge,Line Judge,S,RESULTS,,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,
Line_Judge_1,Line Judge 1,S,RESULTS,OF,OF,,,,,,,,,,,,,,OF,OF,,,,,,,,,,,,,
Line_Judge_2,Line Judge 2,S,RESULTS,OF,OF,,,,,,,,,,,,,,OF,OF,,,,,,,,,,,,,
MC,Mat Chairman,S,RESULTS,,,,,,,,,,,,,,,,,,,,,OF,,,,,,,,,OF
MCS,Match Commissioner,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1_1,Figure 1 Judge 1,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F1_2,Figure 1 Judge 2,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F1_3,Figure 1 Judge 3,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F1_4,Figure 1 Judge 4,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F1_5,Figure 1 Judge 5,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F1_6,Figure 1 Judge 6,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F2_1,Figure 2 Judge 1,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F2_2,Figure 2 Judge 2,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F2_3,Figure 2 Judge 3,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F2_4,Figure 2 Judge 4,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F2_5,Figure 2 Judge 5,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F2_6,Figure 2 Judge 6,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F3_1,Figure 3 Judge 1,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F3_2,Figure 3 Judge 2,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F3_3,Figure 3 Judge 3,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F3_4,Figure 3 Judge 4,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F3_5,Figure 3 Judge 5,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F3_6,Figure 3 Judge 6,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F4_1,Figure 4 Judge 1,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F4_2,Figure 4 Judge 2,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F4_3,Figure 4 Judge 3,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F4_4,Figure 4 Judge 4,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F4_5,Figure 4 Judge 5,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
F4_6,Figure 4 Judge 6,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
ME,Member,S,RESULTS,,,,,,,,,,,,,,,,OF,,OF,,,,,,,,,,,,
MGR,Manager,T,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFIC,Official,S,RESULTS,,,,,,,IF,IF,,,,,,,,,,,,,,,,,,,,IF,IF,
OI1,Overall Impression  judge 1,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OI2,Overall Impression  judge 2,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OI3,Overall Impression  judge 3,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OI4,Overall Impression  judge 4,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OI5,Overall Impression  judge 5,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OI6,Overall Impression  judge 6,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OI7,Overall Impression  judge 7,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYSIO,Physiotherapist,T,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,President,S,RESULTS,OF,OF,,,,,,,,,,,,,,OF,OF,OF,,,,,,,,,,,,
R1,Referee 1,J,RESULTS,,,,,,,OF,OF,,,,,,,,,,,,,,,,,,,,OF,,
R2,Referee 2,S,RESULTS,,,,,,,OF,OF,,,,,,,,,,,,,,,,,,,,OF,,
RJ1,Reserve Judge 1,S,RESULTS,,OF,,,,,,,,,,,,,,OF,OF,OF,,,,,,,,,,,,
RJ2,Reserve Judge 2,S,RESULTS,,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,
RJ3,Reserve Judge 3,S,RESULTS,,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,
RAR,Reserve Assistant Referee,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RE,Referee,S,RESULTS,,,,,IF/OF,,IF,IF,OF,,,,,OF,OF,,,,OF,OF,OF,,,OF,OF,,,IF,IF/OF,OF
REV_JDG,Review Jury,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,
RF,Right Field Umpire,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR,Reserve Referee,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU,Reserve Umpire,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,Synchronisation Judge 1,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
S2,Synchronisation Judge 2,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
S3,Synchronisation Judge 3,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
S4,Synchronisation Judge 4,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
S5,Synchronisation Judge 5,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
SCT_OFF,Competition Secretary,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC,Secretary,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OF,
SI_MGR,Stand-in Manager,T,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,Service Judge,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK,Scorekeeper,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STA,Starter,S,RESULTS,,,,,,,,,,,OF,,,,,,,,,,,,,,,,,,,
SUP,Superior Jury,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP_PRES,Superior Jury President,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP_MEM,Superior Jury Member,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP_AS,Artistic Supervisor,S,RESULTS,OF,OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP_TS,Technical Supervisor,S,RESULTS,OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP_DS,Difficulty Supervisor,S,RESULTS,OF,OF,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,
SUP_ES,Execution Supervisor,S,RESULTS,,OF,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,
SUP_AST,Assistant,S,RESULTS,,OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP_3R2H,3 Ribbons + 2 Hoops Supervisor,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP_5B,5 Balls Supervisor,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP_B,Ball Supervisor,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP_BB,Beam Supervisor,S,RESULTS,,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,
SUP_C,Clubs Supervisor,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP_F,Floor Exercise Supervisor,S,RESULTS,,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,
SUP_H,Hoop Supervisor,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP_HB,Horizontal Bar Supervisor,S,RESULTS,,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,
SUP_PB,Parallel Bars Supervisor,S,RESULTS,,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,
SUP_PH,Pommel Horse Supervisor,S,RESULTS,,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,
SUP_R,Ribbon Supervisor,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP_SR,Rings Supervisor,S,RESULTS,,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,
SUP_UB,Uneven Bars Supervisor,S,RESULTS,,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,
SUP_V,Vault Supervisor,S,RESULTS,,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,
T1,Technical merit judge 1,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2,Technical merit judge 2,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3,Technical merit judge 3,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T4,Technical merit judge 4,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T5,Technical merit judge 5,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T6,Technical merit judge 6,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T7,Technical merit judge 7,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1,Technical assistant 1,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA2,Technical assistant 2,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA3,Technical assistant 3,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC,Team Captain,T,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCH_CTR,Technical Controller,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THERAP,Therapist/Trainer,T,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF,,
Time_Judge,Timing Judge,S,RESULTS,OF,OF,,,,,,,,,,,,,,OF,OF,OF,,,,,,,,,,,OF,
Time_Judge_1,Timing Judge 1,S,RESULTS,,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,
Time_Judge_2,Timing Judge 2,S,RESULTS,,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,
TK,Timekeeper,S,RESULTS,,,,,,,OF,,,,,,,,,,,,,,,,,,,,,,OF,
TM_MGR,Team Manager,T,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF,CF,
TM_OFFIC,Team Official,T,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF,
TO_J,TO Judge,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OF,
TWPC,TWPC Delegate,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OF,
UA,Assistant Chief Umpire,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC,Chief Umpire,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UM,Umpire,S,RESULTS,,,,,OF,OF,,,,,,,,,,,,,,,,,,,,,OF,,,
UR,Chair Umpire,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VU,Video Umpire,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR,Video Referee,S,RESULTS,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,
WIN_OFF,Weigh-in Official,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IF,"code sent in the attribute ""/ Participant @Function"" at DT_PARTIC message",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OF,"code sent in the attribute ""/ Official @Function"" at START LIST message",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CF,"code sent in the attribute ""/ Coach @Function"" at START LIST message (same code as per the DT_PARTIC message)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OF (n),"code sent in the attribute ""/ Official @Function"" at START LIST message
n: function's Order within discipline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CF (n),"code sent in the attribute ""/ Coach @Function"" at START LIST message
n: function's Order within discipline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,Athlete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,J,Judge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,Technical Offical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T,Team Official,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In orange color,Disciplines that do not use Official or Coach Function in the Results Functions (Origin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
